geoid_long,census_tract,time_of_year,socioeconomic_group,census_county,census_city,avg_event_rh_max_perc,avg_event_rh_min_perc,tmax,tmin,hist_avg_annual_events,hist_avg_duration
1400000US06001400100,6001400100,Total,"2006 HW","Alameda County",Berkeley,68.62,44.04,93.69,66.49,0.00,0.00
1400000US06001400100,6001400100,Total,Vulnerable,"Alameda County",Berkeley,0.00,0.00,0.00,0.00,0.00,0.00
1400000US06001400100,6001400100,AM,General,"Alameda County",Berkeley,60.10,21.64,86.76,57.44,0.07,4.00
1400000US06001400100,6001400100,JJA,General,"Alameda County",Berkeley,93.86,55.08,79.16,59.64,0.37,5.45
1400000US06001400100,6001400100,SO,General,"Alameda County",Berkeley,60.18,23.64,90.49,60.82,1.13,2.82
1400000US06001400200,6001400200,Total,"2006 HW","Alameda County",Oakland,70.83,35.53,96.52,68.32,0.00,0.00
1400000US06001400200,6001400200,Total,Vulnerable,"Alameda County",Oakland,68.65,25.89,90.57,61.68,0.83,4.76
1400000US06001400200,6001400200,AM,General,"Alameda County",Oakland,64.40,19.34,87.23,57.73,0.03,4.00
1400000US06001400200,6001400200,JJA,General,"Alameda County",Oakland,88.75,34.14,87.42,61.08,0.73,4.73
1400000US06001400200,6001400200,SO,General,"Alameda County",Oakland,75.20,22.28,88.18,58.28,0.33,4.40
1400000US06001400300,6001400300,Total,"2006 HW","Alameda County",Oakland,70.83,35.53,96.52,68.32,0.00,0.00
1400000US06001400300,6001400300,Total,Vulnerable,"Alameda County",Oakland,68.65,25.89,90.57,61.68,0.83,4.76
1400000US06001400300,6001400300,AM,General,"Alameda County",Oakland,64.40,19.34,87.23,57.73,0.03,4.00
1400000US06001400300,6001400300,JJA,General,"Alameda County",Oakland,88.75,34.14,87.42,61.08,0.73,4.73
1400000US06001400300,6001400300,SO,General,"Alameda County",Oakland,75.20,22.28,88.18,58.28,0.33,4.40
1400000US06001400400,6001400400,Total,"2006 HW","Alameda County",Oakland,81.09,42.46,90.89,67.48,0.00,0.00
1400000US06001400400,6001400400,Total,Vulnerable,"Alameda County",Oakland,79.75,31.32,86.97,60.50,2.53,3.74
1400000US06001400400,6001400400,AM,General,"Alameda County",Oakland,72.87,21.42,86.60,58.75,0.37,4.82
1400000US06001400400,6001400400,JJA,General,"Alameda County",Oakland,83.69,26.73,91.48,61.84,0.57,3.76
1400000US06001400400,6001400400,SO,General,"Alameda County",Oakland,84.49,39.58,82.43,60.60,0.23,4.43
1400000US06001400500,6001400500,Total,"2006 HW","Alameda County",Oakland,81.09,42.46,90.89,67.48,0.00,0.00
1400000US06001400500,6001400500,Total,Vulnerable,"Alameda County",Oakland,79.75,31.32,86.97,60.50,2.53,3.74
1400000US06001400500,6001400500,AM,General,"Alameda County",Oakland,72.87,21.42,86.60,58.75,0.37,4.82
