geoid_long,census_tract,time_of_year,socioeconomic_group,census_county,census_city,avg_event_rh_max_perc,avg_event_rh_min_perc,tmax,tmin,hist_avg_annual_events,hist_avg_duration
1400000US06005000101,6005000101,Total,"2006 HW","Amador County",Pioneer,56.87,21.62,91.73,63.53,0.00,0.00
1400000US06005000101,6005000101,Total,Vulnerable,"Amador County",Pioneer,52.26,20.40,86.90,58.63,0.73,3.32
1400000US06005000101,6005000101,AM,General,"Amador County",Pioneer,57.56,22.14,78.16,49.62,0.37,4.18
1400000US06005000101,6005000101,JJA,General,"Amador County",Pioneer,47.81,18.89,90.68,61.63,0.17,4.80
1400000US06005000101,6005000101,SO,General,"Amador County",Pioneer,66.58,28.40,83.20,58.60,0.17,4.00
1400000US06005000102,6005000102,SO,General,"Amador County",Pioneer,66.58,28.40,83.20,58.60,0.17,4.00
1400000US06005000102,6005000102,JJA,General,"Amador County",Pioneer,47.81,18.89,90.68,61.63,0.17,4.80
1400000US06005000102,6005000102,AM,General,"Amador County",Pioneer,57.56,22.14,78.16,49.62,0.37,4.18
1400000US06005000102,6005000102,Total,Vulnerable,"Amador County",Pioneer,52.26,20.40,86.90,58.63,0.73,3.32
1400000US06005000102,6005000102,Total,"2006 HW","Amador County",Pioneer,56.87,21.62,91.73,63.53,0.00,0.00
1400000US06005000200,6005000200,SO,General,"Amador County",Fiddletown,44.09,20.00,96.27,63.38,0.33,4.60
1400000US06005000200,6005000200,JJA,General,"Amador County",Fiddletown,44.14,19.93,102.98,71.26,0.20,4.83
1400000US06005000200,6005000200,AM,General,"Amador County",Fiddletown,57.11,24.68,96.70,64.40,0.03,4.00
1400000US06005000200,6005000200,Total,Vulnerable,"Amador County",Fiddletown,0.00,0.00,0.00,0.00,0.00,0.00
1400000US06005000200,6005000200,Total,"2006 HW","Amador County",Fiddletown,53.98,19.10,108.66,76.77,0.00,0.00
1400000US06005000301,6005000301,Total,"2006 HW","Amador County",Plymouth,53.98,19.10,108.66,76.77,0.00,0.00
1400000US06005000301,6005000301,Total,Vulnerable,"Amador County",Plymouth,0.00,0.00,0.00,0.00,0.00,0.00
1400000US06005000301,6005000301,AM,General,"Amador County",Plymouth,57.11,24.68,96.70,64.40,0.03,4.00
1400000US06005000301,6005000301,JJA,General,"Amador County",Plymouth,44.14,19.93,102.98,71.26,0.20,4.83
1400000US06005000301,6005000301,SO,General,"Amador County",Plymouth,44.09,20.00,96.27,63.38,0.33,4.60
1400000US06005000303,6005000303,SO,General,"Amador County",Ione,44.09,20.00,96.27,63.38,0.33,4.60
1400000US06005000303,6005000303,JJA,General,"Amador County",Ione,44.14,19.93,102.98,71.26,0.20,4.83
1400000US06005000303,6005000303,AM,General,"Amador County",Ione,57.11,24.68,96.70,64.40,0.03,4.00
1400000US06005000303,6005000303,Total,Vulnerable,"Amador County",Ione,0.00,0.00,0.00,0.00,0.00,0.00
1400000US06005000303,6005000303,Total,"2006 HW","Amador County",Ione,53.98,19.10,108.66,76.77,0.00,0.00
1400000US06005000304,6005000304,Total,"2006 HW","Amador County",Ione,53.98,19.10,108.66,76.77,0.00,0.00
1400000US06005000304,6005000304,Total,Vulnerable,"Amador County",Ione,0.00,0.00,0.00,0.00,0.00,0.00
1400000US06005000304,6005000304,AM,General,"Amador County",Ione,57.11,24.68,96.70,64.40,0.03,4.00
1400000US06005000304,6005000304,JJA,General,"Amador County",Ione,44.14,19.93,102.98,71.26,0.20,4.83
1400000US06005000304,6005000304,SO,General,"Amador County",Ione,44.09,20.00,96.27,63.38,0.33,4.60
1400000US06005000401,6005000401,SO,General,"Amador County","Sutter Creek",44.09,20.00,96.27,63.38,0.33,4.60
1400000US06005000401,6005000401,JJA,General,"Amador County","Sutter Creek",44.14,19.93,102.98,71.26,0.20,4.83
1400000US06005000401,6005000401,AM,General,"Amador County","Sutter Creek",57.11,24.68,96.70,64.40,0.03,4.00
1400000US06005000401,6005000401,Total,Vulnerable,"Amador County","Sutter Creek",0.00,0.00,0.00,0.00,0.00,0.00
1400000US06005000401,6005000401,Total,"2006 HW","Amador County","Sutter Creek",53.98,19.10,108.66,76.77,0.00,0.00
1400000US06005000402,6005000402,SO,General,"Amador County","Pine Grove",44.09,20.00,96.27,63.38,0.33,4.60
1400000US06005000402,6005000402,JJA,General,"Amador County","Pine Grove",44.14,19.93,102.98,71.26,0.20,4.83
1400000US06005000402,6005000402,AM,General,"Amador County","Pine Grove",57.11,24.68,96.70,64.40,0.03,4.00
1400000US06005000402,6005000402,Total,Vulnerable,"Amador County","Pine Grove",0.00,0.00,0.00,0.00,0.00,0.00
1400000US06005000402,6005000402,Total,"2006 HW","Amador County","Pine Grove",53.98,19.10,108.66,76.77,0.00,0.00
1400000US06005000500,6005000500,Total,"2006 HW","Amador County",Jackson,53.98,19.10,108.66,76.77,0.00,0.00
1400000US06005000500,6005000500,Total,Vulnerable,"Amador County",Jackson,0.00,0.00,0.00,0.00,0.00,0.00
1400000US06005000500,6005000500,AM,General,"Amador County",Jackson,57.11,24.68,96.70,64.40,0.03,4.00
1400000US06005000500,6005000500,JJA,General,"Amador County",Jackson,44.14,19.93,102.98,71.26,0.20,4.83
1400000US06005000500,6005000500,SO,General,"Amador County",Jackson,44.09,20.00,96.27,63.38,0.33,4.60
