geoid_long,census_tract,time_of_year,socioeconomic_group,census_county,census_city,avg_event_rh_max_perc,avg_event_rh_min_perc,tmax,tmin,hist_avg_annual_events,hist_avg_duration
1400000US06007000102,6007000102,Total,"2006 HW","Butte County",Chico,53.93,21.41,107.51,77.59,0.00,0.00
1400000US06007000102,6007000102,Total,Vulnerable,"Butte County",Chico,55.35,20.98,103.24,73.35,0.07,6.00
1400000US06007000102,6007000102,AM,General,"Butte County",Chico,52.17,17.31,99.13,66.08,0.07,2.50
1400000US06007000102,6007000102,JJA,General,"Butte County",Chico,38.12,12.15,102.93,69.12,0.47,5.14
1400000US06007000102,6007000102,SO,General,"Butte County",Chico,49.58,16.97,97.22,64.41,0.23,4.57
1400000US06007000103,6007000103,SO,General,"Butte County",Chico,49.58,16.97,97.22,64.41,0.23,4.57
1400000US06007000103,6007000103,JJA,General,"Butte County",Chico,38.12,12.15,102.93,69.12,0.47,5.14
1400000US06007000103,6007000103,AM,General,"Butte County",Chico,52.17,17.31,99.13,66.08,0.07,2.50
1400000US06007000103,6007000103,Total,Vulnerable,"Butte County",Chico,55.35,20.98,103.24,73.35,0.07,6.00
1400000US06007000103,6007000103,Total,"2006 HW","Butte County",Chico,53.93,21.41,107.51,77.59,0.00,0.00
1400000US06007000104,6007000104,Total,"2006 HW","Butte County",Chico,53.93,21.41,107.51,77.59,0.00,0.00
1400000US06007000104,6007000104,Total,Vulnerable,"Butte County",Chico,55.35,20.98,103.24,73.35,0.07,6.00
1400000US06007000104,6007000104,AM,General,"Butte County",Chico,52.17,17.31,99.13,66.08,0.07,2.50
1400000US06007000104,6007000104,JJA,General,"Butte County",Chico,38.12,12.15,102.93,69.12,0.47,5.14
1400000US06007000104,6007000104,SO,General,"Butte County",Chico,49.58,16.97,97.22,64.41,0.23,4.57
1400000US06007000201,6007000201,SO,General,"Butte County",Chico,49.58,16.97,97.22,64.41,0.23,4.57
1400000US06007000201,6007000201,JJA,General,"Butte County",Chico,38.12,12.15,102.93,69.12,0.47,5.14
1400000US06007000201,6007000201,AM,General,"Butte County",Chico,52.17,17.31,99.13,66.08,0.07,2.50
1400000US06007000201,6007000201,Total,Vulnerable,"Butte County",Chico,55.35,20.98,103.24,73.35,0.07,6.00
1400000US06007000201,6007000201,Total,"2006 HW","Butte County",Chico,53.93,21.41,107.51,77.59,0.00,0.00
1400000US06007000202,6007000202,Total,"2006 HW","Butte County",Chico,53.93,21.41,107.51,77.59,0.00,0.00
1400000US06007000202,6007000202,Total,Vulnerable,"Butte County",Chico,55.35,20.98,103.24,73.35,0.07,6.00
1400000US06007000202,6007000202,AM,General,"Butte County",Chico,52.17,17.31,99.13,66.08,0.07,2.50
1400000US06007000202,6007000202,JJA,General,"Butte County",Chico,38.12,12.15,102.93,69.12,0.47,5.14
1400000US06007000202,6007000202,SO,General,"Butte County",Chico,49.58,16.97,97.22,64.41,0.23,4.57
1400000US06007000300,6007000300,SO,General,"Butte County",Chico,49.58,16.97,97.22,64.41,0.23,4.57
1400000US06007000300,6007000300,JJA,General,"Butte County",Chico,38.12,12.15,102.93,69.12,0.47,5.14
1400000US06007000300,6007000300,AM,General,"Butte County",Chico,52.17,17.31,99.13,66.08,0.07,2.50
1400000US06007000300,6007000300,Total,Vulnerable,"Butte County",Chico,55.35,20.98,103.24,73.35,0.07,6.00
1400000US06007000300,6007000300,Total,"2006 HW","Butte County",Chico,53.93,21.41,107.51,77.59,0.00,0.00
1400000US06007000401,6007000401,SO,General,"Butte County",Chico,49.58,16.97,97.22,64.41,0.23,4.57
1400000US06007000401,6007000401,JJA,General,"Butte County",Chico,38.12,12.15,102.93,69.12,0.47,5.14
1400000US06007000401,6007000401,AM,General,"Butte County",Chico,52.17,17.31,99.13,66.08,0.07,2.50
1400000US06007000401,6007000401,Total,Vulnerable,"Butte County",Chico,55.35,20.98,103.24,73.35,0.07,6.00
1400000US06007000401,6007000401,Total,"2006 HW","Butte County",Chico,53.93,21.41,107.51,77.59,0.00,0.00
1400000US06007000402,6007000402,Total,"2006 HW","Butte County",Chico,53.93,21.41,107.51,77.59,0.00,0.00
1400000US06007000402,6007000402,Total,Vulnerable,"Butte County",Chico,55.35,20.98,103.24,73.35,0.07,6.00
1400000US06007000402,6007000402,AM,General,"Butte County",Chico,52.17,17.31,99.13,66.08,0.07,2.50
1400000US06007000402,6007000402,JJA,General,"Butte County",Chico,38.12,12.15,102.93,69.12,0.47,5.14
1400000US06007000402,6007000402,SO,General,"Butte County",Chico,49.58,16.97,97.22,64.41,0.23,4.57
1400000US06007000501,6007000501,SO,General,"Butte County",Chico,49.58,16.97,97.22,64.41,0.23,4.57
1400000US06007000501,6007000501,JJA,General,"Butte County",Chico,38.12,12.15,102.93,69.12,0.47,5.14
1400000US06007000501,6007000501,AM,General,"Butte County",Chico,52.17,17.31,99.13,66.08,0.07,2.50
1400000US06007000501,6007000501,Total,Vulnerable,"Butte County",Chico,55.35,20.98,103.24,73.35,0.07,6.00
1400000US06007000501,6007000501,Total,"2006 HW","Butte County",Chico,53.93,21.41,107.51,77.59,0.00,0.00
1400000US06007000502,6007000502,SO,General,"Butte County",Chico,49.58,16.97,97.22,64.41,0.23,4.57
1400000US06007000502,6007000502,JJA,General,"Butte County",Chico,38.12,12.15,102.93,69.12,0.47,5.14
1400000US06007000502,6007000502,AM,General,"Butte County",Chico,52.17,17.31,99.13,66.08,0.07,2.50
1400000US06007000502,6007000502,Total,Vulnerable,"Butte County",Chico,55.35,20.98,103.24,73.35,0.07,6.00
1400000US06007000502,6007000502,Total,"2006 HW","Butte County",Chico,53.93,21.41,107.51,77.59,0.00,0.00
1400000US06007000601,6007000601,Total,"2006 HW","Butte County",Chico,53.93,21.41,107.51,77.59,0.00,0.00
1400000US06007000601,6007000601,Total,Vulnerable,"Butte County",Chico,55.35,20.98,103.24,73.35,0.07,6.00
1400000US06007000601,6007000601,AM,General,"Butte County",Chico,52.17,17.31,99.13,66.08,0.07,2.50
1400000US06007000601,6007000601,JJA,General,"Butte County",Chico,38.12,12.15,102.93,69.12,0.47,5.14
1400000US06007000601,6007000601,SO,General,"Butte County",Chico,49.58,16.97,97.22,64.41,0.23,4.57
1400000US06007000603,6007000603,SO,General,"Butte County",Chico,49.58,16.97,97.22,64.41,0.23,4.57
1400000US06007000603,6007000603,JJA,General,"Butte County",Chico,38.12,12.15,102.93,69.12,0.47,5.14
1400000US06007000603,6007000603,AM,General,"Butte County",Chico,52.17,17.31,99.13,66.08,0.07,2.50
1400000US06007000603,6007000603,Total,Vulnerable,"Butte County",Chico,55.35,20.98,103.24,73.35,0.07,6.00
1400000US06007000603,6007000603,Total,"2006 HW","Butte County",Chico,53.93,21.41,107.51,77.59,0.00,0.00
1400000US06007000604,6007000604,SO,General,"Butte County",Chico,49.58,16.97,97.22,64.41,0.23,4.57
1400000US06007000604,6007000604,JJA,General,"Butte County",Chico,38.12,12.15,102.93,69.12,0.47,5.14
1400000US06007000604,6007000604,AM,General,"Butte County",Chico,52.17,17.31,99.13,66.08,0.07,2.50
1400000US06007000604,6007000604,Total,Vulnerable,"Butte County",Chico,55.35,20.98,103.24,73.35,0.07,6.00
1400000US06007000604,6007000604,Total,"2006 HW","Butte County",Chico,53.93,21.41,107.51,77.59,0.00,0.00
1400000US06007000700,6007000700,Total,"2006 HW","Butte County",Chico,53.93,21.41,107.51,77.59,0.00,0.00
1400000US06007000700,6007000700,Total,Vulnerable,"Butte County",Chico,55.35,20.98,103.24,73.35,0.07,6.00
1400000US06007000700,6007000700,AM,General,"Butte County",Chico,52.17,17.31,99.13,66.08,0.07,2.50
1400000US06007000700,6007000700,JJA,General,"Butte County",Chico,38.12,12.15,102.93,69.12,0.47,5.14
1400000US06007000700,6007000700,SO,General,"Butte County",Chico,49.58,16.97,97.22,64.41,0.23,4.57
1400000US06007000800,6007000800,SO,General,"Butte County",Chico,49.58,16.97,97.22,64.41,0.23,4.57
1400000US06007000800,6007000800,JJA,General,"Butte County",Chico,38.12,12.15,102.93,69.12,0.47,5.14
1400000US06007000800,6007000800,AM,General,"Butte County",Chico,52.17,17.31,99.13,66.08,0.07,2.50
1400000US06007000800,6007000800,Total,Vulnerable,"Butte County",Chico,55.35,20.98,103.24,73.35,0.07,6.00
1400000US06007000800,6007000800,Total,"2006 HW","Butte County",Chico,53.93,21.41,107.51,77.59,0.00,0.00
1400000US06007000901,6007000901,Total,"2006 HW","Butte County",Chico,53.93,21.41,107.51,77.59,0.00,0.00
1400000US06007000901,6007000901,Total,Vulnerable,"Butte County",Chico,55.35,20.98,103.24,73.35,0.07,6.00
1400000US06007000901,6007000901,AM,General,"Butte County",Chico,52.17,17.31,99.13,66.08,0.07,2.50
1400000US06007000901,6007000901,JJA,General,"Butte County",Chico,38.12,12.15,102.93,69.12,0.47,5.14
1400000US06007000901,6007000901,SO,General,"Butte County",Chico,49.58,16.97,97.22,64.41,0.23,4.57
1400000US06007000903,6007000903,SO,General,"Butte County",Chico,49.58,16.97,97.22,64.41,0.23,4.57
1400000US06007000903,6007000903,JJA,General,"Butte County",Chico,38.12,12.15,102.93,69.12,0.47,5.14
1400000US06007000903,6007000903,AM,General,"Butte County",Chico,52.17,17.31,99.13,66.08,0.07,2.50
1400000US06007000903,6007000903,Total,Vulnerable,"Butte County",Chico,55.35,20.98,103.24,73.35,0.07,6.00
1400000US06007000903,6007000903,Total,"2006 HW","Butte County",Chico,53.93,21.41,107.51,77.59,0.00,0.00
1400000US06007000904,6007000904,Total,"2006 HW","Butte County",Chico,53.93,21.41,107.51,77.59,0.00,0.00
1400000US06007000904,6007000904,Total,Vulnerable,"Butte County",Chico,55.35,20.98,103.24,73.35,0.07,6.00
1400000US06007000904,6007000904,AM,General,"Butte County",Chico,52.17,17.31,99.13,66.08,0.07,2.50
1400000US06007000904,6007000904,JJA,General,"Butte County",Chico,38.12,12.15,102.93,69.12,0.47,5.14
1400000US06007000904,6007000904,SO,General,"Butte County",Chico,49.58,16.97,97.22,64.41,0.23,4.57
1400000US06007001000,6007001000,SO,General,"Butte County",Chico,49.58,16.97,97.22,64.41,0.23,4.57
1400000US06007001000,6007001000,JJA,General,"Butte County",Chico,38.12,12.15,102.93,69.12,0.47,5.14
1400000US06007001000,6007001000,AM,General,"Butte County",Chico,52.17,17.31,99.13,66.08,0.07,2.50
1400000US06007001000,6007001000,Total,Vulnerable,"Butte County",Chico,55.35,20.98,103.24,73.35,0.07,6.00
1400000US06007001000,6007001000,Total,"2006 HW","Butte County",Chico,53.93,21.41,107.51,77.59,0.00,0.00
1400000US06007001100,6007001100,SO,General,"Butte County",Chico,49.58,16.97,97.22,64.41,0.23,4.57
1400000US06007001100,6007001100,JJA,General,"Butte County",Chico,38.12,12.15,102.93,69.12,0.47,5.14
1400000US06007001100,6007001100,AM,General,"Butte County",Chico,52.17,17.31,99.13,66.08,0.07,2.50
1400000US06007001100,6007001100,Total,Vulnerable,"Butte County",Chico,55.35,20.98,103.24,73.35,0.07,6.00
1400000US06007001100,6007001100,Total,"2006 HW","Butte County",Chico,53.93,21.41,107.51,77.59,0.00,0.00
1400000US06007001200,6007001200,Total,"2006 HW","Butte County",Chico,53.93,21.41,107.51,77.59,0.00,0.00
1400000US06007001200,6007001200,Total,Vulnerable,"Butte County",Chico,55.35,20.98,103.24,73.35,0.07,6.00
1400000US06007001200,6007001200,AM,General,"Butte County",Chico,52.17,17.31,99.13,66.08,0.07,2.50
1400000US06007001200,6007001200,JJA,General,"Butte County",Chico,38.12,12.15,102.93,69.12,0.47,5.14
1400000US06007001200,6007001200,SO,General,"Butte County",Chico,49.58,16.97,97.22,64.41,0.23,4.57
1400000US06007001300,6007001300,SO,General,"Butte County",Chico,49.58,16.97,97.22,64.41,0.23,4.57
1400000US06007001300,6007001300,JJA,General,"Butte County",Chico,38.12,12.15,102.93,69.12,0.47,5.14
1400000US06007001300,6007001300,AM,General,"Butte County",Chico,52.17,17.31,99.13,66.08,0.07,2.50
1400000US06007001300,6007001300,Total,Vulnerable,"Butte County",Chico,55.35,20.98,103.24,73.35,0.07,6.00
1400000US06007001300,6007001300,Total,"2006 HW","Butte County",Chico,53.93,21.41,107.51,77.59,0.00,0.00
1400000US06007001400,6007001400,SO,General,"Butte County",Chico,49.58,16.97,97.22,64.41,0.23,4.57
1400000US06007001400,6007001400,JJA,General,"Butte County",Chico,38.12,12.15,102.93,69.12,0.47,5.14
1400000US06007001400,6007001400,AM,General,"Butte County",Chico,52.17,17.31,99.13,66.08,0.07,2.50
1400000US06007001400,6007001400,Total,Vulnerable,"Butte County",Chico,55.35,20.98,103.24,73.35,0.07,6.00
1400000US06007001400,6007001400,Total,"2006 HW","Butte County",Chico,53.93,21.41,107.51,77.59,0.00,0.00
1400000US06007001500,6007001500,Total,"2006 HW","Butte County",Durham,59.03,20.00,107.52,75.68,0.00,0.00
1400000US06007001500,6007001500,Total,Vulnerable,"Butte County",Durham,60.23,22.47,106.47,76.79,0.03,4.00
1400000US06007001500,6007001500,AM,General,"Butte County",Durham,69.15,23.95,91.46,59.67,0.37,4.73
1400000US06007001500,6007001500,JJA,General,"Butte County",Durham,48.58,15.00,104.16,69.20,0.30,4.00
1400000US06007001500,6007001500,SO,General,"Butte County",Durham,57.61,21.25,95.10,63.83,0.30,4.00
1400000US06007001600,6007001600,SO,General,"Butte County","Forest Ranch",49.58,16.97,97.22,64.41,0.23,4.57
1400000US06007001600,6007001600,JJA,General,"Butte County","Forest Ranch",38.12,12.15,102.93,69.12,0.47,5.14
