geoid_long,census_tract,time_of_year,socioeconomic_group,census_county,census_city,avg_event_rh_max_perc,avg_event_rh_min_perc,tmax,tmin,hist_avg_annual_events,hist_avg_duration
1400000US06009000120,6009000120,Total,"2006 HW","Calaveras County",Copperopolis,50.55,21.64,109.28,76.52,0.00,0.00
1400000US06009000120,6009000120,Total,Vulnerable,"Calaveras County",Copperopolis,0.00,0.00,0.00,0.00,0.00,0.00
1400000US06009000120,6009000120,AM,General,"Calaveras County",Copperopolis,71.07,26.94,91.77,58.71,0.20,4.83
1400000US06009000120,6009000120,JJA,General,"Calaveras County",Copperopolis,56.91,22.26,103.61,67.16,0.77,4.13
1400000US06009000120,6009000120,SO,General,"Calaveras County",Copperopolis,57.83,30.96,101.68,68.25,0.23,3.29
1400000US06009000121,6009000121,SO,General,"Calaveras County","Angels Camp",57.83,30.96,101.68,68.25,0.23,3.29
1400000US06009000121,6009000121,JJA,General,"Calaveras County","Angels Camp",56.91,22.26,103.61,67.16,0.77,4.13
1400000US06009000121,6009000121,AM,General,"Calaveras County","Angels Camp",71.07,26.94,91.77,58.71,0.20,4.83
1400000US06009000121,6009000121,Total,Vulnerable,"Calaveras County","Angels Camp",0.00,0.00,0.00,0.00,0.00,0.00
1400000US06009000121,6009000121,Total,"2006 HW","Calaveras County","Angels Camp",50.55,21.64,109.28,76.52,0.00,0.00
1400000US06009000122,6009000122,SO,General,"Calaveras County",Murphys,57.83,30.96,101.68,68.25,0.23,3.29
1400000US06009000122,6009000122,JJA,General,"Calaveras County",Murphys,56.91,22.26,103.61,67.16,0.77,4.13
1400000US06009000122,6009000122,AM,General,"Calaveras County",Murphys,71.07,26.94,91.77,58.71,0.20,4.83
1400000US06009000122,6009000122,Total,Vulnerable,"Calaveras County",Murphys,0.00,0.00,0.00,0.00,0.00,0.00
1400000US06009000122,6009000122,Total,"2006 HW","Calaveras County",Murphys,50.55,21.64,109.28,76.52,0.00,0.00
1400000US06009000210,6009000210,Total,"2006 HW","Calaveras County","Valley Springs",50.55,21.64,109.28,76.52,0.00,0.00
1400000US06009000210,6009000210,Total,Vulnerable,"Calaveras County","Valley Springs",0.00,0.00,0.00,0.00,0.00,0.00
1400000US06009000210,6009000210,AM,General,"Calaveras County","Valley Springs",71.07,26.94,91.77,58.71,0.20,4.83
1400000US06009000210,6009000210,JJA,General,"Calaveras County","Valley Springs",56.91,22.26,103.61,67.16,0.77,4.13
1400000US06009000210,6009000210,SO,General,"Calaveras County","Valley Springs",57.83,30.96,101.68,68.25,0.23,3.29
1400000US06009000220,6009000220,SO,General,"Calaveras County","Valley Springs",57.83,30.96,101.68,68.25,0.23,3.29
1400000US06009000220,6009000220,JJA,General,"Calaveras County","Valley Springs",56.91,22.26,103.61,67.16,0.77,4.13
1400000US06009000220,6009000220,AM,General,"Calaveras County","Valley Springs",71.07,26.94,91.77,58.71,0.20,4.83
1400000US06009000220,6009000220,Total,Vulnerable,"Calaveras County","Valley Springs",0.00,0.00,0.00,0.00,0.00,0.00
1400000US06009000220,6009000220,Total,"2006 HW","Calaveras County","Valley Springs",50.55,21.64,109.28,76.52,0.00,0.00
1400000US06009000300,6009000300,SO,General,"Calaveras County","Mountain Ranch",57.83,30.96,101.68,68.25,0.23,3.29
1400000US06009000300,6009000300,JJA,General,"Calaveras County","Mountain Ranch",56.91,22.26,103.61,67.16,0.77,4.13
1400000US06009000300,6009000300,AM,General,"Calaveras County","Mountain Ranch",71.07,26.94,91.77,58.71,0.20,4.83
1400000US06009000300,6009000300,Total,Vulnerable,"Calaveras County","Mountain Ranch",0.00,0.00,0.00,0.00,0.00,0.00
1400000US06009000300,6009000300,Total,"2006 HW","Calaveras County","Mountain Ranch",50.55,21.64,109.28,76.52,0.00,0.00
1400000US06009000400,6009000400,Total,"2006 HW","Calaveras County",Wilseyville,56.87,21.62,91.73,63.53,0.00,0.00
1400000US06009000400,6009000400,Total,Vulnerable,"Calaveras County",Wilseyville,52.26,20.40,86.90,58.63,0.73,3.32
1400000US06009000400,6009000400,AM,General,"Calaveras County",Wilseyville,57.56,22.14,78.16,49.62,0.37,4.18
1400000US06009000400,6009000400,JJA,General,"Calaveras County",Wilseyville,47.81,18.89,90.68,61.63,0.17,4.80
1400000US06009000400,6009000400,SO,General,"Calaveras County",Wilseyville,66.58,28.40,83.20,58.60,0.17,4.00
1400000US06009000501,6009000501,SO,General,"Calaveras County",Arnold,66.58,28.40,83.20,58.60,0.17,4.00
1400000US06009000501,6009000501,JJA,General,"Calaveras County",Arnold,47.81,18.89,90.68,61.63,0.17,4.80
1400000US06009000501,6009000501,AM,General,"Calaveras County",Arnold,57.56,22.14,78.16,49.62,0.37,4.18
1400000US06009000501,6009000501,Total,Vulnerable,"Calaveras County",Arnold,52.26,20.40,86.90,58.63,0.73,3.32
1400000US06009000501,6009000501,Total,"2006 HW","Calaveras County",Arnold,56.87,21.62,91.73,63.53,0.00,0.00
1400000US06009000503,6009000503,SO,General,"Calaveras County",Arnold,66.58,28.40,83.20,58.60,0.17,4.00
1400000US06009000503,6009000503,JJA,General,"Calaveras County",Arnold,47.81,18.89,90.68,61.63,0.17,4.80
1400000US06009000503,6009000503,AM,General,"Calaveras County",Arnold,57.56,22.14,78.16,49.62,0.37,4.18
1400000US06009000503,6009000503,Total,Vulnerable,"Calaveras County",Arnold,52.26,20.40,86.90,58.63,0.73,3.32
1400000US06009000503,6009000503,Total,"2006 HW","Calaveras County",Arnold,56.87,21.62,91.73,63.53,0.00,0.00
1400000US06009000504,6009000504,Total,"2006 HW","Calaveras County",Arnold,56.87,21.62,91.73,63.53,0.00,0.00
1400000US06009000504,6009000504,Total,Vulnerable,"Calaveras County",Arnold,52.26,20.40,86.90,58.63,0.73,3.32
1400000US06009000504,6009000504,AM,General,"Calaveras County",Arnold,57.56,22.14,78.16,49.62,0.37,4.18
1400000US06009000504,6009000504,JJA,General,"Calaveras County",Arnold,47.81,18.89,90.68,61.63,0.17,4.80
1400000US06009000504,6009000504,SO,General,"Calaveras County",Arnold,66.58,28.40,83.20,58.60,0.17,4.00
