geoid_long,census_tract,time_of_year,socioeconomic_group,census_county,census_city,avg_event_rh_max_perc,avg_event_rh_min_perc,tmax,tmin,hist_avg_annual_events,hist_avg_duration
1400000US06011000100,6011000100,Total,"2006 HW","Colusa County",Arbuckle,64.39,21.74,106.98,75.14,0.00,0.00
1400000US06011000100,6011000100,Total,Vulnerable,"Colusa County",Arbuckle,58.77,20.26,95.30,62.59,5.07,4.36
1400000US06011000100,6011000100,AM,General,"Colusa County",Arbuckle,62.36,22.85,99.93,66.55,0.07,2.00
1400000US06011000100,6011000100,JJA,General,"Colusa County",Arbuckle,57.63,19.07,103.90,67.36,0.53,4.06
1400000US06011000100,6011000100,SO,General,"Colusa County",Arbuckle,64.39,19.67,96.83,60.82,0.97,3.28
1400000US06011000200,6011000200,SO,General,"Colusa County",Colusa,64.39,19.67,96.83,60.82,0.97,3.28
1400000US06011000200,6011000200,JJA,General,"Colusa County",Colusa,57.63,19.07,103.90,67.36,0.53,4.06
1400000US06011000200,6011000200,AM,General,"Colusa County",Colusa,62.36,22.85,99.93,66.55,0.07,2.00
1400000US06011000200,6011000200,Total,Vulnerable,"Colusa County",Colusa,58.77,20.26,95.30,62.59,5.07,4.36
1400000US06011000200,6011000200,Total,"2006 HW","Colusa County",Colusa,64.39,21.74,106.98,75.14,0.00,0.00
1400000US06011000300,6011000300,SO,General,"Colusa County",Williams,64.39,19.67,96.83,60.82,0.97,3.28
1400000US06011000300,6011000300,JJA,General,"Colusa County",Williams,57.63,19.07,103.90,67.36,0.53,4.06
1400000US06011000300,6011000300,AM,General,"Colusa County",Williams,62.36,22.85,99.93,66.55,0.07,2.00
1400000US06011000300,6011000300,Total,Vulnerable,"Colusa County",Williams,58.77,20.26,95.30,62.59,5.07,4.36
1400000US06011000300,6011000300,Total,"2006 HW","Colusa County",Williams,64.39,21.74,106.98,75.14,0.00,0.00
1400000US06011000400,6011000400,SO,General,"Colusa County",Stonyford,64.39,19.67,96.83,60.82,0.97,3.28
1400000US06011000400,6011000400,JJA,General,"Colusa County",Stonyford,57.63,19.07,103.90,67.36,0.53,4.06
1400000US06011000400,6011000400,AM,General,"Colusa County",Stonyford,62.36,22.85,99.93,66.55,0.07,2.00
1400000US06011000400,6011000400,Total,Vulnerable,"Colusa County",Stonyford,58.77,20.26,95.30,62.59,5.07,4.36
1400000US06011000400,6011000400,Total,"2006 HW","Colusa County",Stonyford,64.39,21.74,106.98,75.14,0.00,0.00
1400000US06011000500,6011000500,Total,"2006 HW","Colusa County",Colusa,64.39,21.74,106.98,75.14,0.00,0.00
1400000US06011000500,6011000500,Total,Vulnerable,"Colusa County",Colusa,58.77,20.26,95.30,62.59,5.07,4.36
1400000US06011000500,6011000500,AM,General,"Colusa County",Colusa,62.36,22.85,99.93,66.55,0.07,2.00
1400000US06011000500,6011000500,JJA,General,"Colusa County",Colusa,57.63,19.07,103.90,67.36,0.53,4.06
1400000US06011000500,6011000500,SO,General,"Colusa County",Colusa,64.39,19.67,96.83,60.82,0.97,3.28
