geoid_long,census_tract,time_of_year,socioeconomic_group,census_county,census_city,avg_event_rh_max_perc,avg_event_rh_min_perc,tmax,tmin,hist_avg_annual_events,hist_avg_duration
1400000US06013301000,6013301000,Total,"2006 HW","Contra Costa County",Oakley,76.95,35.99,108.56,73.14,0.00,0.00
1400000US06013301000,6013301000,Total,Vulnerable,"Contra Costa County",Oakley,58.50,24.47,89.29,56.55,7.13,3.70
1400000US06013301000,6013301000,AM,General,"Contra Costa County",Oakley,74.78,28.33,90.57,56.49,0.87,3.54
1400000US06013301000,6013301000,JJA,General,"Contra Costa County",Oakley,86.13,44.87,93.75,66.77,0.53,5.44
1400000US06013301000,6013301000,SO,General,"Contra Costa County",Oakley,77.49,28.45,96.59,61.88,0.20,4.00
1400000US06013302005,6013302005,Total,"2006 HW","Contra Costa County",Oakley,76.95,35.99,108.56,73.14,0.00,0.00
1400000US06013302005,6013302005,Total,Vulnerable,"Contra Costa County",Oakley,58.50,24.47,89.29,56.55,7.13,3.70
1400000US06013302005,6013302005,AM,General,"Contra Costa County",Oakley,74.78,28.33,90.57,56.49,0.87,3.54
1400000US06013302005,6013302005,JJA,General,"Contra Costa County",Oakley,86.13,44.87,93.75,66.77,0.53,5.44
1400000US06013302005,6013302005,SO,General,"Contra Costa County",Oakley,77.49,28.45,96.59,61.88,0.20,4.00
1400000US06013302006,6013302006,Total,"2006 HW","Contra Costa County",Oakley,76.95,35.99,108.56,73.14,0.00,0.00
1400000US06013302006,6013302006,Total,Vulnerable,"Contra Costa County",Oakley,58.50,24.47,89.29,56.55,7.13,3.70
1400000US06013302006,6013302006,AM,General,"Contra Costa County",Oakley,74.78,28.33,90.57,56.49,0.87,3.54
1400000US06013302006,6013302006,JJA,General,"Contra Costa County",Oakley,86.13,44.87,93.75,66.77,0.53,5.44
1400000US06013302006,6013302006,SO,General,"Contra Costa County",Oakley,77.49,28.45,96.59,61.88,0.20,4.00
1400000US06013302007,6013302007,Total,"2006 HW","Contra Costa County",Oakley,76.95,35.99,108.56,73.14,0.00,0.00
1400000US06013302007,6013302007,Total,Vulnerable,"Contra Costa County",Oakley,58.50,24.47,89.29,56.55,7.13,3.70
1400000US06013302007,6013302007,AM,General,"Contra Costa County",Oakley,74.78,28.33,90.57,56.49,0.87,3.54
1400000US06013302007,6013302007,JJA,General,"Contra Costa County",Oakley,86.13,44.87,93.75,66.77,0.53,5.44
1400000US06013302007,6013302007,SO,General,"Contra Costa County",Oakley,77.49,28.45,96.59,61.88,0.20,4.00
1400000US06013302008,6013302008,Total,"2006 HW","Contra Costa County",Oakley,76.95,35.99,108.56,73.14,0.00,0.00
1400000US06013302008,6013302008,Total,Vulnerable,"Contra Costa County",Oakley,58.50,24.47,89.29,56.55,7.13,3.70
1400000US06013302008,6013302008,AM,General,"Contra Costa County",Oakley,74.78,28.33,90.57,56.49,0.87,3.54
1400000US06013302008,6013302008,JJA,General,"Contra Costa County",Oakley,86.13,44.87,93.75,66.77,0.53,5.44
1400000US06013302008,6013302008,SO,General,"Contra Costa County",Oakley,77.49,28.45,96.59,61.88,0.20,4.00
1400000US06013302009,6013302009,Total,"2006 HW","Contra Costa County",Antioch,67.62,31.19,108.41,72.98,0.00,0.00
1400000US06013302009,6013302009,Total,Vulnerable,"Contra Costa County",Antioch,70.50,31.29,94.17,62.42,1.43,5.19
1400000US06013302009,6013302009,AM,General,"Contra Costa County",Antioch,63.28,30.69,88.79,58.55,0.43,4.31
1400000US06013302009,6013302009,JJA,General,"Contra Costa County",Antioch,72.78,22.92,100.15,60.59,0.33,5.00
1400000US06013302009,6013302009,SO,General,"Contra Costa County",Antioch,62.97,22.58,96.27,62.14,0.03,4.00
1400000US06013302010,6013302010,Total,"2006 HW","Contra Costa County",Oakley,76.95,35.99,108.56,73.14,0.00,0.00
1400000US06013302010,6013302010,Total,Vulnerable,"Contra Costa County",Oakley,58.50,24.47,89.29,56.55,7.13,3.70
1400000US06013302010,6013302010,AM,General,"Contra Costa County",Oakley,74.78,28.33,90.57,56.49,0.87,3.54
1400000US06013302010,6013302010,JJA,General,"Contra Costa County",Oakley,86.13,44.87,93.75,66.77,0.53,5.44
1400000US06013302010,6013302010,SO,General,"Contra Costa County",Oakley,77.49,28.45,96.59,61.88,0.20,4.00
1400000US06013303102,6013303102,Total,"2006 HW","Contra Costa County",Brentwood,76.39,34.28,109.28,72.10,0.00,0.00
1400000US06013303102,6013303102,Total,Vulnerable,"Contra Costa County",Brentwood,79.88,30.29,92.05,58.87,5.17,3.66
1400000US06013303102,6013303102,AM,General,"Contra Costa County",Brentwood,72.28,28.30,91.30,56.51,0.73,3.55
1400000US06013303102,6013303102,JJA,General,"Contra Costa County",Brentwood,85.88,43.07,92.30,65.94,0.67,5.25
1400000US06013303102,6013303102,SO,General,"Contra Costa County",Brentwood,70.00,24.96,96.22,60.70,0.17,4.60
1400000US06013303103,6013303103,Total,"2006 HW","Contra Costa County",Brentwood,76.39,34.28,109.28,72.10,0.00,0.00
1400000US06013303103,6013303103,Total,Vulnerable,"Contra Costa County",Brentwood,79.88,30.29,92.05,58.87,5.17,3.66
1400000US06013303103,6013303103,AM,General,"Contra Costa County",Brentwood,72.28,28.30,91.30,56.51,0.73,3.55
