geoid_long,census_tract,time_of_year,socioeconomic_group,census_county,census_city,avg_event_rh_max_perc,avg_event_rh_min_perc,tmax,tmin,hist_avg_annual_events,hist_avg_duration
1400000US06015000101,6015000101,Total,"2006 HW","Del Norte County","Crescent City",71.77,37.08,85.02,63.59,0.00,0.00
1400000US06015000101,6015000101,Total,Vulnerable,"Del Norte County","Crescent City",79.42,34.25,76.05,51.93,4.50,3.61
1400000US06015000101,6015000101,AM,General,"Del Norte County","Crescent City",73.90,27.69,81.50,53.21,0.50,2.87
1400000US06015000101,6015000101,JJA,General,"Del Norte County","Crescent City",78.31,26.88,85.82,55.71,0.13,3.00
1400000US06015000101,6015000101,SO,General,"Del Norte County","Crescent City",55.35,17.32,87.49,56.39,0.03,2.00
1400000US06015000102,6015000102,SO,General,"Del Norte County","Crescent City",55.35,17.32,87.49,56.39,0.03,2.00
1400000US06015000102,6015000102,JJA,General,"Del Norte County","Crescent City",78.31,26.88,85.82,55.71,0.13,3.00
1400000US06015000102,6015000102,AM,General,"Del Norte County","Crescent City",73.90,27.69,81.50,53.21,0.50,2.87
1400000US06015000102,6015000102,Total,Vulnerable,"Del Norte County","Crescent City",79.42,34.25,76.05,51.93,4.50,3.61
1400000US06015000102,6015000102,Total,"2006 HW","Del Norte County","Crescent City",71.77,37.08,85.02,63.59,0.00,0.00
1400000US06015000104,6015000104,Total,"2006 HW","Del Norte County","Crescent City",71.77,37.08,85.02,63.59,0.00,0.00
1400000US06015000104,6015000104,Total,Vulnerable,"Del Norte County","Crescent City",79.42,34.25,76.05,51.93,4.50,3.61
1400000US06015000104,6015000104,AM,General,"Del Norte County","Crescent City",73.90,27.69,81.50,53.21,0.50,2.87
1400000US06015000104,6015000104,JJA,General,"Del Norte County","Crescent City",78.31,26.88,85.82,55.71,0.13,3.00
1400000US06015000104,6015000104,SO,General,"Del Norte County","Crescent City",55.35,17.32,87.49,56.39,0.03,2.00
1400000US06015000105,6015000105,SO,General,"Del Norte County","Crescent City",55.35,17.32,87.49,56.39,0.03,2.00
1400000US06015000105,6015000105,JJA,General,"Del Norte County","Crescent City",78.31,26.88,85.82,55.71,0.13,3.00
1400000US06015000105,6015000105,AM,General,"Del Norte County","Crescent City",73.90,27.69,81.50,53.21,0.50,2.87
1400000US06015000105,6015000105,Total,Vulnerable,"Del Norte County","Crescent City",79.42,34.25,76.05,51.93,4.50,3.61
1400000US06015000105,6015000105,Total,"2006 HW","Del Norte County","Crescent City",71.77,37.08,85.02,63.59,0.00,0.00
1400000US06015000201,6015000201,Total,"2006 HW","Del Norte County","Crescent City",71.77,37.08,85.02,63.59,0.00,0.00
1400000US06015000201,6015000201,Total,Vulnerable,"Del Norte County","Crescent City",79.42,34.25,76.05,51.93,4.50,3.61
1400000US06015000201,6015000201,AM,General,"Del Norte County","Crescent City",73.90,27.69,81.50,53.21,0.50,2.87
1400000US06015000201,6015000201,JJA,General,"Del Norte County","Crescent City",78.31,26.88,85.82,55.71,0.13,3.00
1400000US06015000201,6015000201,SO,General,"Del Norte County","Crescent City",55.35,17.32,87.49,56.39,0.03,2.00
1400000US06015000202,6015000202,SO,General,"Del Norte County","Crescent City",55.35,17.32,87.49,56.39,0.03,2.00
1400000US06015000202,6015000202,JJA,General,"Del Norte County","Crescent City",78.31,26.88,85.82,55.71,0.13,3.00
1400000US06015000202,6015000202,AM,General,"Del Norte County","Crescent City",73.90,27.69,81.50,53.21,0.50,2.87
1400000US06015000202,6015000202,Total,Vulnerable,"Del Norte County","Crescent City",79.42,34.25,76.05,51.93,4.50,3.61
1400000US06015000202,6015000202,Total,"2006 HW","Del Norte County","Crescent City",71.77,37.08,85.02,63.59,0.00,0.00
1400000US06015000203,6015000203,Total,"2006 HW","Del Norte County",Klamath,71.77,37.08,85.02,63.59,0.00,0.00
1400000US06015000203,6015000203,Total,Vulnerable,"Del Norte County",Klamath,79.42,34.25,76.05,51.93,4.50,3.61
1400000US06015000203,6015000203,AM,General,"Del Norte County",Klamath,73.90,27.69,81.50,53.21,0.50,2.87
1400000US06015000203,6015000203,JJA,General,"Del Norte County",Klamath,78.31,26.88,85.82,55.71,0.13,3.00
1400000US06015000203,6015000203,SO,General,"Del Norte County",Klamath,55.35,17.32,87.49,56.39,0.03,2.00
