geoid_long,census_tract,time_of_year,socioeconomic_group,census_county,census_city,avg_event_rh_max_perc,avg_event_rh_min_perc,tmax,tmin,hist_avg_annual_events,hist_avg_duration
1400000US06019000100,6019000100,Total,"2006 HW","Fresno County",Fresno,62.70,23.72,110.52,79.54,0.00,0.00
1400000US06019000100,6019000100,Total,Vulnerable,"Fresno County",Fresno,65.81,21.32,102.26,67.75,2.80,4.05
1400000US06019000100,6019000100,AM,General,"Fresno County",Fresno,66.49,24.26,99.40,66.09,0.37,4.09
1400000US06019000100,6019000100,JJA,General,"Fresno County",Fresno,61.47,24.09,106.63,75.20,0.57,5.76
1400000US06019000100,6019000100,SO,General,"Fresno County",Fresno,63.17,30.17,95.84,70.28,0.07,5.50
1400000US06019000200,6019000200,SO,General,"Fresno County",Fresno,63.17,30.17,95.84,70.28,0.07,5.50
1400000US06019000200,6019000200,JJA,General,"Fresno County",Fresno,61.47,24.09,106.63,75.20,0.57,5.76
1400000US06019000200,6019000200,AM,General,"Fresno County",Fresno,66.49,24.26,99.40,66.09,0.37,4.09
1400000US06019000200,6019000200,Total,Vulnerable,"Fresno County",Fresno,65.81,21.32,102.26,67.75,2.80,4.05
1400000US06019000200,6019000200,Total,"2006 HW","Fresno County",Fresno,62.70,23.72,110.52,79.54,0.00,0.00
1400000US06019000300,6019000300,Total,"2006 HW","Fresno County",Fresno,62.70,23.72,110.52,79.54,0.00,0.00
1400000US06019000300,6019000300,Total,Vulnerable,"Fresno County",Fresno,65.81,21.32,102.26,67.75,2.80,4.05
1400000US06019000300,6019000300,AM,General,"Fresno County",Fresno,66.49,24.26,99.40,66.09,0.37,4.09
1400000US06019000300,6019000300,JJA,General,"Fresno County",Fresno,61.47,24.09,106.63,75.20,0.57,5.76
1400000US06019000300,6019000300,SO,General,"Fresno County",Fresno,63.17,30.17,95.84,70.28,0.07,5.50
1400000US06019000400,6019000400,SO,General,"Fresno County",Fresno,63.17,30.17,95.84,70.28,0.07,5.50
1400000US06019000400,6019000400,JJA,General,"Fresno County",Fresno,61.47,24.09,106.63,75.20,0.57,5.76
1400000US06019000400,6019000400,AM,General,"Fresno County",Fresno,66.49,24.26,99.40,66.09,0.37,4.09
1400000US06019000400,6019000400,Total,Vulnerable,"Fresno County",Fresno,65.81,21.32,102.26,67.75,2.80,4.05
1400000US06019000400,6019000400,Total,"2006 HW","Fresno County",Fresno,62.70,23.72,110.52,79.54,0.00,0.00
1400000US06019000501,6019000501,Total,"2006 HW","Fresno County",Fresno,62.70,23.72,110.52,79.54,0.00,0.00
1400000US06019000501,6019000501,Total,Vulnerable,"Fresno County",Fresno,65.81,21.32,102.26,67.75,2.80,4.05
1400000US06019000501,6019000501,AM,General,"Fresno County",Fresno,66.49,24.26,99.40,66.09,0.37,4.09
