geoid_long,census_tract,time_of_year,socioeconomic_group,census_county,census_city,avg_event_rh_max_perc,avg_event_rh_min_perc,tmax,tmin,hist_avg_annual_events,hist_avg_duration
1400000US06021010100,6021010100,Total,"2006 HW","Glenn County",Orland,72.60,23.64,108.19,75.56,0.00,0.00
1400000US06021010100,6021010100,Total,Vulnerable,"Glenn County",Orland,0.00,0.00,0.00,0.00,0.00,0.00
1400000US06021010100,6021010100,AM,General,"Glenn County",Orland,72.64,21.13,99.62,64.28,0.03,3.00
1400000US06021010100,6021010100,JJA,General,"Glenn County",Orland,59.44,15.40,103.79,65.49,0.53,5.81
1400000US06021010100,6021010100,SO,General,"Glenn County",Orland,58.94,13.86,102.06,64.03,0.13,4.75
1400000US06021010200,6021010200,SO,General,"Glenn County",Orland,58.94,13.86,102.06,64.03,0.13,4.75
1400000US06021010200,6021010200,JJA,General,"Glenn County",Orland,59.44,15.40,103.79,65.49,0.53,5.81
1400000US06021010200,6021010200,AM,General,"Glenn County",Orland,72.64,21.13,99.62,64.28,0.03,3.00
1400000US06021010200,6021010200,Total,Vulnerable,"Glenn County",Orland,0.00,0.00,0.00,0.00,0.00,0.00
1400000US06021010200,6021010200,Total,"2006 HW","Glenn County",Orland,72.60,23.64,108.19,75.56,0.00,0.00
1400000US06021010300,6021010300,Total,"2006 HW","Glenn County","Elk Creek",72.60,23.64,108.19,75.56,0.00,0.00
1400000US06021010300,6021010300,Total,Vulnerable,"Glenn County","Elk Creek",0.00,0.00,0.00,0.00,0.00,0.00
1400000US06021010300,6021010300,AM,General,"Glenn County","Elk Creek",72.64,21.13,99.62,64.28,0.03,3.00
1400000US06021010300,6021010300,JJA,General,"Glenn County","Elk Creek",59.44,15.40,103.79,65.49,0.53,5.81
1400000US06021010300,6021010300,SO,General,"Glenn County","Elk Creek",58.94,13.86,102.06,64.03,0.13,4.75
1400000US06021010400,6021010400,SO,General,"Glenn County",Willows,58.94,13.86,102.06,64.03,0.13,4.75
1400000US06021010400,6021010400,JJA,General,"Glenn County",Willows,59.44,15.40,103.79,65.49,0.53,5.81
1400000US06021010400,6021010400,AM,General,"Glenn County",Willows,72.64,21.13,99.62,64.28,0.03,3.00
1400000US06021010400,6021010400,Total,Vulnerable,"Glenn County",Willows,0.00,0.00,0.00,0.00,0.00,0.00
1400000US06021010400,6021010400,Total,"2006 HW","Glenn County",Willows,72.60,23.64,108.19,75.56,0.00,0.00
1400000US06021010501,6021010501,SO,General,"Glenn County",Orland,58.94,13.86,102.06,64.03,0.13,4.75
1400000US06021010501,6021010501,JJA,General,"Glenn County",Orland,59.44,15.40,103.79,65.49,0.53,5.81
1400000US06021010501,6021010501,AM,General,"Glenn County",Orland,72.64,21.13,99.62,64.28,0.03,3.00
1400000US06021010501,6021010501,Total,Vulnerable,"Glenn County",Orland,0.00,0.00,0.00,0.00,0.00,0.00
1400000US06021010501,6021010501,Total,"2006 HW","Glenn County",Orland,72.60,23.64,108.19,75.56,0.00,0.00
1400000US06021010502,6021010502,Total,"2006 HW","Glenn County",Glenn,72.60,23.64,108.19,75.56,0.00,0.00
1400000US06021010502,6021010502,Total,Vulnerable,"Glenn County",Glenn,0.00,0.00,0.00,0.00,0.00,0.00
1400000US06021010502,6021010502,AM,General,"Glenn County",Glenn,72.64,21.13,99.62,64.28,0.03,3.00
1400000US06021010502,6021010502,JJA,General,"Glenn County",Glenn,59.44,15.40,103.79,65.49,0.53,5.81
1400000US06021010502,6021010502,SO,General,"Glenn County",Glenn,58.94,13.86,102.06,64.03,0.13,4.75
