geoid_long,census_tract,time_of_year,socioeconomic_group,census_county,census_city,avg_event_rh_max_perc,avg_event_rh_min_perc,tmax,tmin,hist_avg_annual_events,hist_avg_duration
1400000US06023000100,6023000100,Total,"2006 HW","Humboldt County",Eureka,92.98,50.05,78.90,60.07,0.00,0.00
1400000US06023000100,6023000100,Total,Vulnerable,"Humboldt County",Eureka,93.70,55.33,76.21,58.29,3.23,3.31
1400000US06023000100,6023000100,AM,General,"Humboldt County",Eureka,87.88,36.46,79.47,50.37,0.17,4.60
1400000US06023000100,6023000100,JJA,General,"Humboldt County",Eureka,98.96,54.38,76.24,57.26,0.40,2.83
1400000US06023000100,6023000100,SO,General,"Humboldt County",Eureka,91.75,46.41,74.92,56.77,0.13,4.25
1400000US06023000200,6023000200,SO,General,"Humboldt County",Eureka,91.75,46.41,74.92,56.77,0.13,4.25
1400000US06023000200,6023000200,JJA,General,"Humboldt County",Eureka,98.96,54.38,76.24,57.26,0.40,2.83
1400000US06023000200,6023000200,AM,General,"Humboldt County",Eureka,87.88,36.46,79.47,50.37,0.17,4.60
1400000US06023000200,6023000200,Total,Vulnerable,"Humboldt County",Eureka,93.70,55.33,76.21,58.29,3.23,3.31
1400000US06023000200,6023000200,Total,"2006 HW","Humboldt County",Eureka,92.98,50.05,78.90,60.07,0.00,0.00
1400000US06023000300,6023000300,Total,"2006 HW","Humboldt County",Eureka,92.98,50.05,78.90,60.07,0.00,0.00
1400000US06023000300,6023000300,Total,Vulnerable,"Humboldt County",Eureka,93.70,55.33,76.21,58.29,3.23,3.31
1400000US06023000300,6023000300,AM,General,"Humboldt County",Eureka,87.88,36.46,79.47,50.37,0.17,4.60
1400000US06023000300,6023000300,JJA,General,"Humboldt County",Eureka,98.96,54.38,76.24,57.26,0.40,2.83
1400000US06023000300,6023000300,SO,General,"Humboldt County",Eureka,91.75,46.41,74.92,56.77,0.13,4.25
1400000US06023000400,6023000400,SO,General,"Humboldt County",Eureka,91.75,46.41,74.92,56.77,0.13,4.25
1400000US06023000400,6023000400,JJA,General,"Humboldt County",Eureka,98.96,54.38,76.24,57.26,0.40,2.83
1400000US06023000400,6023000400,AM,General,"Humboldt County",Eureka,87.88,36.46,79.47,50.37,0.17,4.60
1400000US06023000400,6023000400,Total,Vulnerable,"Humboldt County",Eureka,93.70,55.33,76.21,58.29,3.23,3.31
1400000US06023000400,6023000400,Total,"2006 HW","Humboldt County",Eureka,92.98,50.05,78.90,60.07,0.00,0.00
1400000US06023000500,6023000500,Total,"2006 HW","Humboldt County",Eureka,92.98,50.05,78.90,60.07,0.00,0.00
1400000US06023000500,6023000500,Total,Vulnerable,"Humboldt County",Eureka,93.70,55.33,76.21,58.29,3.23,3.31
1400000US06023000500,6023000500,AM,General,"Humboldt County",Eureka,87.88,36.46,79.47,50.37,0.17,4.60
1400000US06023000500,6023000500,JJA,General,"Humboldt County",Eureka,98.96,54.38,76.24,57.26,0.40,2.83
1400000US06023000500,6023000500,SO,General,"Humboldt County",Eureka,91.75,46.41,74.92,56.77,0.13,4.25
1400000US06023000600,6023000600,SO,General,"Humboldt County",Eureka,91.75,46.41,74.92,56.77,0.13,4.25
1400000US06023000600,6023000600,JJA,General,"Humboldt County",Eureka,98.96,54.38,76.24,57.26,0.40,2.83
1400000US06023000600,6023000600,AM,General,"Humboldt County",Eureka,87.88,36.46,79.47,50.37,0.17,4.60
