geoid_long,census_tract,time_of_year,socioeconomic_group,census_county,census_city,avg_event_rh_max_perc,avg_event_rh_min_perc,tmax,tmin,hist_avg_annual_events,hist_avg_duration
1400000US06025010101,6025010101,Total,"2006 HW","Imperial County",Calipatria,56.21,22.79,112.33,85.40,0.00,0.00
1400000US06025010101,6025010101,Total,Vulnerable,"Imperial County",Calipatria,55.09,24.52,106.48,75.82,1.53,6.26
1400000US06025010101,6025010101,AM,General,"Imperial County",Calipatria,45.31,19.08,102.98,68.39,0.07,3.00
1400000US06025010101,6025010101,JJA,General,"Imperial County",Calipatria,60.22,23.84,110.02,81.75,0.07,4.50
1400000US06025010101,6025010101,SO,General,"Imperial County",Calipatria,54.56,21.68,105.35,72.47,0.30,5.00
1400000US06025010102,6025010102,SO,General,"Imperial County",Calipatria,54.56,21.68,105.35,72.47,0.30,5.00
1400000US06025010102,6025010102,JJA,General,"Imperial County",Calipatria,60.22,23.84,110.02,81.75,0.07,4.50
1400000US06025010102,6025010102,AM,General,"Imperial County",Calipatria,45.31,19.08,102.98,68.39,0.07,3.00
1400000US06025010102,6025010102,Total,Vulnerable,"Imperial County",Calipatria,55.09,24.52,106.48,75.82,1.53,6.26
1400000US06025010102,6025010102,Total,"2006 HW","Imperial County",Calipatria,56.21,22.79,112.33,85.40,0.00,0.00
1400000US06025010200,6025010200,Total,"2006 HW","Imperial County",Westmorland,56.21,22.79,112.33,85.40,0.00,0.00
1400000US06025010200,6025010200,Total,Vulnerable,"Imperial County",Westmorland,55.09,24.52,106.48,75.82,1.53,6.26
1400000US06025010200,6025010200,AM,General,"Imperial County",Westmorland,45.31,19.08,102.98,68.39,0.07,3.00
1400000US06025010200,6025010200,JJA,General,"Imperial County",Westmorland,60.22,23.84,110.02,81.75,0.07,4.50
1400000US06025010200,6025010200,SO,General,"Imperial County",Westmorland,54.56,21.68,105.35,72.47,0.30,5.00
1400000US06025010300,6025010300,SO,General,"Imperial County",Brawley,54.56,21.68,105.35,72.47,0.30,5.00
1400000US06025010300,6025010300,JJA,General,"Imperial County",Brawley,60.22,23.84,110.02,81.75,0.07,4.50
1400000US06025010300,6025010300,AM,General,"Imperial County",Brawley,45.31,19.08,102.98,68.39,0.07,3.00
1400000US06025010300,6025010300,Total,Vulnerable,"Imperial County",Brawley,55.09,24.52,106.48,75.82,1.53,6.26
1400000US06025010300,6025010300,Total,"2006 HW","Imperial County",Brawley,56.21,22.79,112.33,85.40,0.00,0.00
1400000US06025010400,6025010400,Total,"2006 HW","Imperial County",Brawley,56.21,22.79,112.33,85.40,0.00,0.00
1400000US06025010400,6025010400,Total,Vulnerable,"Imperial County",Brawley,55.09,24.52,106.48,75.82,1.53,6.26
1400000US06025010400,6025010400,AM,General,"Imperial County",Brawley,45.31,19.08,102.98,68.39,0.07,3.00
1400000US06025010400,6025010400,JJA,General,"Imperial County",Brawley,60.22,23.84,110.02,81.75,0.07,4.50
1400000US06025010400,6025010400,SO,General,"Imperial County",Brawley,54.56,21.68,105.35,72.47,0.30,5.00
1400000US06025010500,6025010500,SO,General,"Imperial County",Brawley,54.56,21.68,105.35,72.47,0.30,5.00
1400000US06025010500,6025010500,JJA,General,"Imperial County",Brawley,60.22,23.84,110.02,81.75,0.07,4.50
1400000US06025010500,6025010500,AM,General,"Imperial County",Brawley,45.31,19.08,102.98,68.39,0.07,3.00
1400000US06025010500,6025010500,Total,Vulnerable,"Imperial County",Brawley,55.09,24.52,106.48,75.82,1.53,6.26
1400000US06025010500,6025010500,Total,"2006 HW","Imperial County",Brawley,56.21,22.79,112.33,85.40,0.00,0.00
1400000US06025010600,6025010600,Total,"2006 HW","Imperial County",Brawley,56.21,22.79,112.33,85.40,0.00,0.00
1400000US06025010600,6025010600,Total,Vulnerable,"Imperial County",Brawley,55.09,24.52,106.48,75.82,1.53,6.26
1400000US06025010600,6025010600,AM,General,"Imperial County",Brawley,45.31,19.08,102.98,68.39,0.07,3.00
1400000US06025010600,6025010600,JJA,General,"Imperial County",Brawley,60.22,23.84,110.02,81.75,0.07,4.50
1400000US06025010600,6025010600,SO,General,"Imperial County",Brawley,54.56,21.68,105.35,72.47,0.30,5.00
1400000US06025010700,6025010700,SO,General,"Imperial County",Brawley,54.56,21.68,105.35,72.47,0.30,5.00
1400000US06025010700,6025010700,JJA,General,"Imperial County",Brawley,60.22,23.84,110.02,81.75,0.07,4.50
1400000US06025010700,6025010700,AM,General,"Imperial County",Brawley,45.31,19.08,102.98,68.39,0.07,3.00
1400000US06025010700,6025010700,Total,Vulnerable,"Imperial County",Brawley,55.09,24.52,106.48,75.82,1.53,6.26
1400000US06025010700,6025010700,Total,"2006 HW","Imperial County",Brawley,56.21,22.79,112.33,85.40,0.00,0.00
1400000US06025010800,6025010800,Total,"2006 HW","Imperial County",Holtville,61.08,24.02,115.55,87.89,0.00,0.00
1400000US06025010800,6025010800,Total,Vulnerable,"Imperial County",Holtville,57.24,20.48,114.46,79.23,0.27,2.13
1400000US06025010800,6025010800,AM,General,"Imperial County",Holtville,52.20,21.13,107.36,70.96,0.07,3.00
1400000US06025010800,6025010800,JJA,General,"Imperial County",Holtville,61.43,24.58,113.39,82.33,0.03,5.00
1400000US06025010800,6025010800,SO,General,"Imperial County",Holtville,72.11,35.60,105.31,80.66,0.07,4.50
1400000US06025010900,6025010900,SO,General,"Imperial County",Holtville,72.11,35.60,105.31,80.66,0.07,4.50
1400000US06025010900,6025010900,JJA,General,"Imperial County",Holtville,61.43,24.58,113.39,82.33,0.03,5.00
