geoid_long,census_tract,time_of_year,socioeconomic_group,census_county,census_city,avg_event_rh_max_perc,avg_event_rh_min_perc,tmax,tmin,hist_avg_annual_events,hist_avg_duration
1400000US06029000101,6029000101,Total,"2006 HW","Kern County",Bakersfield,57.58,27.35,107.89,78.94,0.00,0.00
1400000US06029000101,6029000101,Total,Vulnerable,"Kern County",Bakersfield,59.84,27.05,101.40,72.93,0.33,3.90
1400000US06029000101,6029000101,AM,General,"Kern County",Bakersfield,55.43,22.16,99.93,66.62,0.23,3.14
1400000US06029000101,6029000101,JJA,General,"Kern County",Bakersfield,47.94,21.80,104.76,74.90,0.53,5.50
1400000US06029000101,6029000101,SO,General,"Kern County",Bakersfield,63.62,31.38,94.23,70.75,0.20,4.83
1400000US06029000102,6029000102,SO,General,"Kern County",Bakersfield,63.62,31.38,94.23,70.75,0.20,4.83
1400000US06029000102,6029000102,JJA,General,"Kern County",Bakersfield,47.94,21.80,104.76,74.90,0.53,5.50
1400000US06029000102,6029000102,AM,General,"Kern County",Bakersfield,55.43,22.16,99.93,66.62,0.23,3.14
1400000US06029000102,6029000102,Total,Vulnerable,"Kern County",Bakersfield,59.84,27.05,101.40,72.93,0.33,3.90
1400000US06029000102,6029000102,Total,"2006 HW","Kern County",Bakersfield,57.58,27.35,107.89,78.94,0.00,0.00
1400000US06029000200,6029000200,SO,General,"Kern County",Bakersfield,63.62,31.38,94.23,70.75,0.20,4.83
1400000US06029000200,6029000200,JJA,General,"Kern County",Bakersfield,47.94,21.80,104.76,74.90,0.53,5.50
1400000US06029000200,6029000200,AM,General,"Kern County",Bakersfield,55.43,22.16,99.93,66.62,0.23,3.14
1400000US06029000200,6029000200,Total,Vulnerable,"Kern County",Bakersfield,59.84,27.05,101.40,72.93,0.33,3.90
1400000US06029000200,6029000200,Total,"2006 HW","Kern County",Bakersfield,57.58,27.35,107.89,78.94,0.00,0.00
1400000US06029000300,6029000300,Total,"2006 HW","Kern County",Bakersfield,57.58,27.35,107.89,78.94,0.00,0.00
1400000US06029000300,6029000300,Total,Vulnerable,"Kern County",Bakersfield,59.84,27.05,101.40,72.93,0.33,3.90
1400000US06029000300,6029000300,AM,General,"Kern County",Bakersfield,55.43,22.16,99.93,66.62,0.23,3.14
1400000US06029000300,6029000300,JJA,General,"Kern County",Bakersfield,47.94,21.80,104.76,74.90,0.53,5.50
1400000US06029000300,6029000300,SO,General,"Kern County",Bakersfield,63.62,31.38,94.23,70.75,0.20,4.83
1400000US06029000400,6029000400,SO,General,"Kern County",Bakersfield,63.62,31.38,94.23,70.75,0.20,4.83
1400000US06029000400,6029000400,JJA,General,"Kern County",Bakersfield,47.94,21.80,104.76,74.90,0.53,5.50
1400000US06029000400,6029000400,AM,General,"Kern County",Bakersfield,55.43,22.16,99.93,66.62,0.23,3.14
1400000US06029000400,6029000400,Total,Vulnerable,"Kern County",Bakersfield,59.84,27.05,101.40,72.93,0.33,3.90
