geoid_long,census_tract,time_of_year,socioeconomic_group,census_county,census_city,avg_event_rh_max_perc,avg_event_rh_min_perc,tmax,tmin,hist_avg_annual_events,hist_avg_duration
1400000US06031000100,6031000100,Total,"2006 HW","Kings County",Hanford,74.71,24.50,109.37,76.94,0.00,0.00
1400000US06031000100,6031000100,Total,Vulnerable,"Kings County",Hanford,71.86,22.42,101.78,66.54,1.70,5.27
1400000US06031000100,6031000100,AM,General,"Kings County",Hanford,71.46,23.56,99.82,64.44,0.27,4.25
1400000US06031000100,6031000100,JJA,General,"Kings County",Hanford,69.27,21.31,105.42,70.86,0.23,4.14
1400000US06031000100,6031000100,SO,General,"Kings County",Hanford,64.73,31.78,95.43,69.14,0.13,4.50
1400000US06031000200,6031000200,SO,General,"Kings County",Lemoore,62.23,31.63,96.07,69.96,0.10,5.33
1400000US06031000200,6031000200,JJA,General,"Kings County",Lemoore,62.24,26.44,107.00,73.96,1.03,5.68
1400000US06031000200,6031000200,AM,General,"Kings County",Lemoore,67.82,21.43,99.82,64.07,0.27,4.25
1400000US06031000200,6031000200,Total,Vulnerable,"Kings County",Lemoore,60.53,26.80,102.64,73.20,0.57,3.00
1400000US06031000200,6031000200,Total,"2006 HW","Kings County",Lemoore,65.71,24.84,109.83,76.89,0.00,0.00
1400000US06031000300,6031000300,Total,"2006 HW","Kings County",Lemoore,65.71,24.84,109.83,76.89,0.00,0.00
1400000US06031000300,6031000300,Total,Vulnerable,"Kings County",Lemoore,60.53,26.80,102.64,73.20,0.57,3.00
1400000US06031000300,6031000300,AM,General,"Kings County",Lemoore,67.82,21.43,99.82,64.07,0.27,4.25
1400000US06031000300,6031000300,JJA,General,"Kings County",Lemoore,62.24,26.44,107.00,73.96,1.03,5.68
1400000US06031000300,6031000300,SO,General,"Kings County",Lemoore,62.23,31.63,96.07,69.96,0.10,5.33
1400000US06031000402,6031000402,SO,General,"Kings County",Lemoore,62.23,31.63,96.07,69.96,0.10,5.33
1400000US06031000402,6031000402,JJA,General,"Kings County",Lemoore,62.24,26.44,107.00,73.96,1.03,5.68
