geoid_long,census_tract,time_of_year,socioeconomic_group,census_county,census_city,avg_event_rh_max_perc,avg_event_rh_min_perc,tmax,tmin,hist_avg_annual_events,hist_avg_duration
1400000US06035040100,6035040100,Total,"2006 HW","Lassen County",Termo,60.23,19.25,95.33,61.31,0.00,0.00
1400000US06035040100,6035040100,Total,Vulnerable,"Lassen County",Termo,47.61,11.98,93.85,55.60,0.40,3.50
1400000US06035040100,6035040100,AM,General,"Lassen County",Termo,67.08,18.91,80.79,45.76,0.20,4.17
1400000US06035040100,6035040100,JJA,General,"Lassen County",Termo,43.57,8.84,95.63,56.82,0.10,5.00
1400000US06035040100,6035040100,SO,General,"Lassen County",Termo,53.96,14.16,88.26,50.11,0.40,2.75
1400000US06035040200,6035040200,SO,General,"Lassen County",McArthur,53.96,14.16,88.26,50.11,0.40,2.75
1400000US06035040200,6035040200,JJA,General,"Lassen County",McArthur,43.57,8.84,95.63,56.82,0.10,5.00
1400000US06035040200,6035040200,AM,General,"Lassen County",McArthur,67.08,18.91,80.79,45.76,0.20,4.17
1400000US06035040200,6035040200,Total,Vulnerable,"Lassen County",McArthur,47.61,11.98,93.85,55.60,0.40,3.50
1400000US06035040200,6035040200,Total,"2006 HW","Lassen County",McArthur,60.23,19.25,95.33,61.31,0.00,0.00
1400000US06035040302,6035040302,SO,General,"Lassen County",Susanville,53.96,14.16,88.26,50.11,0.40,2.75
1400000US06035040302,6035040302,JJA,General,"Lassen County",Susanville,43.57,8.84,95.63,56.82,0.10,5.00
1400000US06035040302,6035040302,AM,General,"Lassen County",Susanville,67.08,18.91,80.79,45.76,0.20,4.17
1400000US06035040302,6035040302,Total,Vulnerable,"Lassen County",Susanville,47.61,11.98,93.85,55.60,0.40,3.50
1400000US06035040302,6035040302,Total,"2006 HW","Lassen County",Susanville,60.23,19.25,95.33,61.31,0.00,0.00
1400000US06035040303,6035040303,Total,"2006 HW","Lassen County",Susanville,60.23,19.25,95.33,61.31,0.00,0.00
1400000US06035040303,6035040303,Total,Vulnerable,"Lassen County",Susanville,47.61,11.98,93.85,55.60,0.40,3.50
1400000US06035040303,6035040303,AM,General,"Lassen County",Susanville,67.08,18.91,80.79,45.76,0.20,4.17
1400000US06035040303,6035040303,JJA,General,"Lassen County",Susanville,43.57,8.84,95.63,56.82,0.10,5.00
1400000US06035040303,6035040303,SO,General,"Lassen County",Susanville,53.96,14.16,88.26,50.11,0.40,2.75
1400000US06035040304,6035040304,SO,General,"Lassen County",Susanville,53.96,14.16,88.26,50.11,0.40,2.75
1400000US06035040304,6035040304,JJA,General,"Lassen County",Susanville,43.57,8.84,95.63,56.82,0.10,5.00
1400000US06035040304,6035040304,AM,General,"Lassen County",Susanville,67.08,18.91,80.79,45.76,0.20,4.17
1400000US06035040304,6035040304,Total,Vulnerable,"Lassen County",Susanville,47.61,11.98,93.85,55.60,0.40,3.50
1400000US06035040304,6035040304,Total,"2006 HW","Lassen County",Susanville,60.23,19.25,95.33,61.31,0.00,0.00
1400000US06035040305,6035040305,Total,"2006 HW","Lassen County",Susanville,60.23,19.25,95.33,61.31,0.00,0.00
1400000US06035040305,6035040305,Total,Vulnerable,"Lassen County",Susanville,47.61,11.98,93.85,55.60,0.40,3.50
1400000US06035040305,6035040305,AM,General,"Lassen County",Susanville,67.08,18.91,80.79,45.76,0.20,4.17
1400000US06035040305,6035040305,JJA,General,"Lassen County",Susanville,43.57,8.84,95.63,56.82,0.10,5.00
1400000US06035040305,6035040305,SO,General,"Lassen County",Susanville,53.96,14.16,88.26,50.11,0.40,2.75
1400000US06035040400,6035040400,SO,General,"Lassen County",Litchfield,53.96,14.16,88.26,50.11,0.40,2.75
1400000US06035040400,6035040400,JJA,General,"Lassen County",Litchfield,43.57,8.84,95.63,56.82,0.10,5.00
1400000US06035040400,6035040400,AM,General,"Lassen County",Litchfield,67.08,18.91,80.79,45.76,0.20,4.17
1400000US06035040400,6035040400,Total,Vulnerable,"Lassen County",Litchfield,47.61,11.98,93.85,55.60,0.40,3.50
1400000US06035040400,6035040400,Total,"2006 HW","Lassen County",Litchfield,60.23,19.25,95.33,61.31,0.00,0.00
1400000US06035040500,6035040500,SO,General,"Lassen County",Janesville,53.96,14.16,88.26,50.11,0.40,2.75
1400000US06035040500,6035040500,JJA,General,"Lassen County",Janesville,43.57,8.84,95.63,56.82,0.10,5.00
1400000US06035040500,6035040500,AM,General,"Lassen County",Janesville,67.08,18.91,80.79,45.76,0.20,4.17
1400000US06035040500,6035040500,Total,Vulnerable,"Lassen County",Janesville,47.61,11.98,93.85,55.60,0.40,3.50
1400000US06035040500,6035040500,Total,"2006 HW","Lassen County",Janesville,60.23,19.25,95.33,61.31,0.00,0.00
1400000US06035040600,6035040600,Total,"2006 HW","Lassen County",Herlong,60.23,19.25,95.33,61.31,0.00,0.00
1400000US06035040600,6035040600,Total,Vulnerable,"Lassen County",Herlong,47.61,11.98,93.85,55.60,0.40,3.50
1400000US06035040600,6035040600,AM,General,"Lassen County",Herlong,67.08,18.91,80.79,45.76,0.20,4.17
1400000US06035040600,6035040600,JJA,General,"Lassen County",Herlong,43.57,8.84,95.63,56.82,0.10,5.00
1400000US06035040600,6035040600,SO,General,"Lassen County",Herlong,53.96,14.16,88.26,50.11,0.40,2.75
