geoid_long,census_tract,time_of_year,socioeconomic_group,census_county,census_city,avg_event_rh_max_perc,avg_event_rh_min_perc,tmax,tmin,hist_avg_annual_events,hist_avg_duration
1400000US06039000102,6039000102,Total,"2006 HW","Madera County",Oakhurst,56.87,21.62,91.73,63.53,0.00,0.00
1400000US06039000102,6039000102,Total,Vulnerable,"Madera County",Oakhurst,52.26,20.40,86.90,58.63,0.73,3.32
1400000US06039000102,6039000102,AM,General,"Madera County",Oakhurst,57.56,22.14,78.16,49.62,0.37,4.18
1400000US06039000102,6039000102,JJA,General,"Madera County",Oakhurst,47.81,18.89,90.68,61.63,0.17,4.80
1400000US06039000102,6039000102,SO,General,"Madera County",Oakhurst,66.58,28.40,83.20,58.60,0.17,4.00
1400000US06039000103,6039000103,SO,General,"Madera County",Oakhurst,66.58,28.40,83.20,58.60,0.17,4.00
1400000US06039000103,6039000103,JJA,General,"Madera County",Oakhurst,47.81,18.89,90.68,61.63,0.17,4.80
1400000US06039000103,6039000103,AM,General,"Madera County",Oakhurst,57.56,22.14,78.16,49.62,0.37,4.18
1400000US06039000103,6039000103,Total,Vulnerable,"Madera County",Oakhurst,52.26,20.40,86.90,58.63,0.73,3.32
1400000US06039000103,6039000103,Total,"2006 HW","Madera County",Oakhurst,56.87,21.62,91.73,63.53,0.00,0.00
1400000US06039000104,6039000104,SO,General,"Madera County",Oakhurst,66.58,28.40,83.20,58.60,0.17,4.00
1400000US06039000104,6039000104,JJA,General,"Madera County",Oakhurst,47.81,18.89,90.68,61.63,0.17,4.80
1400000US06039000104,6039000104,AM,General,"Madera County",Oakhurst,57.56,22.14,78.16,49.62,0.37,4.18
1400000US06039000104,6039000104,Total,Vulnerable,"Madera County",Oakhurst,52.26,20.40,86.90,58.63,0.73,3.32
1400000US06039000104,6039000104,Total,"2006 HW","Madera County",Oakhurst,56.87,21.62,91.73,63.53,0.00,0.00
1400000US06039000106,6039000106,Total,"2006 HW","Madera County",Coarsegold,49.66,20.05,108.27,75.42,0.00,0.00
1400000US06039000106,6039000106,Total,Vulnerable,"Madera County",Coarsegold,59.64,18.86,98.08,61.61,1.20,3.69
1400000US06039000106,6039000106,AM,General,"Madera County",Coarsegold,59.85,19.83,96.58,62.29,0.17,3.80
1400000US06039000106,6039000106,JJA,General,"Madera County",Coarsegold,42.03,14.75,104.03,72.09,0.10,5.00
1400000US06039000106,6039000106,SO,General,"Madera County",Coarsegold,59.68,27.87,91.99,66.14,0.17,4.00
1400000US06039000108,6039000108,SO,General,"Madera County",Coarsegold,59.68,27.87,91.99,66.14,0.17,4.00
1400000US06039000108,6039000108,JJA,General,"Madera County",Coarsegold,42.03,14.75,104.03,72.09,0.10,5.00
1400000US06039000108,6039000108,AM,General,"Madera County",Coarsegold,59.85,19.83,96.58,62.29,0.17,3.80
1400000US06039000108,6039000108,Total,Vulnerable,"Madera County",Coarsegold,59.64,18.86,98.08,61.61,1.20,3.69
1400000US06039000108,6039000108,Total,"2006 HW","Madera County",Coarsegold,49.66,20.05,108.27,75.42,0.00,0.00
1400000US06039000109,6039000109,SO,General,"Madera County",Raymond,59.68,27.87,91.99,66.14,0.17,4.00
1400000US06039000109,6039000109,JJA,General,"Madera County",Raymond,42.03,14.75,104.03,72.09,0.10,5.00
1400000US06039000109,6039000109,AM,General,"Madera County",Raymond,59.85,19.83,96.58,62.29,0.17,3.80
1400000US06039000109,6039000109,Total,Vulnerable,"Madera County",Raymond,59.64,18.86,98.08,61.61,1.20,3.69
