geoid_long,census_tract,time_of_year,socioeconomic_group,census_county,census_city,avg_event_rh_max_perc,avg_event_rh_min_perc,tmax,tmin,hist_avg_annual_events,hist_avg_duration
1400000US06041101100,6041101100,Total,"2006 HW","Marin County",Novato,77.36,31.53,103.00,66.53,0.00,0.00
1400000US06041101100,6041101100,Total,Vulnerable,"Marin County",Novato,0.00,0.00,0.00,0.00,0.00,0.00
1400000US06041101100,6041101100,AM,General,"Marin County",Novato,64.39,18.59,90.07,55.06,0.03,4.00
1400000US06041101100,6041101100,JJA,General,"Marin County",Novato,91.50,29.98,90.81,51.94,0.63,4.58
1400000US06041101100,6041101100,SO,General,"Marin County",Novato,65.97,14.24,99.27,60.61,0.23,2.43
1400000US06041101200,6041101200,SO,General,"Marin County",Novato,65.97,14.24,99.27,60.61,0.23,2.43
1400000US06041101200,6041101200,JJA,General,"Marin County",Novato,91.50,29.98,90.81,51.94,0.63,4.58
1400000US06041101200,6041101200,AM,General,"Marin County",Novato,64.39,18.59,90.07,55.06,0.03,4.00
1400000US06041101200,6041101200,Total,Vulnerable,"Marin County",Novato,0.00,0.00,0.00,0.00,0.00,0.00
1400000US06041101200,6041101200,Total,"2006 HW","Marin County",Novato,77.36,31.53,103.00,66.53,0.00,0.00
1400000US06041102100,6041102100,Total,"2006 HW","Marin County",Novato,77.36,31.53,103.00,66.53,0.00,0.00
1400000US06041102100,6041102100,Total,Vulnerable,"Marin County",Novato,0.00,0.00,0.00,0.00,0.00,0.00
1400000US06041102100,6041102100,AM,General,"Marin County",Novato,64.39,18.59,90.07,55.06,0.03,4.00
1400000US06041102100,6041102100,JJA,General,"Marin County",Novato,91.50,29.98,90.81,51.94,0.63,4.58
1400000US06041102100,6041102100,SO,General,"Marin County",Novato,65.97,14.24,99.27,60.61,0.23,2.43
1400000US06041102202,6041102202,SO,General,"Marin County",Novato,65.97,14.24,99.27,60.61,0.23,2.43
1400000US06041102202,6041102202,JJA,General,"Marin County",Novato,91.50,29.98,90.81,51.94,0.63,4.58
1400000US06041102202,6041102202,AM,General,"Marin County",Novato,64.39,18.59,90.07,55.06,0.03,4.00
1400000US06041102202,6041102202,Total,Vulnerable,"Marin County",Novato,0.00,0.00,0.00,0.00,0.00,0.00
