geoid_long,census_tract,time_of_year,socioeconomic_group,census_county,census_city,avg_event_rh_max_perc,avg_event_rh_min_perc,tmax,tmin,hist_avg_annual_events,hist_avg_duration
1400000US06043000101,6043000101,Total,"2006 HW","Mariposa County",Mariposa,49.66,20.05,108.27,75.42,0.00,0.00
1400000US06043000101,6043000101,Total,Vulnerable,"Mariposa County",Mariposa,59.64,18.86,98.08,61.61,1.20,3.69
1400000US06043000101,6043000101,AM,General,"Mariposa County",Mariposa,59.85,19.83,96.58,62.29,0.17,3.80
1400000US06043000101,6043000101,JJA,General,"Mariposa County",Mariposa,42.03,14.75,104.03,72.09,0.10,5.00
1400000US06043000101,6043000101,SO,General,"Mariposa County",Mariposa,59.68,27.87,91.99,66.14,0.17,4.00
1400000US06043000102,6043000102,SO,General,"Mariposa County","Catheys Valley",59.68,27.87,91.99,66.14,0.17,4.00
1400000US06043000102,6043000102,JJA,General,"Mariposa County","Catheys Valley",42.03,14.75,104.03,72.09,0.10,5.00
1400000US06043000102,6043000102,AM,General,"Mariposa County","Catheys Valley",59.85,19.83,96.58,62.29,0.17,3.80
1400000US06043000102,6043000102,Total,Vulnerable,"Mariposa County","Catheys Valley",59.64,18.86,98.08,61.61,1.20,3.69
1400000US06043000102,6043000102,Total,"2006 HW","Mariposa County","Catheys Valley",49.66,20.05,108.27,75.42,0.00,0.00
1400000US06043000200,6043000200,Total,"2006 HW","Mariposa County",Coulterville,56.87,21.62,91.73,63.53,0.00,0.00
1400000US06043000200,6043000200,Total,Vulnerable,"Mariposa County",Coulterville,52.26,20.40,86.90,58.63,0.73,3.32
1400000US06043000200,6043000200,AM,General,"Mariposa County",Coulterville,57.56,22.14,78.16,49.62,0.37,4.18
1400000US06043000200,6043000200,JJA,General,"Mariposa County",Coulterville,47.81,18.89,90.68,61.63,0.17,4.80
1400000US06043000200,6043000200,SO,General,"Mariposa County",Coulterville,66.58,28.40,83.20,58.60,0.17,4.00
1400000US06043000301,6043000301,SO,General,"Mariposa County",Mariposa,59.68,27.87,91.99,66.14,0.17,4.00
1400000US06043000301,6043000301,JJA,General,"Mariposa County",Mariposa,42.03,14.75,104.03,72.09,0.10,5.00
1400000US06043000301,6043000301,AM,General,"Mariposa County",Mariposa,59.85,19.83,96.58,62.29,0.17,3.80
1400000US06043000301,6043000301,Total,Vulnerable,"Mariposa County",Mariposa,59.64,18.86,98.08,61.61,1.20,3.69
1400000US06043000301,6043000301,Total,"2006 HW","Mariposa County",Mariposa,49.66,20.05,108.27,75.42,0.00,0.00
1400000US06043000302,6043000302,SO,General,"Mariposa County",Mariposa,59.68,27.87,91.99,66.14,0.17,4.00
1400000US06043000302,6043000302,JJA,General,"Mariposa County",Mariposa,42.03,14.75,104.03,72.09,0.10,5.00
1400000US06043000302,6043000302,AM,General,"Mariposa County",Mariposa,59.85,19.83,96.58,62.29,0.17,3.80
1400000US06043000302,6043000302,Total,Vulnerable,"Mariposa County",Mariposa,59.64,18.86,98.08,61.61,1.20,3.69
1400000US06043000302,6043000302,Total,"2006 HW","Mariposa County",Mariposa,49.66,20.05,108.27,75.42,0.00,0.00
1400000US06043000400,6043000400,Total,"2006 HW","Mariposa County","Yosemite National Park",56.87,21.62,91.73,63.53,0.00,0.00
1400000US06043000400,6043000400,Total,Vulnerable,"Mariposa County","Yosemite National Park",52.26,20.40,86.90,58.63,0.73,3.32
1400000US06043000400,6043000400,AM,General,"Mariposa County","Yosemite National Park",57.56,22.14,78.16,49.62,0.37,4.18
1400000US06043000400,6043000400,JJA,General,"Mariposa County","Yosemite National Park",47.81,18.89,90.68,61.63,0.17,4.80
1400000US06043000400,6043000400,SO,General,"Mariposa County","Yosemite National Park",66.58,28.40,83.20,58.60,0.17,4.00
