geoid_long,census_tract,time_of_year,socioeconomic_group,census_county,census_city,avg_event_rh_max_perc,avg_event_rh_min_perc,tmax,tmin,hist_avg_annual_events,hist_avg_duration
1400000US06045010100,6045010100,Total,"2006 HW","Mendocino County",Covelo,55.83,21.30,103.27,69.72,0.00,0.00
1400000US06045010100,6045010100,Total,Vulnerable,"Mendocino County",Covelo,58.11,20.21,95.70,60.72,2.47,3.42
1400000US06045010100,6045010100,AM,General,"Mendocino County",Covelo,67.71,24.80,87.53,54.18,0.83,4.76
1400000US06045010100,6045010100,JJA,General,"Mendocino County",Covelo,59.57,25.65,99.64,70.50,0.07,2.50
1400000US06045010100,6045010100,SO,General,"Mendocino County",Covelo,37.39,11.95,98.12,61.66,0.10,3.67
1400000US06045010200,6045010200,SO,General,"Mendocino County",Leggett,37.39,11.95,98.12,61.66,0.10,3.67
1400000US06045010200,6045010200,JJA,General,"Mendocino County",Leggett,59.57,25.65,99.64,70.50,0.07,2.50
1400000US06045010200,6045010200,AM,General,"Mendocino County",Leggett,67.71,24.80,87.53,54.18,0.83,4.76
1400000US06045010200,6045010200,Total,Vulnerable,"Mendocino County",Leggett,58.11,20.21,95.70,60.72,2.47,3.42
1400000US06045010200,6045010200,Total,"2006 HW","Mendocino County",Leggett,55.83,21.30,103.27,69.72,0.00,0.00
1400000US06045010300,6045010300,SO,General,"Mendocino County","Fort Bragg",51.66,17.37,95.04,58.59,0.03,3.00
1400000US06045010300,6045010300,JJA,General,"Mendocino County","Fort Bragg",78.83,31.26,91.88,57.40,1.37,6.00
1400000US06045010300,6045010300,AM,General,"Mendocino County","Fort Bragg",74.86,25.27,90.61,57.09,0.37,4.64
1400000US06045010300,6045010300,Total,Vulnerable,"Mendocino County","Fort Bragg",64.17,21.24,91.37,56.50,1.20,2.53
1400000US06045010300,6045010300,Total,"2006 HW","Mendocino County","Fort Bragg",66.38,27.55,99.69,66.14,0.00,0.00
1400000US06045010400,6045010400,Total,"2006 HW","Mendocino County","Fort Bragg",66.38,27.55,99.69,66.14,0.00,0.00
1400000US06045010400,6045010400,Total,Vulnerable,"Mendocino County","Fort Bragg",64.17,21.24,91.37,56.50,1.20,2.53
1400000US06045010400,6045010400,AM,General,"Mendocino County","Fort Bragg",74.86,25.27,90.61,57.09,0.37,4.64
1400000US06045010400,6045010400,JJA,General,"Mendocino County","Fort Bragg",78.83,31.26,91.88,57.40,1.37,6.00
1400000US06045010400,6045010400,SO,General,"Mendocino County","Fort Bragg",51.66,17.37,95.04,58.59,0.03,3.00
1400000US06045010500,6045010500,SO,General,"Mendocino County","Fort Bragg",51.66,17.37,95.04,58.59,0.03,3.00
1400000US06045010500,6045010500,JJA,General,"Mendocino County","Fort Bragg",78.83,31.26,91.88,57.40,1.37,6.00
1400000US06045010500,6045010500,AM,General,"Mendocino County","Fort Bragg",74.86,25.27,90.61,57.09,0.37,4.64
1400000US06045010500,6045010500,Total,Vulnerable,"Mendocino County","Fort Bragg",64.17,21.24,91.37,56.50,1.20,2.53
1400000US06045010500,6045010500,Total,"2006 HW","Mendocino County","Fort Bragg",66.38,27.55,99.69,66.14,0.00,0.00
1400000US06045010600,6045010600,SO,General,"Mendocino County",Willits,51.66,17.37,95.04,58.59,0.03,3.00
1400000US06045010600,6045010600,JJA,General,"Mendocino County",Willits,78.83,31.26,91.88,57.40,1.37,6.00
1400000US06045010600,6045010600,AM,General,"Mendocino County",Willits,74.86,25.27,90.61,57.09,0.37,4.64
1400000US06045010600,6045010600,Total,Vulnerable,"Mendocino County",Willits,64.17,21.24,91.37,56.50,1.20,2.53
1400000US06045010600,6045010600,Total,"2006 HW","Mendocino County",Willits,66.38,27.55,99.69,66.14,0.00,0.00
1400000US06045010700,6045010700,Total,"2006 HW","Mendocino County",Willits,66.38,27.55,99.69,66.14,0.00,0.00
1400000US06045010700,6045010700,Total,Vulnerable,"Mendocino County",Willits,64.17,21.24,91.37,56.50,1.20,2.53
1400000US06045010700,6045010700,AM,General,"Mendocino County",Willits,74.86,25.27,90.61,57.09,0.37,4.64
1400000US06045010700,6045010700,JJA,General,"Mendocino County",Willits,78.83,31.26,91.88,57.40,1.37,6.00
1400000US06045010700,6045010700,SO,General,"Mendocino County",Willits,51.66,17.37,95.04,58.59,0.03,3.00
1400000US06045010801,6045010801,SO,General,"Mendocino County","Redwood Valley",37.39,11.95,98.12,61.66,0.10,3.67
1400000US06045010801,6045010801,JJA,General,"Mendocino County","Redwood Valley",59.57,25.65,99.64,70.50,0.07,2.50
1400000US06045010801,6045010801,AM,General,"Mendocino County","Redwood Valley",67.71,24.80,87.53,54.18,0.83,4.76
1400000US06045010801,6045010801,Total,Vulnerable,"Mendocino County","Redwood Valley",58.11,20.21,95.70,60.72,2.47,3.42
1400000US06045010801,6045010801,Total,"2006 HW","Mendocino County","Redwood Valley",55.83,21.30,103.27,69.72,0.00,0.00
1400000US06045010802,6045010802,SO,General,"Mendocino County","Potter Valley",37.39,11.95,98.12,61.66,0.10,3.67
1400000US06045010802,6045010802,JJA,General,"Mendocino County","Potter Valley",59.57,25.65,99.64,70.50,0.07,2.50
1400000US06045010802,6045010802,AM,General,"Mendocino County","Potter Valley",67.71,24.80,87.53,54.18,0.83,4.76
1400000US06045010802,6045010802,Total,Vulnerable,"Mendocino County","Potter Valley",58.11,20.21,95.70,60.72,2.47,3.42
1400000US06045010802,6045010802,Total,"2006 HW","Mendocino County","Potter Valley",55.83,21.30,103.27,69.72,0.00,0.00
1400000US06045010900,6045010900,Total,"2006 HW","Mendocino County","Redwood Valley",54.29,17.02,106.68,70.66,0.00,0.00
1400000US06045010900,6045010900,Total,Vulnerable,"Mendocino County","Redwood Valley",54.73,14.69,96.91,58.32,5.20,3.90
1400000US06045010900,6045010900,AM,General,"Mendocino County","Redwood Valley",59.87,19.14,94.86,59.38,0.10,4.33
1400000US06045010900,6045010900,JJA,General,"Mendocino County","Redwood Valley",60.93,18.54,97.44,60.29,2.57,6.84
1400000US06045010900,6045010900,SO,General,"Mendocino County","Redwood Valley",59.10,17.46,95.37,60.25,0.07,5.50
1400000US06045011001,6045011001,SO,General,"Mendocino County",Elk,51.66,17.37,95.04,58.59,0.03,3.00
1400000US06045011001,6045011001,JJA,General,"Mendocino County",Elk,78.83,31.26,91.88,57.40,1.37,6.00
1400000US06045011001,6045011001,AM,General,"Mendocino County",Elk,74.86,25.27,90.61,57.09,0.37,4.64
1400000US06045011001,6045011001,Total,Vulnerable,"Mendocino County",Elk,64.17,21.24,91.37,56.50,1.20,2.53
1400000US06045011001,6045011001,Total,"2006 HW","Mendocino County",Elk,66.38,27.55,99.69,66.14,0.00,0.00
1400000US06045011002,6045011002,Total,"2006 HW","Mendocino County",Comptche,66.38,27.55,99.69,66.14,0.00,0.00
1400000US06045011002,6045011002,Total,Vulnerable,"Mendocino County",Comptche,64.17,21.24,91.37,56.50,1.20,2.53
1400000US06045011002,6045011002,AM,General,"Mendocino County",Comptche,74.86,25.27,90.61,57.09,0.37,4.64
1400000US06045011002,6045011002,JJA,General,"Mendocino County",Comptche,78.83,31.26,91.88,57.40,1.37,6.00
1400000US06045011002,6045011002,SO,General,"Mendocino County",Comptche,51.66,17.37,95.04,58.59,0.03,3.00
1400000US06045011102,6045011102,SO,General,"Mendocino County","Point Arena",51.66,17.37,95.04,58.59,0.03,3.00
1400000US06045011102,6045011102,JJA,General,"Mendocino County","Point Arena",78.83,31.26,91.88,57.40,1.37,6.00
1400000US06045011102,6045011102,AM,General,"Mendocino County","Point Arena",74.86,25.27,90.61,57.09,0.37,4.64
1400000US06045011102,6045011102,Total,Vulnerable,"Mendocino County","Point Arena",64.17,21.24,91.37,56.50,1.20,2.53
1400000US06045011102,6045011102,Total,"2006 HW","Mendocino County","Point Arena",66.38,27.55,99.69,66.14,0.00,0.00
1400000US06045011200,6045011200,SO,General,"Mendocino County",Philo,59.10,17.46,95.37,60.25,0.07,5.50
1400000US06045011200,6045011200,JJA,General,"Mendocino County",Philo,60.93,18.54,97.44,60.29,2.57,6.84
1400000US06045011200,6045011200,AM,General,"Mendocino County",Philo,59.87,19.14,94.86,59.38,0.10,4.33
