geoid_long,census_tract,time_of_year,socioeconomic_group,census_county,census_city,avg_event_rh_max_perc,avg_event_rh_min_perc,tmax,tmin,hist_avg_annual_events,hist_avg_duration
1400000US06047000201,6047000201,Total,"2006 HW","Merced County",Ballico,67.75,31.53,109.92,78.02,0.00,0.00
1400000US06047000201,6047000201,Total,Vulnerable,"Merced County",Ballico,69.53,28.23,101.10,67.42,1.20,4.56
1400000US06047000201,6047000201,AM,General,"Merced County",Ballico,67.33,22.66,101.60,64.90,0.03,2.00
1400000US06047000201,6047000201,JJA,General,"Merced County",Ballico,65.84,25.75,104.69,70.73,0.43,5.77
1400000US06047000201,6047000201,SO,General,"Merced County",Ballico,66.54,30.32,95.13,66.73,0.30,2.22
1400000US06047000202,6047000202,SO,General,"Merced County",Delhi,66.54,30.32,95.13,66.73,0.30,2.22
1400000US06047000202,6047000202,JJA,General,"Merced County",Delhi,65.84,25.75,104.69,70.73,0.43,5.77
1400000US06047000202,6047000202,AM,General,"Merced County",Delhi,67.33,22.66,101.60,64.90,0.03,2.00
1400000US06047000202,6047000202,Total,Vulnerable,"Merced County",Delhi,69.53,28.23,101.10,67.42,1.20,4.56
1400000US06047000202,6047000202,Total,"2006 HW","Merced County",Delhi,67.75,31.53,109.92,78.02,0.00,0.00
1400000US06047000203,6047000203,Total,"2006 HW","Merced County",Delhi,67.75,31.53,109.92,78.02,0.00,0.00
1400000US06047000203,6047000203,Total,Vulnerable,"Merced County",Delhi,69.53,28.23,101.10,67.42,1.20,4.56
1400000US06047000203,6047000203,AM,General,"Merced County",Delhi,67.33,22.66,101.60,64.90,0.03,2.00
1400000US06047000203,6047000203,JJA,General,"Merced County",Delhi,65.84,25.75,104.69,70.73,0.43,5.77
1400000US06047000203,6047000203,SO,General,"Merced County",Delhi,66.54,30.32,95.13,66.73,0.30,2.22
1400000US06047000301,6047000301,SO,General,"Merced County",Livingston,66.54,30.32,95.13,66.73,0.30,2.22
1400000US06047000301,6047000301,JJA,General,"Merced County",Livingston,65.84,25.75,104.69,70.73,0.43,5.77
1400000US06047000301,6047000301,AM,General,"Merced County",Livingston,67.33,22.66,101.60,64.90,0.03,2.00
1400000US06047000301,6047000301,Total,Vulnerable,"Merced County",Livingston,69.53,28.23,101.10,67.42,1.20,4.56
1400000US06047000301,6047000301,Total,"2006 HW","Merced County",Livingston,67.75,31.53,109.92,78.02,0.00,0.00
1400000US06047000303,6047000303,Total,"2006 HW","Merced County",Livingston,67.75,31.53,109.92,78.02,0.00,0.00
1400000US06047000303,6047000303,Total,Vulnerable,"Merced County",Livingston,69.53,28.23,101.10,67.42,1.20,4.56
1400000US06047000303,6047000303,AM,General,"Merced County",Livingston,67.33,22.66,101.60,64.90,0.03,2.00
1400000US06047000303,6047000303,JJA,General,"Merced County",Livingston,65.84,25.75,104.69,70.73,0.43,5.77
1400000US06047000303,6047000303,SO,General,"Merced County",Livingston,66.54,30.32,95.13,66.73,0.30,2.22
1400000US06047000304,6047000304,SO,General,"Merced County",Livingston,66.54,30.32,95.13,66.73,0.30,2.22
