geoid_long,census_tract,time_of_year,socioeconomic_group,census_county,census_city,avg_event_rh_max_perc,avg_event_rh_min_perc,tmax,tmin,hist_avg_annual_events,hist_avg_duration
1400000US06049000100,6049000100,Total,"2006 HW","Modoc County",Alturas,60.23,19.25,95.33,61.31,0.00,0.00
1400000US06049000100,6049000100,Total,Vulnerable,"Modoc County",Alturas,47.61,11.98,93.85,55.60,0.40,3.50
1400000US06049000100,6049000100,AM,General,"Modoc County",Alturas,67.08,18.91,80.79,45.76,0.20,4.17
1400000US06049000100,6049000100,JJA,General,"Modoc County",Alturas,43.57,8.84,95.63,56.82,0.10,5.00
1400000US06049000100,6049000100,SO,General,"Modoc County",Alturas,53.96,14.16,88.26,50.11,0.40,2.75
1400000US06049000200,6049000200,SO,General,"Modoc County",McArthur,53.96,14.16,88.26,50.11,0.40,2.75
1400000US06049000200,6049000200,JJA,General,"Modoc County",McArthur,43.57,8.84,95.63,56.82,0.10,5.00
1400000US06049000200,6049000200,AM,General,"Modoc County",McArthur,67.08,18.91,80.79,45.76,0.20,4.17
1400000US06049000200,6049000200,Total,Vulnerable,"Modoc County",McArthur,47.61,11.98,93.85,55.60,0.40,3.50
1400000US06049000200,6049000200,Total,"2006 HW","Modoc County",McArthur,60.23,19.25,95.33,61.31,0.00,0.00
1400000US06049000300,6049000300,SO,General,"Modoc County","Davis Creek",53.96,14.16,88.26,50.11,0.40,2.75
1400000US06049000300,6049000300,JJA,General,"Modoc County","Davis Creek",43.57,8.84,95.63,56.82,0.10,5.00
1400000US06049000300,6049000300,AM,General,"Modoc County","Davis Creek",67.08,18.91,80.79,45.76,0.20,4.17
1400000US06049000300,6049000300,Total,Vulnerable,"Modoc County","Davis Creek",47.61,11.98,93.85,55.60,0.40,3.50
1400000US06049000300,6049000300,Total,"2006 HW","Modoc County","Davis Creek",60.23,19.25,95.33,61.31,0.00,0.00
1400000US06049000400,6049000400,Total,"2006 HW","Modoc County",Cedarville,60.23,19.25,95.33,61.31,0.00,0.00
1400000US06049000400,6049000400,Total,Vulnerable,"Modoc County",Cedarville,47.61,11.98,93.85,55.60,0.40,3.50
1400000US06049000400,6049000400,AM,General,"Modoc County",Cedarville,67.08,18.91,80.79,45.76,0.20,4.17
1400000US06049000400,6049000400,JJA,General,"Modoc County",Cedarville,43.57,8.84,95.63,56.82,0.10,5.00
1400000US06049000400,6049000400,SO,General,"Modoc County",Cedarville,53.96,14.16,88.26,50.11,0.40,2.75
