geoid_long,census_tract,time_of_year,socioeconomic_group,census_county,census_city,avg_event_rh_max_perc,avg_event_rh_min_perc,tmax,tmin,hist_avg_annual_events,hist_avg_duration
1400000US06051000101,6051000101,Total,"2006 HW","Mono County",Bishop,56.87,21.62,91.73,63.53,0.00,0.00
1400000US06051000101,6051000101,Total,Vulnerable,"Mono County",Bishop,52.26,20.40,86.90,58.63,0.73,3.32
1400000US06051000101,6051000101,AM,General,"Mono County",Bishop,57.56,22.14,78.16,49.62,0.37,4.18
1400000US06051000101,6051000101,JJA,General,"Mono County",Bishop,47.81,18.89,90.68,61.63,0.17,4.80
1400000US06051000101,6051000101,SO,General,"Mono County",Bishop,66.58,28.40,83.20,58.60,0.17,4.00
1400000US06051000102,6051000102,SO,General,"Mono County",Bridgeport,66.58,28.40,83.20,58.60,0.17,4.00
1400000US06051000102,6051000102,JJA,General,"Mono County",Bridgeport,47.81,18.89,90.68,61.63,0.17,4.80
1400000US06051000102,6051000102,AM,General,"Mono County",Bridgeport,57.56,22.14,78.16,49.62,0.37,4.18
1400000US06051000102,6051000102,Total,Vulnerable,"Mono County",Bridgeport,52.26,20.40,86.90,58.63,0.73,3.32
1400000US06051000102,6051000102,Total,"2006 HW","Mono County",Bridgeport,56.87,21.62,91.73,63.53,0.00,0.00
1400000US06051000200,6051000200,Total,"2006 HW","Mono County","Mammoth Lakes",56.87,21.62,91.73,63.53,0.00,0.00
1400000US06051000200,6051000200,Total,Vulnerable,"Mono County","Mammoth Lakes",52.26,20.40,86.90,58.63,0.73,3.32
1400000US06051000200,6051000200,AM,General,"Mono County","Mammoth Lakes",57.56,22.14,78.16,49.62,0.37,4.18
1400000US06051000200,6051000200,JJA,General,"Mono County","Mammoth Lakes",47.81,18.89,90.68,61.63,0.17,4.80
1400000US06051000200,6051000200,SO,General,"Mono County","Mammoth Lakes",66.58,28.40,83.20,58.60,0.17,4.00
