geoid_long,census_tract,time_of_year,socioeconomic_group,census_county,census_city,avg_event_rh_max_perc,avg_event_rh_min_perc,tmax,tmin,hist_avg_annual_events,hist_avg_duration
1400000US06053000101,6053000101,Total,"2006 HW","Monterey County",Salinas,57.82,27.10,94.53,68.02,0.00,0.00
1400000US06053000101,6053000101,Total,Vulnerable,"Monterey County",Salinas,58.40,28.34,89.11,64.03,0.03,5.00
1400000US06053000101,6053000101,AM,General,"Monterey County",Salinas,61.16,24.80,85.69,57.09,0.70,2.76
1400000US06053000101,6053000101,JJA,General,"Monterey County",Salinas,44.73,11.30,94.69,61.98,0.03,5.00
1400000US06053000101,6053000101,SO,General,"Monterey County",Salinas,55.69,18.75,89.21,60.27,0.13,3.25
1400000US06053000102,6053000102,SO,General,"Monterey County",Salinas,55.69,18.75,89.21,60.27,0.13,3.25
1400000US06053000102,6053000102,JJA,General,"Monterey County",Salinas,44.73,11.30,94.69,61.98,0.03,5.00
1400000US06053000102,6053000102,AM,General,"Monterey County",Salinas,61.16,24.80,85.69,57.09,0.70,2.76
1400000US06053000102,6053000102,Total,Vulnerable,"Monterey County",Salinas,58.40,28.34,89.11,64.03,0.03,5.00
1400000US06053000102,6053000102,Total,"2006 HW","Monterey County",Salinas,57.82,27.10,94.53,68.02,0.00,0.00
1400000US06053000103,6053000103,SO,General,"Monterey County",Salinas,55.69,18.75,89.21,60.27,0.13,3.25
1400000US06053000103,6053000103,JJA,General,"Monterey County",Salinas,44.73,11.30,94.69,61.98,0.03,5.00
1400000US06053000103,6053000103,AM,General,"Monterey County",Salinas,61.16,24.80,85.69,57.09,0.70,2.76
1400000US06053000103,6053000103,Total,Vulnerable,"Monterey County",Salinas,58.40,28.34,89.11,64.03,0.03,5.00
1400000US06053000103,6053000103,Total,"2006 HW","Monterey County",Salinas,57.82,27.10,94.53,68.02,0.00,0.00
1400000US06053000104,6053000104,Total,"2006 HW","Monterey County",Salinas,57.82,27.10,94.53,68.02,0.00,0.00
1400000US06053000104,6053000104,Total,Vulnerable,"Monterey County",Salinas,58.40,28.34,89.11,64.03,0.03,5.00
1400000US06053000104,6053000104,AM,General,"Monterey County",Salinas,61.16,24.80,85.69,57.09,0.70,2.76
1400000US06053000104,6053000104,JJA,General,"Monterey County",Salinas,44.73,11.30,94.69,61.98,0.03,5.00
1400000US06053000104,6053000104,SO,General,"Monterey County",Salinas,55.69,18.75,89.21,60.27,0.13,3.25
1400000US06053000200,6053000200,SO,General,"Monterey County",Salinas,55.69,18.75,89.21,60.27,0.13,3.25
1400000US06053000200,6053000200,JJA,General,"Monterey County",Salinas,44.73,11.30,94.69,61.98,0.03,5.00
1400000US06053000200,6053000200,AM,General,"Monterey County",Salinas,61.16,24.80,85.69,57.09,0.70,2.76
1400000US06053000200,6053000200,Total,Vulnerable,"Monterey County",Salinas,58.40,28.34,89.11,64.03,0.03,5.00
1400000US06053000200,6053000200,Total,"2006 HW","Monterey County",Salinas,57.82,27.10,94.53,68.02,0.00,0.00
1400000US06053000300,6053000300,SO,General,"Monterey County",Salinas,55.69,18.75,89.21,60.27,0.13,3.25
1400000US06053000300,6053000300,JJA,General,"Monterey County",Salinas,44.73,11.30,94.69,61.98,0.03,5.00
1400000US06053000300,6053000300,AM,General,"Monterey County",Salinas,61.16,24.80,85.69,57.09,0.70,2.76
1400000US06053000300,6053000300,Total,Vulnerable,"Monterey County",Salinas,58.40,28.34,89.11,64.03,0.03,5.00
1400000US06053000300,6053000300,Total,"2006 HW","Monterey County",Salinas,57.82,27.10,94.53,68.02,0.00,0.00
1400000US06053000400,6053000400,Total,"2006 HW","Monterey County",Salinas,57.82,27.10,94.53,68.02,0.00,0.00
1400000US06053000400,6053000400,Total,Vulnerable,"Monterey County",Salinas,58.40,28.34,89.11,64.03,0.03,5.00
1400000US06053000400,6053000400,AM,General,"Monterey County",Salinas,61.16,24.80,85.69,57.09,0.70,2.76
1400000US06053000400,6053000400,JJA,General,"Monterey County",Salinas,44.73,11.30,94.69,61.98,0.03,5.00
1400000US06053000400,6053000400,SO,General,"Monterey County",Salinas,55.69,18.75,89.21,60.27,0.13,3.25
1400000US06053000501,6053000501,SO,General,"Monterey County",Salinas,55.69,18.75,89.21,60.27,0.13,3.25
1400000US06053000501,6053000501,JJA,General,"Monterey County",Salinas,44.73,11.30,94.69,61.98,0.03,5.00
1400000US06053000501,6053000501,AM,General,"Monterey County",Salinas,61.16,24.80,85.69,57.09,0.70,2.76
1400000US06053000501,6053000501,Total,Vulnerable,"Monterey County",Salinas,58.40,28.34,89.11,64.03,0.03,5.00
1400000US06053000501,6053000501,Total,"2006 HW","Monterey County",Salinas,57.82,27.10,94.53,68.02,0.00,0.00
1400000US06053000502,6053000502,SO,General,"Monterey County",Salinas,55.69,18.75,89.21,60.27,0.13,3.25
1400000US06053000502,6053000502,JJA,General,"Monterey County",Salinas,44.73,11.30,94.69,61.98,0.03,5.00
1400000US06053000502,6053000502,AM,General,"Monterey County",Salinas,61.16,24.80,85.69,57.09,0.70,2.76
1400000US06053000502,6053000502,Total,Vulnerable,"Monterey County",Salinas,58.40,28.34,89.11,64.03,0.03,5.00
1400000US06053000502,6053000502,Total,"2006 HW","Monterey County",Salinas,57.82,27.10,94.53,68.02,0.00,0.00
1400000US06053000600,6053000600,Total,"2006 HW","Monterey County",Salinas,57.82,27.10,94.53,68.02,0.00,0.00
1400000US06053000600,6053000600,Total,Vulnerable,"Monterey County",Salinas,58.40,28.34,89.11,64.03,0.03,5.00
1400000US06053000600,6053000600,AM,General,"Monterey County",Salinas,61.16,24.80,85.69,57.09,0.70,2.76
1400000US06053000600,6053000600,JJA,General,"Monterey County",Salinas,44.73,11.30,94.69,61.98,0.03,5.00
1400000US06053000600,6053000600,SO,General,"Monterey County",Salinas,55.69,18.75,89.21,60.27,0.13,3.25
1400000US06053000701,6053000701,SO,General,"Monterey County",Salinas,55.69,18.75,89.21,60.27,0.13,3.25
1400000US06053000701,6053000701,JJA,General,"Monterey County",Salinas,44.73,11.30,94.69,61.98,0.03,5.00
1400000US06053000701,6053000701,AM,General,"Monterey County",Salinas,61.16,24.80,85.69,57.09,0.70,2.76
1400000US06053000701,6053000701,Total,Vulnerable,"Monterey County",Salinas,58.40,28.34,89.11,64.03,0.03,5.00
1400000US06053000701,6053000701,Total,"2006 HW","Monterey County",Salinas,57.82,27.10,94.53,68.02,0.00,0.00
1400000US06053000702,6053000702,SO,General,"Monterey County",Salinas,55.69,18.75,89.21,60.27,0.13,3.25
1400000US06053000702,6053000702,JJA,General,"Monterey County",Salinas,44.73,11.30,94.69,61.98,0.03,5.00
1400000US06053000702,6053000702,AM,General,"Monterey County",Salinas,61.16,24.80,85.69,57.09,0.70,2.76
1400000US06053000702,6053000702,Total,Vulnerable,"Monterey County",Salinas,58.40,28.34,89.11,64.03,0.03,5.00
1400000US06053000702,6053000702,Total,"2006 HW","Monterey County",Salinas,57.82,27.10,94.53,68.02,0.00,0.00
1400000US06053000800,6053000800,Total,"2006 HW","Monterey County",Salinas,57.82,27.10,94.53,68.02,0.00,0.00
1400000US06053000800,6053000800,Total,Vulnerable,"Monterey County",Salinas,58.40,28.34,89.11,64.03,0.03,5.00
1400000US06053000800,6053000800,AM,General,"Monterey County",Salinas,61.16,24.80,85.69,57.09,0.70,2.76
1400000US06053000800,6053000800,JJA,General,"Monterey County",Salinas,44.73,11.30,94.69,61.98,0.03,5.00
1400000US06053000800,6053000800,SO,General,"Monterey County",Salinas,55.69,18.75,89.21,60.27,0.13,3.25
1400000US06053000900,6053000900,SO,General,"Monterey County",Salinas,55.69,18.75,89.21,60.27,0.13,3.25
1400000US06053000900,6053000900,JJA,General,"Monterey County",Salinas,44.73,11.30,94.69,61.98,0.03,5.00
1400000US06053000900,6053000900,AM,General,"Monterey County",Salinas,61.16,24.80,85.69,57.09,0.70,2.76
1400000US06053000900,6053000900,Total,Vulnerable,"Monterey County",Salinas,58.40,28.34,89.11,64.03,0.03,5.00
1400000US06053000900,6053000900,Total,"2006 HW","Monterey County",Salinas,57.82,27.10,94.53,68.02,0.00,0.00
1400000US06053001200,6053001200,SO,General,"Monterey County",Salinas,91.71,52.15,77.56,59.60,0.07,4.00
1400000US06053001200,6053001200,JJA,General,"Monterey County",Salinas,94.95,50.76,78.90,56.41,0.30,5.44
1400000US06053001200,6053001200,AM,General,"Monterey County",Salinas,97.95,58.92,70.98,55.32,0.07,4.00
1400000US06053001200,6053001200,Total,Vulnerable,"Monterey County",Salinas,92.12,52.49,76.19,57.02,2.07,2.65
1400000US06053001200,6053001200,Total,"2006 HW","Monterey County",Salinas,89.71,48.01,86.04,62.83,0.00,0.00
1400000US06053001300,6053001300,Total,"2006 HW","Monterey County",Salinas,89.71,48.01,86.04,62.83,0.00,0.00
1400000US06053001300,6053001300,Total,Vulnerable,"Monterey County",Salinas,92.12,52.49,76.19,57.02,2.07,2.65
1400000US06053001300,6053001300,AM,General,"Monterey County",Salinas,97.95,58.92,70.98,55.32,0.07,4.00
1400000US06053001300,6053001300,JJA,General,"Monterey County",Salinas,94.95,50.76,78.90,56.41,0.30,5.44
1400000US06053001300,6053001300,SO,General,"Monterey County",Salinas,91.71,52.15,77.56,59.60,0.07,4.00
1400000US06053001400,6053001400,SO,General,"Monterey County",Salinas,91.71,52.15,77.56,59.60,0.07,4.00
1400000US06053001400,6053001400,JJA,General,"Monterey County",Salinas,94.95,50.76,78.90,56.41,0.30,5.44
1400000US06053001400,6053001400,AM,General,"Monterey County",Salinas,97.95,58.92,70.98,55.32,0.07,4.00
1400000US06053001400,6053001400,Total,Vulnerable,"Monterey County",Salinas,92.12,52.49,76.19,57.02,2.07,2.65
1400000US06053001400,6053001400,Total,"2006 HW","Monterey County",Salinas,89.71,48.01,86.04,62.83,0.00,0.00
1400000US06053001500,6053001500,SO,General,"Monterey County",Salinas,91.71,52.15,77.56,59.60,0.07,4.00
1400000US06053001500,6053001500,JJA,General,"Monterey County",Salinas,94.95,50.76,78.90,56.41,0.30,5.44
1400000US06053001500,6053001500,AM,General,"Monterey County",Salinas,97.95,58.92,70.98,55.32,0.07,4.00
1400000US06053001500,6053001500,Total,Vulnerable,"Monterey County",Salinas,92.12,52.49,76.19,57.02,2.07,2.65
1400000US06053001500,6053001500,Total,"2006 HW","Monterey County",Salinas,89.71,48.01,86.04,62.83,0.00,0.00
1400000US06053001600,6053001600,Total,"2006 HW","Monterey County",Salinas,89.71,48.01,86.04,62.83,0.00,0.00
1400000US06053001600,6053001600,Total,Vulnerable,"Monterey County",Salinas,92.12,52.49,76.19,57.02,2.07,2.65
1400000US06053001600,6053001600,AM,General,"Monterey County",Salinas,97.95,58.92,70.98,55.32,0.07,4.00
