geoid_long,census_tract,time_of_year,socioeconomic_group,census_county,census_city,avg_event_rh_max_perc,avg_event_rh_min_perc,tmax,tmin,hist_avg_annual_events,hist_avg_duration
1400000US06055200201,6055200201,Total,"2006 HW","Napa County",Napa,54.41,24.37,106.03,71.25,0.00,0.00
1400000US06055200201,6055200201,Total,Vulnerable,"Napa County",Napa,69.43,28.49,93.50,59.88,1.50,5.33
1400000US06055200201,6055200201,AM,General,"Napa County",Napa,69.17,28.89,89.47,56.16,0.17,5.60
1400000US06055200201,6055200201,JJA,General,"Napa County",Napa,58.96,21.36,102.15,62.32,0.40,2.75
1400000US06055200201,6055200201,SO,General,"Napa County",Napa,58.90,18.70,96.99,59.22,0.63,2.84
1400000US06055200202,6055200202,SO,General,"Napa County",Napa,58.90,18.70,96.99,59.22,0.63,2.84
1400000US06055200202,6055200202,JJA,General,"Napa County",Napa,58.96,21.36,102.15,62.32,0.40,2.75
1400000US06055200202,6055200202,AM,General,"Napa County",Napa,69.17,28.89,89.47,56.16,0.17,5.60
1400000US06055200202,6055200202,Total,Vulnerable,"Napa County",Napa,69.43,28.49,93.50,59.88,1.50,5.33
1400000US06055200202,6055200202,Total,"2006 HW","Napa County",Napa,54.41,24.37,106.03,71.25,0.00,0.00
1400000US06055200203,6055200203,SO,General,"Napa County",Napa,58.90,18.70,96.99,59.22,0.63,2.84
1400000US06055200203,6055200203,JJA,General,"Napa County",Napa,58.96,21.36,102.15,62.32,0.40,2.75
1400000US06055200203,6055200203,AM,General,"Napa County",Napa,69.17,28.89,89.47,56.16,0.17,5.60
1400000US06055200203,6055200203,Total,Vulnerable,"Napa County",Napa,69.43,28.49,93.50,59.88,1.50,5.33
1400000US06055200203,6055200203,Total,"2006 HW","Napa County",Napa,54.41,24.37,106.03,71.25,0.00,0.00
1400000US06055200301,6055200301,Total,"2006 HW","Napa County",Napa,54.41,24.37,106.03,71.25,0.00,0.00
1400000US06055200301,6055200301,Total,Vulnerable,"Napa County",Napa,69.43,28.49,93.50,59.88,1.50,5.33
1400000US06055200301,6055200301,AM,General,"Napa County",Napa,69.17,28.89,89.47,56.16,0.17,5.60
1400000US06055200301,6055200301,JJA,General,"Napa County",Napa,58.96,21.36,102.15,62.32,0.40,2.75
1400000US06055200301,6055200301,SO,General,"Napa County",Napa,58.90,18.70,96.99,59.22,0.63,2.84
1400000US06055200302,6055200302,SO,General,"Napa County",Napa,58.90,18.70,96.99,59.22,0.63,2.84
1400000US06055200302,6055200302,JJA,General,"Napa County",Napa,58.96,21.36,102.15,62.32,0.40,2.75
1400000US06055200302,6055200302,AM,General,"Napa County",Napa,69.17,28.89,89.47,56.16,0.17,5.60
1400000US06055200302,6055200302,Total,Vulnerable,"Napa County",Napa,69.43,28.49,93.50,59.88,1.50,5.33
1400000US06055200302,6055200302,Total,"2006 HW","Napa County",Napa,54.41,24.37,106.03,71.25,0.00,0.00
1400000US06055200400,6055200400,SO,General,"Napa County",Napa,58.90,18.70,96.99,59.22,0.63,2.84
1400000US06055200400,6055200400,JJA,General,"Napa County",Napa,58.96,21.36,102.15,62.32,0.40,2.75
1400000US06055200400,6055200400,AM,General,"Napa County",Napa,69.17,28.89,89.47,56.16,0.17,5.60
1400000US06055200400,6055200400,Total,Vulnerable,"Napa County",Napa,69.43,28.49,93.50,59.88,1.50,5.33
1400000US06055200400,6055200400,Total,"2006 HW","Napa County",Napa,54.41,24.37,106.03,71.25,0.00,0.00
1400000US06055200501,6055200501,Total,"2006 HW","Napa County",Napa,54.41,24.37,106.03,71.25,0.00,0.00
1400000US06055200501,6055200501,Total,Vulnerable,"Napa County",Napa,69.43,28.49,93.50,59.88,1.50,5.33
1400000US06055200501,6055200501,AM,General,"Napa County",Napa,69.17,28.89,89.47,56.16,0.17,5.60
1400000US06055200501,6055200501,JJA,General,"Napa County",Napa,58.96,21.36,102.15,62.32,0.40,2.75
1400000US06055200501,6055200501,SO,General,"Napa County",Napa,58.90,18.70,96.99,59.22,0.63,2.84
1400000US06055200503,6055200503,SO,General,"Napa County",Napa,58.90,18.70,96.99,59.22,0.63,2.84
1400000US06055200503,6055200503,JJA,General,"Napa County",Napa,58.96,21.36,102.15,62.32,0.40,2.75
1400000US06055200503,6055200503,AM,General,"Napa County",Napa,69.17,28.89,89.47,56.16,0.17,5.60
1400000US06055200503,6055200503,Total,Vulnerable,"Napa County",Napa,69.43,28.49,93.50,59.88,1.50,5.33
1400000US06055200503,6055200503,Total,"2006 HW","Napa County",Napa,54.41,24.37,106.03,71.25,0.00,0.00
1400000US06055200504,6055200504,SO,General,"Napa County",Napa,58.90,18.70,96.99,59.22,0.63,2.84
1400000US06055200504,6055200504,JJA,General,"Napa County",Napa,58.96,21.36,102.15,62.32,0.40,2.75
1400000US06055200504,6055200504,AM,General,"Napa County",Napa,69.17,28.89,89.47,56.16,0.17,5.60
