geoid_long,census_tract,time_of_year,socioeconomic_group,census_county,census_city,avg_event_rh_max_perc,avg_event_rh_min_perc,tmax,tmin,hist_avg_annual_events,hist_avg_duration
1400000US06057000102,6057000102,Total,"2006 HW","Nevada County","Grass Valley",49.21,21.58,107.10,75.21,0.00,0.00
1400000US06057000102,6057000102,Total,Vulnerable,"Nevada County","Grass Valley",36.79,13.06,86.80,54.85,6.83,4.28
1400000US06057000102,6057000102,AM,General,"Nevada County","Grass Valley",58.01,23.72,96.76,63.86,0.03,3.00
1400000US06057000102,6057000102,JJA,General,"Nevada County","Grass Valley",50.28,22.06,108.01,76.87,0.07,3.00
1400000US06057000102,6057000102,SO,General,"Nevada County","Grass Valley",45.89,18.88,97.03,64.78,0.27,3.00
1400000US06057000103,6057000103,SO,General,"Nevada County","Grass Valley",47.38,20.39,93.59,64.28,0.90,2.70
1400000US06057000103,6057000103,JJA,General,"Nevada County","Grass Valley",30.84,15.57,103.64,69.76,0.23,3.57
1400000US06057000103,6057000103,AM,General,"Nevada County","Grass Valley",55.13,25.66,94.63,65.35,0.23,3.29
1400000US06057000103,6057000103,Total,Vulnerable,"Nevada County","Grass Valley",33.96,14.35,102.31,70.47,1.00,6.00
1400000US06057000103,6057000103,Total,"2006 HW","Nevada County","Grass Valley",50.79,18.48,106.68,76.90,0.00,0.00
1400000US06057000104,6057000104,SO,General,"Nevada County","Grass Valley",45.89,18.88,97.03,64.78,0.27,3.00
1400000US06057000104,6057000104,JJA,General,"Nevada County","Grass Valley",50.28,22.06,108.01,76.87,0.07,3.00
1400000US06057000104,6057000104,AM,General,"Nevada County","Grass Valley",58.01,23.72,96.76,63.86,0.03,3.00
1400000US06057000104,6057000104,Total,Vulnerable,"Nevada County","Grass Valley",36.79,13.06,86.80,54.85,6.83,4.28
1400000US06057000104,6057000104,Total,"2006 HW","Nevada County","Grass Valley",49.21,21.58,107.10,75.21,0.00,0.00
1400000US06057000105,6057000105,Total,"2006 HW","Nevada County","Grass Valley",49.21,21.58,107.10,75.21,0.00,0.00
1400000US06057000105,6057000105,Total,Vulnerable,"Nevada County","Grass Valley",36.79,13.06,86.80,54.85,6.83,4.28
1400000US06057000105,6057000105,AM,General,"Nevada County","Grass Valley",58.01,23.72,96.76,63.86,0.03,3.00
1400000US06057000105,6057000105,JJA,General,"Nevada County","Grass Valley",50.28,22.06,108.01,76.87,0.07,3.00
1400000US06057000105,6057000105,SO,General,"Nevada County","Grass Valley",45.89,18.88,97.03,64.78,0.27,3.00
1400000US06057000200,6057000200,SO,General,"Nevada County","Grass Valley",45.89,18.88,97.03,64.78,0.27,3.00
1400000US06057000200,6057000200,JJA,General,"Nevada County","Grass Valley",50.28,22.06,108.01,76.87,0.07,3.00
1400000US06057000200,6057000200,AM,General,"Nevada County","Grass Valley",58.01,23.72,96.76,63.86,0.03,3.00
1400000US06057000200,6057000200,Total,Vulnerable,"Nevada County","Grass Valley",36.79,13.06,86.80,54.85,6.83,4.28
1400000US06057000200,6057000200,Total,"2006 HW","Nevada County","Grass Valley",49.21,21.58,107.10,75.21,0.00,0.00
1400000US06057000300,6057000300,SO,General,"Nevada County","Grass Valley",45.89,18.88,97.03,64.78,0.27,3.00
1400000US06057000300,6057000300,JJA,General,"Nevada County","Grass Valley",50.28,22.06,108.01,76.87,0.07,3.00
1400000US06057000300,6057000300,AM,General,"Nevada County","Grass Valley",58.01,23.72,96.76,63.86,0.03,3.00
1400000US06057000300,6057000300,Total,Vulnerable,"Nevada County","Grass Valley",36.79,13.06,86.80,54.85,6.83,4.28
1400000US06057000300,6057000300,Total,"2006 HW","Nevada County","Grass Valley",49.21,21.58,107.10,75.21,0.00,0.00
1400000US06057000401,6057000401,Total,"2006 HW","Nevada County","Rough and Ready",49.21,21.58,107.10,75.21,0.00,0.00
1400000US06057000401,6057000401,Total,Vulnerable,"Nevada County","Rough and Ready",36.79,13.06,86.80,54.85,6.83,4.28
1400000US06057000401,6057000401,AM,General,"Nevada County","Rough and Ready",58.01,23.72,96.76,63.86,0.03,3.00
1400000US06057000401,6057000401,JJA,General,"Nevada County","Rough and Ready",50.28,22.06,108.01,76.87,0.07,3.00
1400000US06057000401,6057000401,SO,General,"Nevada County","Rough and Ready",45.89,18.88,97.03,64.78,0.27,3.00
1400000US06057000402,6057000402,SO,General,"Nevada County","Penn Valley",45.89,18.88,97.03,64.78,0.27,3.00
1400000US06057000402,6057000402,JJA,General,"Nevada County","Penn Valley",50.28,22.06,108.01,76.87,0.07,3.00
1400000US06057000402,6057000402,AM,General,"Nevada County","Penn Valley",58.01,23.72,96.76,63.86,0.03,3.00
1400000US06057000402,6057000402,Total,Vulnerable,"Nevada County","Penn Valley",36.79,13.06,86.80,54.85,6.83,4.28
1400000US06057000402,6057000402,Total,"2006 HW","Nevada County","Penn Valley",49.21,21.58,107.10,75.21,0.00,0.00
1400000US06057000501,6057000501,SO,General,"Nevada County","Grass Valley",20.19,7.54,93.51,64.19,0.13,4.00
1400000US06057000501,6057000501,JJA,General,"Nevada County","Grass Valley",34.88,13.17,97.69,70.21,0.10,5.00
1400000US06057000501,6057000501,AM,General,"Nevada County","Grass Valley",54.00,23.14,83.41,55.93,0.43,4.08
1400000US06057000501,6057000501,Total,Vulnerable,"Nevada County","Grass Valley",40.44,17.84,86.32,59.14,4.60,4.66
1400000US06057000501,6057000501,Total,"2006 HW","Nevada County","Grass Valley",46.15,18.42,100.81,71.43,0.00,0.00
1400000US06057000502,6057000502,Total,"2006 HW","Nevada County","Grass Valley",46.15,18.42,100.81,71.43,0.00,0.00
1400000US06057000502,6057000502,Total,Vulnerable,"Nevada County","Grass Valley",40.44,17.84,86.32,59.14,4.60,4.66
1400000US06057000502,6057000502,AM,General,"Nevada County","Grass Valley",54.00,23.14,83.41,55.93,0.43,4.08
1400000US06057000502,6057000502,JJA,General,"Nevada County","Grass Valley",34.88,13.17,97.69,70.21,0.10,5.00
1400000US06057000502,6057000502,SO,General,"Nevada County","Grass Valley",20.19,7.54,93.51,64.19,0.13,4.00
1400000US06057000600,6057000600,SO,General,"Nevada County","Grass Valley",20.19,7.54,93.51,64.19,0.13,4.00
1400000US06057000600,6057000600,JJA,General,"Nevada County","Grass Valley",34.88,13.17,97.69,70.21,0.10,5.00
1400000US06057000600,6057000600,AM,General,"Nevada County","Grass Valley",54.00,23.14,83.41,55.93,0.43,4.08
1400000US06057000600,6057000600,Total,Vulnerable,"Nevada County","Grass Valley",40.44,17.84,86.32,59.14,4.60,4.66
1400000US06057000600,6057000600,Total,"2006 HW","Nevada County","Grass Valley",46.15,18.42,100.81,71.43,0.00,0.00
1400000US06057000701,6057000701,Total,"2006 HW","Nevada County","Nevada City",46.15,18.42,100.81,71.43,0.00,0.00
1400000US06057000701,6057000701,Total,Vulnerable,"Nevada County","Nevada City",40.44,17.84,86.32,59.14,4.60,4.66
1400000US06057000701,6057000701,AM,General,"Nevada County","Nevada City",54.00,23.14,83.41,55.93,0.43,4.08
1400000US06057000701,6057000701,JJA,General,"Nevada County","Nevada City",34.88,13.17,97.69,70.21,0.10,5.00
1400000US06057000701,6057000701,SO,General,"Nevada County","Nevada City",20.19,7.54,93.51,64.19,0.13,4.00
1400000US06057000702,6057000702,SO,General,"Nevada County","Grass Valley",20.19,7.54,93.51,64.19,0.13,4.00
1400000US06057000702,6057000702,JJA,General,"Nevada County","Grass Valley",34.88,13.17,97.69,70.21,0.10,5.00
1400000US06057000702,6057000702,AM,General,"Nevada County","Grass Valley",54.00,23.14,83.41,55.93,0.43,4.08
1400000US06057000702,6057000702,Total,Vulnerable,"Nevada County","Grass Valley",40.44,17.84,86.32,59.14,4.60,4.66
1400000US06057000702,6057000702,Total,"2006 HW","Nevada County","Grass Valley",46.15,18.42,100.81,71.43,0.00,0.00
1400000US06057000801,6057000801,SO,General,"Nevada County","Nevada City",66.58,28.40,83.20,58.60,0.17,4.00
1400000US06057000801,6057000801,JJA,General,"Nevada County","Nevada City",47.81,18.89,90.68,61.63,0.17,4.80
1400000US06057000801,6057000801,AM,General,"Nevada County","Nevada City",57.56,22.14,78.16,49.62,0.37,4.18
1400000US06057000801,6057000801,Total,Vulnerable,"Nevada County","Nevada City",52.26,20.40,86.90,58.63,0.73,3.32
1400000US06057000801,6057000801,Total,"2006 HW","Nevada County","Nevada City",56.87,21.62,91.73,63.53,0.00,0.00
1400000US06057000802,6057000802,Total,"2006 HW","Nevada County","Nevada City",56.87,21.62,91.73,63.53,0.00,0.00
1400000US06057000802,6057000802,Total,Vulnerable,"Nevada County","Nevada City",52.26,20.40,86.90,58.63,0.73,3.32
1400000US06057000802,6057000802,AM,General,"Nevada County","Nevada City",57.56,22.14,78.16,49.62,0.37,4.18
1400000US06057000802,6057000802,JJA,General,"Nevada County","Nevada City",47.81,18.89,90.68,61.63,0.17,4.80
1400000US06057000802,6057000802,SO,General,"Nevada County","Nevada City",66.58,28.40,83.20,58.60,0.17,4.00
1400000US06057000900,6057000900,SO,General,"Nevada County","Soda Springs",66.58,28.40,83.20,58.60,0.17,4.00
1400000US06057000900,6057000900,JJA,General,"Nevada County","Soda Springs",47.81,18.89,90.68,61.63,0.17,4.80
1400000US06057000900,6057000900,AM,General,"Nevada County","Soda Springs",57.56,22.14,78.16,49.62,0.37,4.18
1400000US06057000900,6057000900,Total,Vulnerable,"Nevada County","Soda Springs",52.26,20.40,86.90,58.63,0.73,3.32
1400000US06057000900,6057000900,Total,"2006 HW","Nevada County","Soda Springs",56.87,21.62,91.73,63.53,0.00,0.00
1400000US06057001203,6057001203,Total,"2006 HW","Nevada County",Truckee,56.87,21.62,91.73,63.53,0.00,0.00
1400000US06057001203,6057001203,Total,Vulnerable,"Nevada County",Truckee,52.26,20.40,86.90,58.63,0.73,3.32
1400000US06057001203,6057001203,AM,General,"Nevada County",Truckee,57.56,22.14,78.16,49.62,0.37,4.18
1400000US06057001203,6057001203,JJA,General,"Nevada County",Truckee,47.81,18.89,90.68,61.63,0.17,4.80
1400000US06057001203,6057001203,SO,General,"Nevada County",Truckee,66.58,28.40,83.20,58.60,0.17,4.00
1400000US06057001204,6057001204,SO,General,"Nevada County",Truckee,66.58,28.40,83.20,58.60,0.17,4.00
1400000US06057001204,6057001204,JJA,General,"Nevada County",Truckee,47.81,18.89,90.68,61.63,0.17,4.80
1400000US06057001204,6057001204,AM,General,"Nevada County",Truckee,57.56,22.14,78.16,49.62,0.37,4.18
1400000US06057001204,6057001204,Total,Vulnerable,"Nevada County",Truckee,52.26,20.40,86.90,58.63,0.73,3.32
1400000US06057001204,6057001204,Total,"2006 HW","Nevada County",Truckee,56.87,21.62,91.73,63.53,0.00,0.00
1400000US06057001205,6057001205,SO,General,"Nevada County",Truckee,66.58,28.40,83.20,58.60,0.17,4.00
