geoid_long,census_tract,time_of_year,socioeconomic_group,census_county,census_city,avg_event_rh_max_perc,avg_event_rh_min_perc,tmax,tmin,hist_avg_annual_events,hist_avg_duration
1400000US06059001101,6059001101,Total,"2006 HW","Orange County","La Habra",86.31,38.03,102.73,71.95,0.00,0.00
1400000US06059001101,6059001101,Total,Vulnerable,"Orange County","La Habra",77.90,32.21,97.97,69.06,0.47,3.86
1400000US06059001101,6059001101,AM,General,"Orange County","La Habra",79.26,26.18,95.08,62.19,0.27,4.25
1400000US06059001101,6059001101,JJA,General,"Orange County","La Habra",73.43,33.67,99.93,73.53,0.03,3.00
1400000US06059001101,6059001101,SO,General,"Orange County","La Habra",70.50,21.75,105.35,71.20,0.03,4.00
1400000US06059001102,6059001102,Total,"2006 HW","Orange County","La Habra",86.31,38.03,102.73,71.95,0.00,0.00
1400000US06059001102,6059001102,Total,Vulnerable,"Orange County","La Habra",77.90,32.21,97.97,69.06,0.47,3.86
1400000US06059001102,6059001102,AM,General,"Orange County","La Habra",79.26,26.18,95.08,62.19,0.27,4.25
1400000US06059001102,6059001102,JJA,General,"Orange County","La Habra",73.43,33.67,99.93,73.53,0.03,3.00
1400000US06059001102,6059001102,SO,General,"Orange County","La Habra",70.50,21.75,105.35,71.20,0.03,4.00
1400000US06059001103,6059001103,Total,"2006 HW","Orange County","La Habra",86.31,38.03,102.73,71.95,0.00,0.00
1400000US06059001103,6059001103,Total,Vulnerable,"Orange County","La Habra",77.90,32.21,97.97,69.06,0.47,3.86
1400000US06059001103,6059001103,AM,General,"Orange County","La Habra",79.26,26.18,95.08,62.19,0.27,4.25
1400000US06059001103,6059001103,JJA,General,"Orange County","La Habra",73.43,33.67,99.93,73.53,0.03,3.00
1400000US06059001103,6059001103,SO,General,"Orange County","La Habra",70.50,21.75,105.35,71.20,0.03,4.00
1400000US06059001201,6059001201,Total,"2006 HW","Orange County","La Habra",86.31,38.03,102.73,71.95,0.00,0.00
1400000US06059001201,6059001201,Total,Vulnerable,"Orange County","La Habra",77.90,32.21,97.97,69.06,0.47,3.86
1400000US06059001201,6059001201,AM,General,"Orange County","La Habra",79.26,26.18,95.08,62.19,0.27,4.25
1400000US06059001201,6059001201,JJA,General,"Orange County","La Habra",73.43,33.67,99.93,73.53,0.03,3.00
1400000US06059001201,6059001201,SO,General,"Orange County","La Habra",70.50,21.75,105.35,71.20,0.03,4.00
1400000US06059001202,6059001202,Total,"2006 HW","Orange County","La Habra",86.31,38.03,102.73,71.95,0.00,0.00
1400000US06059001202,6059001202,Total,Vulnerable,"Orange County","La Habra",77.90,32.21,97.97,69.06,0.47,3.86
1400000US06059001202,6059001202,AM,General,"Orange County","La Habra",79.26,26.18,95.08,62.19,0.27,4.25
1400000US06059001202,6059001202,JJA,General,"Orange County","La Habra",73.43,33.67,99.93,73.53,0.03,3.00
1400000US06059001202,6059001202,SO,General,"Orange County","La Habra",70.50,21.75,105.35,71.20,0.03,4.00
1400000US06059001301,6059001301,Total,"2006 HW","Orange County","La Habra",86.31,38.03,102.73,71.95,0.00,0.00
1400000US06059001301,6059001301,Total,Vulnerable,"Orange County","La Habra",77.90,32.21,97.97,69.06,0.47,3.86
1400000US06059001301,6059001301,AM,General,"Orange County","La Habra",79.26,26.18,95.08,62.19,0.27,4.25
1400000US06059001301,6059001301,JJA,General,"Orange County","La Habra",73.43,33.67,99.93,73.53,0.03,3.00
1400000US06059001301,6059001301,SO,General,"Orange County","La Habra",70.50,21.75,105.35,71.20,0.03,4.00
1400000US06059001303,6059001303,Total,"2006 HW","Orange County","La Habra",86.31,38.03,102.73,71.95,0.00,0.00
1400000US06059001303,6059001303,Total,Vulnerable,"Orange County","La Habra",77.90,32.21,97.97,69.06,0.47,3.86
1400000US06059001303,6059001303,AM,General,"Orange County","La Habra",79.26,26.18,95.08,62.19,0.27,4.25
1400000US06059001303,6059001303,JJA,General,"Orange County","La Habra",73.43,33.67,99.93,73.53,0.03,3.00
1400000US06059001303,6059001303,SO,General,"Orange County","La Habra",70.50,21.75,105.35,71.20,0.03,4.00
1400000US06059001304,6059001304,Total,"2006 HW","Orange County","La Habra",86.31,38.03,102.73,71.95,0.00,0.00
1400000US06059001304,6059001304,Total,Vulnerable,"Orange County","La Habra",77.90,32.21,97.97,69.06,0.47,3.86
1400000US06059001304,6059001304,AM,General,"Orange County","La Habra",79.26,26.18,95.08,62.19,0.27,4.25
1400000US06059001304,6059001304,JJA,General,"Orange County","La Habra",73.43,33.67,99.93,73.53,0.03,3.00
1400000US06059001304,6059001304,SO,General,"Orange County","La Habra",70.50,21.75,105.35,71.20,0.03,4.00
1400000US06059001401,6059001401,Total,"2006 HW","Orange County","La Habra",86.31,38.03,102.73,71.95,0.00,0.00
1400000US06059001401,6059001401,Total,Vulnerable,"Orange County","La Habra",77.90,32.21,97.97,69.06,0.47,3.86
1400000US06059001401,6059001401,AM,General,"Orange County","La Habra",79.26,26.18,95.08,62.19,0.27,4.25
1400000US06059001401,6059001401,JJA,General,"Orange County","La Habra",73.43,33.67,99.93,73.53,0.03,3.00
1400000US06059001401,6059001401,SO,General,"Orange County","La Habra",70.50,21.75,105.35,71.20,0.03,4.00
1400000US06059001402,6059001402,Total,"2006 HW","Orange County","La Habra",86.31,38.03,102.73,71.95,0.00,0.00
1400000US06059001402,6059001402,Total,Vulnerable,"Orange County","La Habra",77.90,32.21,97.97,69.06,0.47,3.86
1400000US06059001402,6059001402,AM,General,"Orange County","La Habra",79.26,26.18,95.08,62.19,0.27,4.25
1400000US06059001402,6059001402,JJA,General,"Orange County","La Habra",73.43,33.67,99.93,73.53,0.03,3.00
1400000US06059001402,6059001402,SO,General,"Orange County","La Habra",70.50,21.75,105.35,71.20,0.03,4.00
1400000US06059001403,6059001403,Total,"2006 HW","Orange County",Brea,86.42,37.73,102.90,71.84,0.00,0.00
1400000US06059001403,6059001403,Total,Vulnerable,"Orange County",Brea,0.00,0.00,0.00,0.00,0.00,0.00
1400000US06059001403,6059001403,AM,General,"Orange County",Brea,79.70,29.06,94.53,62.05,0.20,3.33
1400000US06059001403,6059001403,JJA,General,"Orange County",Brea,71.57,35.50,96.75,73.79,0.03,3.00
1400000US06059001403,6059001403,SO,General,"Orange County",Brea,70.86,25.97,98.89,67.35,0.43,3.00
1400000US06059001404,6059001404,Total,"2006 HW","Orange County","La Habra",86.31,38.03,102.73,71.95,0.00,0.00
1400000US06059001404,6059001404,Total,Vulnerable,"Orange County","La Habra",77.90,32.21,97.97,69.06,0.47,3.86
1400000US06059001404,6059001404,AM,General,"Orange County","La Habra",79.26,26.18,95.08,62.19,0.27,4.25
1400000US06059001404,6059001404,JJA,General,"Orange County","La Habra",73.43,33.67,99.93,73.53,0.03,3.00
1400000US06059001404,6059001404,SO,General,"Orange County","La Habra",70.50,21.75,105.35,71.20,0.03,4.00
1400000US06059001501,6059001501,Total,"2006 HW","Orange County",Brea,86.42,37.73,102.90,71.84,0.00,0.00
1400000US06059001501,6059001501,Total,Vulnerable,"Orange County",Brea,0.00,0.00,0.00,0.00,0.00,0.00
1400000US06059001501,6059001501,AM,General,"Orange County",Brea,79.70,29.06,94.53,62.05,0.20,3.33
1400000US06059001501,6059001501,JJA,General,"Orange County",Brea,71.57,35.50,96.75,73.79,0.03,3.00
1400000US06059001501,6059001501,SO,General,"Orange County",Brea,70.86,25.97,98.89,67.35,0.43,3.00
1400000US06059001503,6059001503,Total,"2006 HW","Orange County",Brea,86.42,37.73,102.90,71.84,0.00,0.00
1400000US06059001503,6059001503,Total,Vulnerable,"Orange County",Brea,0.00,0.00,0.00,0.00,0.00,0.00
1400000US06059001503,6059001503,AM,General,"Orange County",Brea,79.70,29.06,94.53,62.05,0.20,3.33
1400000US06059001503,6059001503,JJA,General,"Orange County",Brea,71.57,35.50,96.75,73.79,0.03,3.00
