geoid_long,census_tract,time_of_year,socioeconomic_group,census_county,census_city,avg_event_rh_max_perc,avg_event_rh_min_perc,tmax,tmin,hist_avg_annual_events,hist_avg_duration
1400000US06061020104,6061020104,Total,"2006 HW","Placer County","Tahoe City",56.87,21.62,91.73,63.53,0.00,0.00
1400000US06061020104,6061020104,Total,Vulnerable,"Placer County","Tahoe City",52.26,20.40,86.90,58.63,0.73,3.32
1400000US06061020104,6061020104,AM,General,"Placer County","Tahoe City",57.56,22.14,78.16,49.62,0.37,4.18
1400000US06061020104,6061020104,JJA,General,"Placer County","Tahoe City",47.81,18.89,90.68,61.63,0.17,4.80
1400000US06061020104,6061020104,SO,General,"Placer County","Tahoe City",66.58,28.40,83.20,58.60,0.17,4.00
1400000US06061020105,6061020105,SO,General,"Placer County","Carnelian Bay",66.58,28.40,83.20,58.60,0.17,4.00
1400000US06061020105,6061020105,JJA,General,"Placer County","Carnelian Bay",47.81,18.89,90.68,61.63,0.17,4.80
1400000US06061020105,6061020105,AM,General,"Placer County","Carnelian Bay",57.56,22.14,78.16,49.62,0.37,4.18
1400000US06061020105,6061020105,Total,Vulnerable,"Placer County","Carnelian Bay",52.26,20.40,86.90,58.63,0.73,3.32
1400000US06061020105,6061020105,Total,"2006 HW","Placer County","Carnelian Bay",56.87,21.62,91.73,63.53,0.00,0.00
1400000US06061020106,6061020106,SO,General,"Placer County","Kings Beach",66.58,28.40,83.20,58.60,0.17,4.00
1400000US06061020106,6061020106,JJA,General,"Placer County","Kings Beach",47.81,18.89,90.68,61.63,0.17,4.80
1400000US06061020106,6061020106,AM,General,"Placer County","Kings Beach",57.56,22.14,78.16,49.62,0.37,4.18
1400000US06061020106,6061020106,Total,Vulnerable,"Placer County","Kings Beach",52.26,20.40,86.90,58.63,0.73,3.32
1400000US06061020106,6061020106,Total,"2006 HW","Placer County","Kings Beach",56.87,21.62,91.73,63.53,0.00,0.00
1400000US06061020107,6061020107,Total,"2006 HW","Placer County","Kings Beach",56.87,21.62,91.73,63.53,0.00,0.00
1400000US06061020107,6061020107,Total,Vulnerable,"Placer County","Kings Beach",52.26,20.40,86.90,58.63,0.73,3.32
1400000US06061020107,6061020107,AM,General,"Placer County","Kings Beach",57.56,22.14,78.16,49.62,0.37,4.18
1400000US06061020107,6061020107,JJA,General,"Placer County","Kings Beach",47.81,18.89,90.68,61.63,0.17,4.80
1400000US06061020107,6061020107,SO,General,"Placer County","Kings Beach",66.58,28.40,83.20,58.60,0.17,4.00
1400000US06061020200,6061020200,SO,General,"Placer County",Foresthill,66.58,28.40,83.20,58.60,0.17,4.00
1400000US06061020200,6061020200,JJA,General,"Placer County",Foresthill,47.81,18.89,90.68,61.63,0.17,4.80
1400000US06061020200,6061020200,AM,General,"Placer County",Foresthill,57.56,22.14,78.16,49.62,0.37,4.18
1400000US06061020200,6061020200,Total,Vulnerable,"Placer County",Foresthill,52.26,20.40,86.90,58.63,0.73,3.32
1400000US06061020200,6061020200,Total,"2006 HW","Placer County",Foresthill,56.87,21.62,91.73,63.53,0.00,0.00
1400000US06061020300,6061020300,SO,General,"Placer County",Auburn,47.38,20.39,93.59,64.28,0.90,2.70
1400000US06061020300,6061020300,JJA,General,"Placer County",Auburn,30.84,15.57,103.64,69.76,0.23,3.57
1400000US06061020300,6061020300,AM,General,"Placer County",Auburn,55.13,25.66,94.63,65.35,0.23,3.29
1400000US06061020300,6061020300,Total,Vulnerable,"Placer County",Auburn,33.96,14.35,102.31,70.47,1.00,6.00
