geoid_long,census_tract,time_of_year,socioeconomic_group,census_county,census_city,avg_event_rh_max_perc,avg_event_rh_min_perc,tmax,tmin,hist_avg_annual_events,hist_avg_duration
1400000US06065030101,6065030101,Total,"2006 HW","Riverside County",Riverside,69.56,25.12,108.15,74.99,0.00,0.00
1400000US06065030101,6065030101,Total,Vulnerable,"Riverside County",Riverside,67.63,26.37,98.11,66.54,1.97,4.80
1400000US06065030101,6065030101,AM,General,"Riverside County",Riverside,63.45,17.26,96.33,61.38,0.23,4.29
1400000US06065030101,6065030101,JJA,General,"Riverside County",Riverside,58.93,23.79,101.92,70.85,0.13,5.75
1400000US06065030101,6065030101,SO,General,"Riverside County",Riverside,48.13,22.67,101.12,75.35,0.03,4.00
1400000US06065030103,6065030103,Total,"2006 HW","Riverside County",Riverside,74.25,27.06,107.14,74.37,0.00,0.00
1400000US06065030103,6065030103,Total,Vulnerable,"Riverside County",Riverside,64.95,23.37,103.75,70.91,0.37,4.27
1400000US06065030103,6065030103,AM,General,"Riverside County",Riverside,68.09,18.92,96.38,61.42,0.23,4.29
1400000US06065030103,6065030103,JJA,General,"Riverside County",Riverside,61.12,27.44,102.19,73.52,0.10,5.00
1400000US06065030103,6065030103,SO,General,"Riverside County",Riverside,54.49,24.76,101.76,74.33,0.03,4.00
1400000US06065030104,6065030104,Total,"2006 HW","Riverside County",Riverside,74.25,27.06,107.14,74.37,0.00,0.00
1400000US06065030104,6065030104,Total,Vulnerable,"Riverside County",Riverside,64.95,23.37,103.75,70.91,0.37,4.27
1400000US06065030104,6065030104,AM,General,"Riverside County",Riverside,68.09,18.92,96.38,61.42,0.23,4.29
1400000US06065030104,6065030104,JJA,General,"Riverside County",Riverside,61.12,27.44,102.19,73.52,0.10,5.00
1400000US06065030104,6065030104,SO,General,"Riverside County",Riverside,54.49,24.76,101.76,74.33,0.03,4.00
1400000US06065030200,6065030200,Total,"2006 HW","Riverside County",Riverside,74.25,27.06,107.14,74.37,0.00,0.00
1400000US06065030200,6065030200,Total,Vulnerable,"Riverside County",Riverside,64.95,23.37,103.75,70.91,0.37,4.27
1400000US06065030200,6065030200,AM,General,"Riverside County",Riverside,68.09,18.92,96.38,61.42,0.23,4.29
1400000US06065030200,6065030200,JJA,General,"Riverside County",Riverside,61.12,27.44,102.19,73.52,0.10,5.00
1400000US06065030200,6065030200,SO,General,"Riverside County",Riverside,54.49,24.76,101.76,74.33,0.03,4.00
1400000US06065030300,6065030300,Total,"2006 HW","Riverside County",Riverside,74.25,27.06,107.14,74.37,0.00,0.00
1400000US06065030300,6065030300,Total,Vulnerable,"Riverside County",Riverside,64.95,23.37,103.75,70.91,0.37,4.27
1400000US06065030300,6065030300,AM,General,"Riverside County",Riverside,68.09,18.92,96.38,61.42,0.23,4.29
1400000US06065030300,6065030300,JJA,General,"Riverside County",Riverside,61.12,27.44,102.19,73.52,0.10,5.00
1400000US06065030300,6065030300,SO,General,"Riverside County",Riverside,54.49,24.76,101.76,74.33,0.03,4.00
1400000US06065030400,6065030400,Total,"2006 HW","Riverside County",Riverside,69.56,25.12,108.15,74.99,0.00,0.00
1400000US06065030400,6065030400,Total,Vulnerable,"Riverside County",Riverside,67.63,26.37,98.11,66.54,1.97,4.80
1400000US06065030400,6065030400,AM,General,"Riverside County",Riverside,63.45,17.26,96.33,61.38,0.23,4.29
1400000US06065030400,6065030400,JJA,General,"Riverside County",Riverside,58.93,23.79,101.92,70.85,0.13,5.75
1400000US06065030400,6065030400,SO,General,"Riverside County",Riverside,48.13,22.67,101.12,75.35,0.03,4.00
1400000US06065030501,6065030501,Total,"2006 HW","Riverside County",Riverside,69.56,25.12,108.15,74.99,0.00,0.00
1400000US06065030501,6065030501,Total,Vulnerable,"Riverside County",Riverside,67.63,26.37,98.11,66.54,1.97,4.80
1400000US06065030501,6065030501,AM,General,"Riverside County",Riverside,63.45,17.26,96.33,61.38,0.23,4.29
1400000US06065030501,6065030501,JJA,General,"Riverside County",Riverside,58.93,23.79,101.92,70.85,0.13,5.75
1400000US06065030501,6065030501,SO,General,"Riverside County",Riverside,48.13,22.67,101.12,75.35,0.03,4.00
