geoid_long,census_tract,time_of_year,socioeconomic_group,census_county,census_city,avg_event_rh_max_perc,avg_event_rh_min_perc,tmax,tmin,hist_avg_annual_events,hist_avg_duration
1400000US06067000100,6067000100,Total,"2006 HW","Sacramento County",Sacramento,66.36,26.26,109.19,74.89,0.00,0.00
1400000US06067000100,6067000100,Total,Vulnerable,"Sacramento County",Sacramento,67.21,25.04,105.42,69.80,0.40,2.50
1400000US06067000100,6067000100,AM,General,"Sacramento County",Sacramento,75.00,22.00,92.43,55.99,1.07,3.56
1400000US06067000100,6067000100,JJA,General,"Sacramento County",Sacramento,72.24,24.09,104.85,67.86,0.10,4.67
1400000US06067000100,6067000100,SO,General,"Sacramento County",Sacramento,76.01,35.99,88.34,63.39,0.37,4.27
1400000US06067000200,6067000200,Total,"2006 HW","Sacramento County",Sacramento,66.36,26.26,109.19,74.89,0.00,0.00
1400000US06067000200,6067000200,Total,Vulnerable,"Sacramento County",Sacramento,67.21,25.04,105.42,69.80,0.40,2.50
1400000US06067000200,6067000200,AM,General,"Sacramento County",Sacramento,75.00,22.00,92.43,55.99,1.07,3.56
1400000US06067000200,6067000200,JJA,General,"Sacramento County",Sacramento,72.24,24.09,104.85,67.86,0.10,4.67
1400000US06067000200,6067000200,SO,General,"Sacramento County",Sacramento,76.01,35.99,88.34,63.39,0.37,4.27
1400000US06067000300,6067000300,Total,"2006 HW","Sacramento County",Sacramento,66.36,26.26,109.19,74.89,0.00,0.00
1400000US06067000300,6067000300,Total,Vulnerable,"Sacramento County",Sacramento,67.21,25.04,105.42,69.80,0.40,2.50
1400000US06067000300,6067000300,AM,General,"Sacramento County",Sacramento,75.00,22.00,92.43,55.99,1.07,3.56
1400000US06067000300,6067000300,JJA,General,"Sacramento County",Sacramento,72.24,24.09,104.85,67.86,0.10,4.67
1400000US06067000300,6067000300,SO,General,"Sacramento County",Sacramento,76.01,35.99,88.34,63.39,0.37,4.27
1400000US06067000400,6067000400,Total,"2006 HW","Sacramento County",Sacramento,66.36,26.26,109.19,74.89,0.00,0.00
1400000US06067000400,6067000400,Total,Vulnerable,"Sacramento County",Sacramento,67.21,25.04,105.42,69.80,0.40,2.50
1400000US06067000400,6067000400,AM,General,"Sacramento County",Sacramento,75.00,22.00,92.43,55.99,1.07,3.56
1400000US06067000400,6067000400,JJA,General,"Sacramento County",Sacramento,72.24,24.09,104.85,67.86,0.10,4.67
1400000US06067000400,6067000400,SO,General,"Sacramento County",Sacramento,76.01,35.99,88.34,63.39,0.37,4.27
