geoid_long,census_tract,time_of_year,socioeconomic_group,census_county,census_city,avg_event_rh_max_perc,avg_event_rh_min_perc,tmax,tmin,hist_avg_annual_events,hist_avg_duration
1400000US06069000100,6069000100,Total,"2006 HW","San Benito County",Hollister,56.83,22.53,104.63,71.84,0.00,0.00
1400000US06069000100,6069000100,Total,Vulnerable,"San Benito County",Hollister,51.74,18.22,99.73,63.69,0.30,2.33
1400000US06069000100,6069000100,AM,General,"San Benito County",Hollister,61.49,18.34,96.42,59.63,0.13,3.75
1400000US06069000100,6069000100,JJA,General,"San Benito County",Hollister,37.88,11.19,99.75,66.72,0.23,2.86
1400000US06069000100,6069000100,SO,General,"San Benito County",Hollister,55.06,23.30,92.61,61.94,0.20,3.17
1400000US06069000200,6069000200,SO,General,"San Benito County","San Juan Bautista",55.06,23.30,92.61,61.94,0.20,3.17
1400000US06069000200,6069000200,JJA,General,"San Benito County","San Juan Bautista",37.88,11.19,99.75,66.72,0.23,2.86
1400000US06069000200,6069000200,AM,General,"San Benito County","San Juan Bautista",61.49,18.34,96.42,59.63,0.13,3.75
1400000US06069000200,6069000200,Total,Vulnerable,"San Benito County","San Juan Bautista",51.74,18.22,99.73,63.69,0.30,2.33
1400000US06069000200,6069000200,Total,"2006 HW","San Benito County","San Juan Bautista",56.83,22.53,104.63,71.84,0.00,0.00
1400000US06069000300,6069000300,SO,General,"San Benito County",Hollister,55.06,23.30,92.61,61.94,0.20,3.17
1400000US06069000300,6069000300,JJA,General,"San Benito County",Hollister,37.88,11.19,99.75,66.72,0.23,2.86
1400000US06069000300,6069000300,AM,General,"San Benito County",Hollister,61.49,18.34,96.42,59.63,0.13,3.75
1400000US06069000300,6069000300,Total,Vulnerable,"San Benito County",Hollister,51.74,18.22,99.73,63.69,0.30,2.33
1400000US06069000300,6069000300,Total,"2006 HW","San Benito County",Hollister,56.83,22.53,104.63,71.84,0.00,0.00
1400000US06069000400,6069000400,Total,"2006 HW","San Benito County",Hollister,56.83,22.53,104.63,71.84,0.00,0.00
1400000US06069000400,6069000400,Total,Vulnerable,"San Benito County",Hollister,51.74,18.22,99.73,63.69,0.30,2.33
1400000US06069000400,6069000400,AM,General,"San Benito County",Hollister,61.49,18.34,96.42,59.63,0.13,3.75
1400000US06069000400,6069000400,JJA,General,"San Benito County",Hollister,37.88,11.19,99.75,66.72,0.23,2.86
1400000US06069000400,6069000400,SO,General,"San Benito County",Hollister,55.06,23.30,92.61,61.94,0.20,3.17
1400000US06069000501,6069000501,SO,General,"San Benito County",Hollister,55.06,23.30,92.61,61.94,0.20,3.17
1400000US06069000501,6069000501,JJA,General,"San Benito County",Hollister,37.88,11.19,99.75,66.72,0.23,2.86
1400000US06069000501,6069000501,AM,General,"San Benito County",Hollister,61.49,18.34,96.42,59.63,0.13,3.75
1400000US06069000501,6069000501,Total,Vulnerable,"San Benito County",Hollister,51.74,18.22,99.73,63.69,0.30,2.33
1400000US06069000501,6069000501,Total,"2006 HW","San Benito County",Hollister,56.83,22.53,104.63,71.84,0.00,0.00
1400000US06069000502,6069000502,SO,General,"San Benito County",Hollister,55.06,23.30,92.61,61.94,0.20,3.17
1400000US06069000502,6069000502,JJA,General,"San Benito County",Hollister,37.88,11.19,99.75,66.72,0.23,2.86
1400000US06069000502,6069000502,AM,General,"San Benito County",Hollister,61.49,18.34,96.42,59.63,0.13,3.75
1400000US06069000502,6069000502,Total,Vulnerable,"San Benito County",Hollister,51.74,18.22,99.73,63.69,0.30,2.33
1400000US06069000502,6069000502,Total,"2006 HW","San Benito County",Hollister,56.83,22.53,104.63,71.84,0.00,0.00
1400000US06069000600,6069000600,Total,"2006 HW","San Benito County",Hollister,56.83,22.53,104.63,71.84,0.00,0.00
1400000US06069000600,6069000600,Total,Vulnerable,"San Benito County",Hollister,51.74,18.22,99.73,63.69,0.30,2.33
1400000US06069000600,6069000600,AM,General,"San Benito County",Hollister,61.49,18.34,96.42,59.63,0.13,3.75
1400000US06069000600,6069000600,JJA,General,"San Benito County",Hollister,37.88,11.19,99.75,66.72,0.23,2.86
1400000US06069000600,6069000600,SO,General,"San Benito County",Hollister,55.06,23.30,92.61,61.94,0.20,3.17
1400000US06069000701,6069000701,SO,General,"San Benito County",Hollister,55.06,23.30,92.61,61.94,0.20,3.17
1400000US06069000701,6069000701,JJA,General,"San Benito County",Hollister,37.88,11.19,99.75,66.72,0.23,2.86
1400000US06069000701,6069000701,AM,General,"San Benito County",Hollister,61.49,18.34,96.42,59.63,0.13,3.75
1400000US06069000701,6069000701,Total,Vulnerable,"San Benito County",Hollister,51.74,18.22,99.73,63.69,0.30,2.33
1400000US06069000701,6069000701,Total,"2006 HW","San Benito County",Hollister,56.83,22.53,104.63,71.84,0.00,0.00
1400000US06069000702,6069000702,SO,General,"San Benito County",Hollister,55.06,23.30,92.61,61.94,0.20,3.17
1400000US06069000702,6069000702,JJA,General,"San Benito County",Hollister,37.88,11.19,99.75,66.72,0.23,2.86
1400000US06069000702,6069000702,AM,General,"San Benito County",Hollister,61.49,18.34,96.42,59.63,0.13,3.75
1400000US06069000702,6069000702,Total,Vulnerable,"San Benito County",Hollister,51.74,18.22,99.73,63.69,0.30,2.33
1400000US06069000702,6069000702,Total,"2006 HW","San Benito County",Hollister,56.83,22.53,104.63,71.84,0.00,0.00
1400000US06069000801,6069000801,SO,General,"San Benito County",Hollister,55.06,23.30,92.61,61.94,0.20,3.17
1400000US06069000801,6069000801,JJA,General,"San Benito County",Hollister,37.88,11.19,99.75,66.72,0.23,2.86
1400000US06069000801,6069000801,AM,General,"San Benito County",Hollister,61.49,18.34,96.42,59.63,0.13,3.75
1400000US06069000801,6069000801,Total,Vulnerable,"San Benito County",Hollister,51.74,18.22,99.73,63.69,0.30,2.33
1400000US06069000801,6069000801,Total,"2006 HW","San Benito County",Hollister,56.83,22.53,104.63,71.84,0.00,0.00
1400000US06069000802,6069000802,Total,"2006 HW","San Benito County",Paicines,56.83,22.53,104.63,71.84,0.00,0.00
