geoid_long,census_tract,time_of_year,socioeconomic_group,census_county,census_city,avg_event_rh_max_perc,avg_event_rh_min_perc,tmax,tmin,hist_avg_annual_events,hist_avg_duration
1400000US06071000103,6071000103,Total,"2006 HW","San Bernardino County","Chino Hills",81.70,30.23,106.28,72.82,0.00,0.00
1400000US06071000103,6071000103,Total,Vulnerable,"San Bernardino County","Chino Hills",60.52,17.59,98.52,61.90,4.60,3.98
1400000US06071000103,6071000103,AM,General,"San Bernardino County","Chino Hills",78.72,25.62,95.53,60.66,0.03,4.00
1400000US06071000103,6071000103,JJA,General,"San Bernardino County","Chino Hills",74.72,32.21,102.06,73.88,0.07,2.50
1400000US06071000103,6071000103,SO,General,"San Bernardino County","Chino Hills",65.92,24.75,101.82,72.96,0.03,4.00
1400000US06071000104,6071000104,Total,"2006 HW","San Bernardino County","Chino Hills",81.70,30.23,106.28,72.82,0.00,0.00
1400000US06071000104,6071000104,Total,Vulnerable,"San Bernardino County","Chino Hills",60.52,17.59,98.52,61.90,4.60,3.98
1400000US06071000104,6071000104,AM,General,"San Bernardino County","Chino Hills",78.72,25.62,95.53,60.66,0.03,4.00
1400000US06071000104,6071000104,JJA,General,"San Bernardino County","Chino Hills",74.72,32.21,102.06,73.88,0.07,2.50
1400000US06071000104,6071000104,SO,General,"San Bernardino County","Chino Hills",65.92,24.75,101.82,72.96,0.03,4.00
1400000US06071000105,6071000105,Total,"2006 HW","San Bernardino County","Chino Hills",81.70,30.23,106.28,72.82,0.00,0.00
1400000US06071000105,6071000105,Total,Vulnerable,"San Bernardino County","Chino Hills",60.52,17.59,98.52,61.90,4.60,3.98
1400000US06071000105,6071000105,AM,General,"San Bernardino County","Chino Hills",78.72,25.62,95.53,60.66,0.03,4.00
1400000US06071000105,6071000105,JJA,General,"San Bernardino County","Chino Hills",74.72,32.21,102.06,73.88,0.07,2.50
1400000US06071000105,6071000105,SO,General,"San Bernardino County","Chino Hills",65.92,24.75,101.82,72.96,0.03,4.00
1400000US06071000107,6071000107,Total,"2006 HW","San Bernardino County","Chino Hills",81.70,30.23,106.28,72.82,0.00,0.00
1400000US06071000107,6071000107,Total,Vulnerable,"San Bernardino County","Chino Hills",60.52,17.59,98.52,61.90,4.60,3.98
1400000US06071000107,6071000107,AM,General,"San Bernardino County","Chino Hills",78.72,25.62,95.53,60.66,0.03,4.00
1400000US06071000107,6071000107,JJA,General,"San Bernardino County","Chino Hills",74.72,32.21,102.06,73.88,0.07,2.50
1400000US06071000107,6071000107,SO,General,"San Bernardino County","Chino Hills",65.92,24.75,101.82,72.96,0.03,4.00
1400000US06071000108,6071000108,Total,"2006 HW","San Bernardino County","Chino Hills",81.70,30.23,106.28,72.82,0.00,0.00
1400000US06071000108,6071000108,Total,Vulnerable,"San Bernardino County","Chino Hills",60.52,17.59,98.52,61.90,4.60,3.98
1400000US06071000108,6071000108,AM,General,"San Bernardino County","Chino Hills",78.72,25.62,95.53,60.66,0.03,4.00
1400000US06071000108,6071000108,JJA,General,"San Bernardino County","Chino Hills",74.72,32.21,102.06,73.88,0.07,2.50
1400000US06071000108,6071000108,SO,General,"San Bernardino County","Chino Hills",65.92,24.75,101.82,72.96,0.03,4.00
