geoid_long,census_tract,time_of_year,socioeconomic_group,census_county,census_city,avg_event_rh_max_perc,avg_event_rh_min_perc,tmax,tmin,hist_avg_annual_events,hist_avg_duration
1400000US06073000100,6073000100,Total,"2006 HW","San Diego County","San Diego",86.34,58.30,90.24,72.44,0.00,0.00
1400000US06073000100,6073000100,Total,Vulnerable,"San Diego County","San Diego",80.20,37.40,88.49,65.77,1.47,3.20
1400000US06073000100,6073000100,AM,General,"San Diego County","San Diego",69.36,25.63,85.65,58.38,0.40,2.92
1400000US06073000100,6073000100,JJA,General,"San Diego County","San Diego",84.83,43.66,86.26,70.42,0.30,5.67
1400000US06073000100,6073000100,SO,General,"San Diego County","San Diego",84.41,43.83,88.37,71.41,0.07,4.50
1400000US06073000201,6073000201,Total,"2006 HW","San Diego County","San Diego",86.34,58.30,90.24,72.44,0.00,0.00
1400000US06073000201,6073000201,Total,Vulnerable,"San Diego County","San Diego",80.20,37.40,88.49,65.77,1.47,3.20
1400000US06073000201,6073000201,AM,General,"San Diego County","San Diego",69.36,25.63,85.65,58.38,0.40,2.92
1400000US06073000201,6073000201,JJA,General,"San Diego County","San Diego",84.83,43.66,86.26,70.42,0.30,5.67
1400000US06073000201,6073000201,SO,General,"San Diego County","San Diego",84.41,43.83,88.37,71.41,0.07,4.50
1400000US06073000202,6073000202,Total,"2006 HW","San Diego County","San Diego",86.34,58.30,90.24,72.44,0.00,0.00
1400000US06073000202,6073000202,Total,Vulnerable,"San Diego County","San Diego",80.20,37.40,88.49,65.77,1.47,3.20
1400000US06073000202,6073000202,AM,General,"San Diego County","San Diego",69.36,25.63,85.65,58.38,0.40,2.92
1400000US06073000202,6073000202,JJA,General,"San Diego County","San Diego",84.83,43.66,86.26,70.42,0.30,5.67
1400000US06073000202,6073000202,SO,General,"San Diego County","San Diego",84.41,43.83,88.37,71.41,0.07,4.50
1400000US06073000300,6073000300,Total,"2006 HW","San Diego County","San Diego",86.34,58.30,90.24,72.44,0.00,0.00
1400000US06073000300,6073000300,Total,Vulnerable,"San Diego County","San Diego",80.20,37.40,88.49,65.77,1.47,3.20
1400000US06073000300,6073000300,AM,General,"San Diego County","San Diego",69.36,25.63,85.65,58.38,0.40,2.92
1400000US06073000300,6073000300,JJA,General,"San Diego County","San Diego",84.83,43.66,86.26,70.42,0.30,5.67
1400000US06073000300,6073000300,SO,General,"San Diego County","San Diego",84.41,43.83,88.37,71.41,0.07,4.50
1400000US06073000400,6073000400,Total,"2006 HW","San Diego County","San Diego",86.34,58.30,90.24,72.44,0.00,0.00
1400000US06073000400,6073000400,Total,Vulnerable,"San Diego County","San Diego",80.20,37.40,88.49,65.77,1.47,3.20
1400000US06073000400,6073000400,AM,General,"San Diego County","San Diego",69.36,25.63,85.65,58.38,0.40,2.92
1400000US06073000400,6073000400,JJA,General,"San Diego County","San Diego",84.83,43.66,86.26,70.42,0.30,5.67
1400000US06073000400,6073000400,SO,General,"San Diego County","San Diego",84.41,43.83,88.37,71.41,0.07,4.50
1400000US06073000500,6073000500,Total,"2006 HW","San Diego County","San Diego",86.34,58.30,90.24,72.44,0.00,0.00
1400000US06073000500,6073000500,Total,Vulnerable,"San Diego County","San Diego",80.20,37.40,88.49,65.77,1.47,3.20
1400000US06073000500,6073000500,AM,General,"San Diego County","San Diego",69.36,25.63,85.65,58.38,0.40,2.92
1400000US06073000500,6073000500,JJA,General,"San Diego County","San Diego",84.83,43.66,86.26,70.42,0.30,5.67
1400000US06073000500,6073000500,SO,General,"San Diego County","San Diego",84.41,43.83,88.37,71.41,0.07,4.50
1400000US06073000600,6073000600,Total,"2006 HW","San Diego County","San Diego",86.34,58.30,90.24,72.44,0.00,0.00
1400000US06073000600,6073000600,Total,Vulnerable,"San Diego County","San Diego",80.20,37.40,88.49,65.77,1.47,3.20
1400000US06073000600,6073000600,AM,General,"San Diego County","San Diego",69.36,25.63,85.65,58.38,0.40,2.92
1400000US06073000600,6073000600,JJA,General,"San Diego County","San Diego",84.83,43.66,86.26,70.42,0.30,5.67
1400000US06073000600,6073000600,SO,General,"San Diego County","San Diego",84.41,43.83,88.37,71.41,0.07,4.50
1400000US06073000700,6073000700,Total,"2006 HW","San Diego County","San Diego",86.34,58.30,90.24,72.44,0.00,0.00
1400000US06073000700,6073000700,Total,Vulnerable,"San Diego County","San Diego",80.20,37.40,88.49,65.77,1.47,3.20
1400000US06073000700,6073000700,AM,General,"San Diego County","San Diego",69.36,25.63,85.65,58.38,0.40,2.92
1400000US06073000700,6073000700,JJA,General,"San Diego County","San Diego",84.83,43.66,86.26,70.42,0.30,5.67
1400000US06073000700,6073000700,SO,General,"San Diego County","San Diego",84.41,43.83,88.37,71.41,0.07,4.50
1400000US06073000800,6073000800,Total,"2006 HW","San Diego County","San Diego",86.34,58.30,90.24,72.44,0.00,0.00
1400000US06073000800,6073000800,Total,Vulnerable,"San Diego County","San Diego",80.20,37.40,88.49,65.77,1.47,3.20
1400000US06073000800,6073000800,AM,General,"San Diego County","San Diego",69.36,25.63,85.65,58.38,0.40,2.92
1400000US06073000800,6073000800,JJA,General,"San Diego County","San Diego",84.83,43.66,86.26,70.42,0.30,5.67
1400000US06073000800,6073000800,SO,General,"San Diego County","San Diego",84.41,43.83,88.37,71.41,0.07,4.50
1400000US06073000900,6073000900,Total,"2006 HW","San Diego County","San Diego",86.34,58.30,90.24,72.44,0.00,0.00
1400000US06073000900,6073000900,Total,Vulnerable,"San Diego County","San Diego",80.20,37.40,88.49,65.77,1.47,3.20
1400000US06073000900,6073000900,AM,General,"San Diego County","San Diego",69.36,25.63,85.65,58.38,0.40,2.92
1400000US06073000900,6073000900,JJA,General,"San Diego County","San Diego",84.83,43.66,86.26,70.42,0.30,5.67
