geoid_long,census_tract,time_of_year,socioeconomic_group,census_county,census_city,avg_event_rh_max_perc,avg_event_rh_min_perc,tmax,tmin,hist_avg_annual_events,hist_avg_duration
1400000US06075010100,6075010100,Total,"2006 HW","San Francisco County","San Francisco",88.62,57.87,83.66,63.00,0.00,0.00
1400000US06075010100,6075010100,Total,Vulnerable,"San Francisco County","San Francisco",83.34,38.33,81.99,59.14,2.23,3.69
1400000US06075010100,6075010100,AM,General,"San Francisco County","San Francisco",75.55,24.48,82.34,57.72,0.33,5.10
1400000US06075010100,6075010100,JJA,General,"San Francisco County","San Francisco",95.80,63.68,73.29,59.55,0.23,4.57
1400000US06075010100,6075010100,SO,General,"San Francisco County","San Francisco",89.71,59.32,71.48,59.39,0.80,3.38
1400000US06075010200,6075010200,SO,General,"San Francisco County","San Francisco",89.71,59.32,71.48,59.39,0.80,3.38
1400000US06075010200,6075010200,JJA,General,"San Francisco County","San Francisco",95.80,63.68,73.29,59.55,0.23,4.57
1400000US06075010200,6075010200,AM,General,"San Francisco County","San Francisco",75.55,24.48,82.34,57.72,0.33,5.10
1400000US06075010200,6075010200,Total,Vulnerable,"San Francisco County","San Francisco",83.34,38.33,81.99,59.14,2.23,3.69
1400000US06075010200,6075010200,Total,"2006 HW","San Francisco County","San Francisco",88.62,57.87,83.66,63.00,0.00,0.00
1400000US06075010300,6075010300,Total,"2006 HW","San Francisco County","San Francisco",88.62,57.87,83.66,63.00,0.00,0.00
1400000US06075010300,6075010300,Total,Vulnerable,"San Francisco County","San Francisco",83.34,38.33,81.99,59.14,2.23,3.69
1400000US06075010300,6075010300,AM,General,"San Francisco County","San Francisco",75.55,24.48,82.34,57.72,0.33,5.10
1400000US06075010300,6075010300,JJA,General,"San Francisco County","San Francisco",95.80,63.68,73.29,59.55,0.23,4.57
1400000US06075010300,6075010300,SO,General,"San Francisco County","San Francisco",89.71,59.32,71.48,59.39,0.80,3.38
1400000US06075010400,6075010400,SO,General,"San Francisco County","San Francisco",89.71,59.32,71.48,59.39,0.80,3.38
1400000US06075010400,6075010400,JJA,General,"San Francisco County","San Francisco",95.80,63.68,73.29,59.55,0.23,4.57
