geoid_long,census_tract,time_of_year,socioeconomic_group,census_county,census_city,avg_event_rh_max_perc,avg_event_rh_min_perc,tmax,tmin,hist_avg_annual_events,hist_avg_duration
1400000US06077000100,6077000100,Total,"2006 HW","San Joaquin County",Stockton,76.79,34.72,111.09,74.38,0.00,0.00
1400000US06077000100,6077000100,Total,Vulnerable,"San Joaquin County",Stockton,75.21,31.67,103.99,65.09,0.47,2.79
1400000US06077000100,6077000100,AM,General,"San Joaquin County",Stockton,77.03,30.97,101.35,62.47,0.17,2.40
1400000US06077000100,6077000100,JJA,General,"San Joaquin County",Stockton,71.86,30.24,103.69,68.58,0.17,4.00
1400000US06077000100,6077000100,SO,General,"San Joaquin County",Stockton,77.87,38.64,87.01,62.92,0.20,5.33
1400000US06077000300,6077000300,SO,General,"San Joaquin County",Stockton,77.87,38.64,87.01,62.92,0.20,5.33
1400000US06077000300,6077000300,JJA,General,"San Joaquin County",Stockton,71.86,30.24,103.69,68.58,0.17,4.00
1400000US06077000300,6077000300,AM,General,"San Joaquin County",Stockton,77.03,30.97,101.35,62.47,0.17,2.40
1400000US06077000300,6077000300,Total,Vulnerable,"San Joaquin County",Stockton,75.21,31.67,103.99,65.09,0.47,2.79
1400000US06077000300,6077000300,Total,"2006 HW","San Joaquin County",Stockton,76.79,34.72,111.09,74.38,0.00,0.00
1400000US06077000401,6077000401,SO,General,"San Joaquin County",Stockton,77.87,38.64,87.01,62.92,0.20,5.33
1400000US06077000401,6077000401,JJA,General,"San Joaquin County",Stockton,71.86,30.24,103.69,68.58,0.17,4.00
1400000US06077000401,6077000401,AM,General,"San Joaquin County",Stockton,77.03,30.97,101.35,62.47,0.17,2.40
1400000US06077000401,6077000401,Total,Vulnerable,"San Joaquin County",Stockton,75.21,31.67,103.99,65.09,0.47,2.79
1400000US06077000401,6077000401,Total,"2006 HW","San Joaquin County",Stockton,76.79,34.72,111.09,74.38,0.00,0.00
1400000US06077000402,6077000402,Total,"2006 HW","San Joaquin County",Stockton,76.79,34.72,111.09,74.38,0.00,0.00
1400000US06077000402,6077000402,Total,Vulnerable,"San Joaquin County",Stockton,75.21,31.67,103.99,65.09,0.47,2.79
1400000US06077000402,6077000402,AM,General,"San Joaquin County",Stockton,77.03,30.97,101.35,62.47,0.17,2.40
1400000US06077000402,6077000402,JJA,General,"San Joaquin County",Stockton,71.86,30.24,103.69,68.58,0.17,4.00
1400000US06077000402,6077000402,SO,General,"San Joaquin County",Stockton,77.87,38.64,87.01,62.92,0.20,5.33
1400000US06077000500,6077000500,SO,General,"San Joaquin County",Stockton,77.87,38.64,87.01,62.92,0.20,5.33
1400000US06077000500,6077000500,JJA,General,"San Joaquin County",Stockton,71.86,30.24,103.69,68.58,0.17,4.00
1400000US06077000500,6077000500,AM,General,"San Joaquin County",Stockton,77.03,30.97,101.35,62.47,0.17,2.40
1400000US06077000500,6077000500,Total,Vulnerable,"San Joaquin County",Stockton,75.21,31.67,103.99,65.09,0.47,2.79
1400000US06077000500,6077000500,Total,"2006 HW","San Joaquin County",Stockton,76.79,34.72,111.09,74.38,0.00,0.00
1400000US06077000600,6077000600,Total,"2006 HW","San Joaquin County",Stockton,76.79,34.72,111.09,74.38,0.00,0.00
1400000US06077000600,6077000600,Total,Vulnerable,"San Joaquin County",Stockton,75.21,31.67,103.99,65.09,0.47,2.79
1400000US06077000600,6077000600,AM,General,"San Joaquin County",Stockton,77.03,30.97,101.35,62.47,0.17,2.40
1400000US06077000600,6077000600,JJA,General,"San Joaquin County",Stockton,71.86,30.24,103.69,68.58,0.17,4.00
1400000US06077000600,6077000600,SO,General,"San Joaquin County",Stockton,77.87,38.64,87.01,62.92,0.20,5.33
1400000US06077000700,6077000700,SO,General,"San Joaquin County",Stockton,77.87,38.64,87.01,62.92,0.20,5.33
1400000US06077000700,6077000700,JJA,General,"San Joaquin County",Stockton,71.86,30.24,103.69,68.58,0.17,4.00
1400000US06077000700,6077000700,AM,General,"San Joaquin County",Stockton,77.03,30.97,101.35,62.47,0.17,2.40
1400000US06077000700,6077000700,Total,Vulnerable,"San Joaquin County",Stockton,75.21,31.67,103.99,65.09,0.47,2.79
1400000US06077000700,6077000700,Total,"2006 HW","San Joaquin County",Stockton,76.79,34.72,111.09,74.38,0.00,0.00
1400000US06077000801,6077000801,Total,"2006 HW","San Joaquin County",Stockton,76.79,34.72,111.09,74.38,0.00,0.00
1400000US06077000801,6077000801,Total,Vulnerable,"San Joaquin County",Stockton,75.21,31.67,103.99,65.09,0.47,2.79
1400000US06077000801,6077000801,AM,General,"San Joaquin County",Stockton,77.03,30.97,101.35,62.47,0.17,2.40
1400000US06077000801,6077000801,JJA,General,"San Joaquin County",Stockton,71.86,30.24,103.69,68.58,0.17,4.00
1400000US06077000801,6077000801,SO,General,"San Joaquin County",Stockton,77.87,38.64,87.01,62.92,0.20,5.33
1400000US06077000900,6077000900,SO,General,"San Joaquin County",Stockton,77.87,38.64,87.01,62.92,0.20,5.33
1400000US06077000900,6077000900,JJA,General,"San Joaquin County",Stockton,71.86,30.24,103.69,68.58,0.17,4.00
1400000US06077000900,6077000900,AM,General,"San Joaquin County",Stockton,77.03,30.97,101.35,62.47,0.17,2.40
1400000US06077000900,6077000900,Total,Vulnerable,"San Joaquin County",Stockton,75.21,31.67,103.99,65.09,0.47,2.79
1400000US06077000900,6077000900,Total,"2006 HW","San Joaquin County",Stockton,76.79,34.72,111.09,74.38,0.00,0.00
1400000US06077001000,6077001000,Total,"2006 HW","San Joaquin County",Stockton,76.79,34.72,111.09,74.38,0.00,0.00
1400000US06077001000,6077001000,Total,Vulnerable,"San Joaquin County",Stockton,75.21,31.67,103.99,65.09,0.47,2.79
1400000US06077001000,6077001000,AM,General,"San Joaquin County",Stockton,77.03,30.97,101.35,62.47,0.17,2.40
1400000US06077001000,6077001000,JJA,General,"San Joaquin County",Stockton,71.86,30.24,103.69,68.58,0.17,4.00
1400000US06077001000,6077001000,SO,General,"San Joaquin County",Stockton,77.87,38.64,87.01,62.92,0.20,5.33
1400000US06077001101,6077001101,SO,General,"San Joaquin County",Stockton,77.87,38.64,87.01,62.92,0.20,5.33
1400000US06077001101,6077001101,JJA,General,"San Joaquin County",Stockton,71.86,30.24,103.69,68.58,0.17,4.00
1400000US06077001101,6077001101,AM,General,"San Joaquin County",Stockton,77.03,30.97,101.35,62.47,0.17,2.40
1400000US06077001101,6077001101,Total,Vulnerable,"San Joaquin County",Stockton,75.21,31.67,103.99,65.09,0.47,2.79
1400000US06077001101,6077001101,Total,"2006 HW","San Joaquin County",Stockton,76.79,34.72,111.09,74.38,0.00,0.00
1400000US06077001102,6077001102,SO,General,"San Joaquin County",Stockton,77.87,38.64,87.01,62.92,0.20,5.33
1400000US06077001102,6077001102,JJA,General,"San Joaquin County",Stockton,71.86,30.24,103.69,68.58,0.17,4.00
1400000US06077001102,6077001102,AM,General,"San Joaquin County",Stockton,77.03,30.97,101.35,62.47,0.17,2.40
1400000US06077001102,6077001102,Total,Vulnerable,"San Joaquin County",Stockton,75.21,31.67,103.99,65.09,0.47,2.79
1400000US06077001102,6077001102,Total,"2006 HW","San Joaquin County",Stockton,76.79,34.72,111.09,74.38,0.00,0.00
1400000US06077001200,6077001200,Total,"2006 HW","San Joaquin County",Stockton,76.79,34.72,111.09,74.38,0.00,0.00
1400000US06077001200,6077001200,Total,Vulnerable,"San Joaquin County",Stockton,75.21,31.67,103.99,65.09,0.47,2.79
1400000US06077001200,6077001200,AM,General,"San Joaquin County",Stockton,77.03,30.97,101.35,62.47,0.17,2.40
1400000US06077001200,6077001200,JJA,General,"San Joaquin County",Stockton,71.86,30.24,103.69,68.58,0.17,4.00
1400000US06077001200,6077001200,SO,General,"San Joaquin County",Stockton,77.87,38.64,87.01,62.92,0.20,5.33
1400000US06077001300,6077001300,SO,General,"San Joaquin County",Stockton,77.87,38.64,87.01,62.92,0.20,5.33
1400000US06077001300,6077001300,JJA,General,"San Joaquin County",Stockton,71.86,30.24,103.69,68.58,0.17,4.00
1400000US06077001300,6077001300,AM,General,"San Joaquin County",Stockton,77.03,30.97,101.35,62.47,0.17,2.40
1400000US06077001300,6077001300,Total,Vulnerable,"San Joaquin County",Stockton,75.21,31.67,103.99,65.09,0.47,2.79
1400000US06077001300,6077001300,Total,"2006 HW","San Joaquin County",Stockton,76.79,34.72,111.09,74.38,0.00,0.00
1400000US06077001400,6077001400,Total,"2006 HW","San Joaquin County",Stockton,76.79,34.72,111.09,74.38,0.00,0.00
1400000US06077001400,6077001400,Total,Vulnerable,"San Joaquin County",Stockton,75.21,31.67,103.99,65.09,0.47,2.79
