geoid_long,census_tract,time_of_year,socioeconomic_group,census_county,census_city,avg_event_rh_max_perc,avg_event_rh_min_perc,tmax,tmin,hist_avg_annual_events,hist_avg_duration
1400000US06079010002,6079010002,Total,"2006 HW","San Luis Obispo County","Paso Robles",64.39,16.38,109.11,67.06,0.00,0.00
1400000US06079010002,6079010002,Total,Vulnerable,"San Luis Obispo County","Paso Robles",55.39,13.81,106.45,62.37,0.07,4.00
1400000US06079010002,6079010002,AM,General,"San Luis Obispo County","Paso Robles",67.76,15.28,97.76,54.45,0.20,5.83
1400000US06079010002,6079010002,JJA,General,"San Luis Obispo County","Paso Robles",57.01,15.65,106.51,63.64,0.57,3.65
1400000US06079010002,6079010002,SO,General,"San Luis Obispo County","Paso Robles",59.46,15.63,101.11,60.35,0.07,2.50
1400000US06079010016,6079010016,SO,General,"San Luis Obispo County","Paso Robles",67.41,25.73,96.64,62.86,0.30,2.67
1400000US06079010016,6079010016,JJA,General,"San Luis Obispo County","Paso Robles",49.22,12.52,104.84,62.00,0.60,3.83
1400000US06079010016,6079010016,AM,General,"San Luis Obispo County","Paso Robles",67.01,14.92,99.39,56.38,0.20,6.33
1400000US06079010016,6079010016,Total,Vulnerable,"San Luis Obispo County","Paso Robles",49.61,10.95,103.05,60.60,1.30,4.46
1400000US06079010016,6079010016,Total,"2006 HW","San Luis Obispo County","Paso Robles",63.08,15.16,111.22,69.46,0.00,0.00
1400000US06079010101,6079010101,Total,"2006 HW","San Luis Obispo County","Paso Robles",64.39,16.38,109.11,67.06,0.00,0.00
1400000US06079010101,6079010101,Total,Vulnerable,"San Luis Obispo County","Paso Robles",55.39,13.81,106.45,62.37,0.07,4.00
1400000US06079010101,6079010101,AM,General,"San Luis Obispo County","Paso Robles",67.76,15.28,97.76,54.45,0.20,5.83
1400000US06079010101,6079010101,JJA,General,"San Luis Obispo County","Paso Robles",57.01,15.65,106.51,63.64,0.57,3.65
1400000US06079010101,6079010101,SO,General,"San Luis Obispo County","Paso Robles",59.46,15.63,101.11,60.35,0.07,2.50
1400000US06079010102,6079010102,SO,General,"San Luis Obispo County","Paso Robles",59.46,15.63,101.11,60.35,0.07,2.50
1400000US06079010102,6079010102,JJA,General,"San Luis Obispo County","Paso Robles",57.01,15.65,106.51,63.64,0.57,3.65
1400000US06079010102,6079010102,AM,General,"San Luis Obispo County","Paso Robles",67.76,15.28,97.76,54.45,0.20,5.83
1400000US06079010102,6079010102,Total,Vulnerable,"San Luis Obispo County","Paso Robles",55.39,13.81,106.45,62.37,0.07,4.00
1400000US06079010102,6079010102,Total,"2006 HW","San Luis Obispo County","Paso Robles",64.39,16.38,109.11,67.06,0.00,0.00
1400000US06079010201,6079010201,Total,"2006 HW","San Luis Obispo County","Paso Robles",64.39,16.38,109.11,67.06,0.00,0.00
1400000US06079010201,6079010201,Total,Vulnerable,"San Luis Obispo County","Paso Robles",55.39,13.81,106.45,62.37,0.07,4.00
1400000US06079010201,6079010201,AM,General,"San Luis Obispo County","Paso Robles",67.76,15.28,97.76,54.45,0.20,5.83
1400000US06079010201,6079010201,JJA,General,"San Luis Obispo County","Paso Robles",57.01,15.65,106.51,63.64,0.57,3.65
1400000US06079010201,6079010201,SO,General,"San Luis Obispo County","Paso Robles",59.46,15.63,101.11,60.35,0.07,2.50
1400000US06079010202,6079010202,SO,General,"San Luis Obispo County","Paso Robles",59.46,15.63,101.11,60.35,0.07,2.50
1400000US06079010202,6079010202,JJA,General,"San Luis Obispo County","Paso Robles",57.01,15.65,106.51,63.64,0.57,3.65
1400000US06079010202,6079010202,AM,General,"San Luis Obispo County","Paso Robles",67.76,15.28,97.76,54.45,0.20,5.83
1400000US06079010202,6079010202,Total,Vulnerable,"San Luis Obispo County","Paso Robles",55.39,13.81,106.45,62.37,0.07,4.00
1400000US06079010202,6079010202,Total,"2006 HW","San Luis Obispo County","Paso Robles",64.39,16.38,109.11,67.06,0.00,0.00
1400000US06079010204,6079010204,SO,General,"San Luis Obispo County","Paso Robles",59.46,15.63,101.11,60.35,0.07,2.50
1400000US06079010204,6079010204,JJA,General,"San Luis Obispo County","Paso Robles",57.01,15.65,106.51,63.64,0.57,3.65
1400000US06079010204,6079010204,AM,General,"San Luis Obispo County","Paso Robles",67.76,15.28,97.76,54.45,0.20,5.83
1400000US06079010204,6079010204,Total,Vulnerable,"San Luis Obispo County","Paso Robles",55.39,13.81,106.45,62.37,0.07,4.00
1400000US06079010204,6079010204,Total,"2006 HW","San Luis Obispo County","Paso Robles",64.39,16.38,109.11,67.06,0.00,0.00
1400000US06079010205,6079010205,Total,"2006 HW","San Luis Obispo County","Paso Robles",64.39,16.38,109.11,67.06,0.00,0.00
1400000US06079010205,6079010205,Total,Vulnerable,"San Luis Obispo County","Paso Robles",55.39,13.81,106.45,62.37,0.07,4.00
1400000US06079010205,6079010205,AM,General,"San Luis Obispo County","Paso Robles",67.76,15.28,97.76,54.45,0.20,5.83
1400000US06079010205,6079010205,JJA,General,"San Luis Obispo County","Paso Robles",57.01,15.65,106.51,63.64,0.57,3.65
1400000US06079010205,6079010205,SO,General,"San Luis Obispo County","Paso Robles",59.46,15.63,101.11,60.35,0.07,2.50
1400000US06079010300,6079010300,SO,General,"San Luis Obispo County",Shandon,59.46,15.63,101.11,60.35,0.07,2.50
1400000US06079010300,6079010300,JJA,General,"San Luis Obispo County",Shandon,57.01,15.65,106.51,63.64,0.57,3.65
1400000US06079010300,6079010300,AM,General,"San Luis Obispo County",Shandon,67.76,15.28,97.76,54.45,0.20,5.83
1400000US06079010300,6079010300,Total,Vulnerable,"San Luis Obispo County",Shandon,55.39,13.81,106.45,62.37,0.07,4.00
1400000US06079010300,6079010300,Total,"2006 HW","San Luis Obispo County",Shandon,64.39,16.38,109.11,67.06,0.00,0.00
1400000US06079010403,6079010403,Total,"2006 HW","San Luis Obispo County",Cambria,70.34,37.68,95.47,69.87,0.00,0.00
