geoid_long,census_tract,time_of_year,socioeconomic_group,census_county,census_city,avg_event_rh_max_perc,avg_event_rh_min_perc,tmax,tmin,hist_avg_annual_events,hist_avg_duration
1400000US06081600100,6081600100,Total,"2006 HW","San Mateo County",Brisbane,92.98,50.05,78.90,60.07,0.00,0.00
1400000US06081600100,6081600100,Total,Vulnerable,"San Mateo County",Brisbane,93.70,55.33,76.21,58.29,3.23,3.31
1400000US06081600100,6081600100,AM,General,"San Mateo County",Brisbane,87.88,36.46,79.47,50.37,0.17,4.60
1400000US06081600100,6081600100,JJA,General,"San Mateo County",Brisbane,98.96,54.38,76.24,57.26,0.40,2.83
1400000US06081600100,6081600100,SO,General,"San Mateo County",Brisbane,91.75,46.41,74.92,56.77,0.13,4.25
1400000US06081600200,6081600200,SO,General,"San Mateo County","Daly City",80.27,42.42,78.00,59.13,0.23,4.86
1400000US06081600200,6081600200,JJA,General,"San Mateo County","Daly City",90.11,54.63,76.10,58.78,0.27,3.38
1400000US06081600200,6081600200,AM,General,"San Mateo County","Daly City",61.02,14.14,84.81,58.36,0.37,2.64
1400000US06081600200,6081600200,Total,Vulnerable,"San Mateo County","Daly City",70.77,29.04,88.05,63.75,0.17,2.00
1400000US06081600200,6081600200,Total,"2006 HW","San Mateo County","Daly City",84.91,48.71,84.02,62.61,0.00,0.00
1400000US06081600300,6081600300,SO,General,"San Mateo County","Daly City",80.27,42.42,78.00,59.13,0.23,4.86
1400000US06081600300,6081600300,JJA,General,"San Mateo County","Daly City",90.11,54.63,76.10,58.78,0.27,3.38
1400000US06081600300,6081600300,AM,General,"San Mateo County","Daly City",61.02,14.14,84.81,58.36,0.37,2.64
1400000US06081600300,6081600300,Total,Vulnerable,"San Mateo County","Daly City",70.77,29.04,88.05,63.75,0.17,2.00
1400000US06081600300,6081600300,Total,"2006 HW","San Mateo County","Daly City",84.91,48.71,84.02,62.61,0.00,0.00
1400000US06081600401,6081600401,Total,"2006 HW","San Mateo County","Daly City",84.91,48.71,84.02,62.61,0.00,0.00
1400000US06081600401,6081600401,Total,Vulnerable,"San Mateo County","Daly City",70.77,29.04,88.05,63.75,0.17,2.00
1400000US06081600401,6081600401,AM,General,"San Mateo County","Daly City",61.02,14.14,84.81,58.36,0.37,2.64
1400000US06081600401,6081600401,JJA,General,"San Mateo County","Daly City",90.11,54.63,76.10,58.78,0.27,3.38
1400000US06081600401,6081600401,SO,General,"San Mateo County","Daly City",80.27,42.42,78.00,59.13,0.23,4.86
1400000US06081600402,6081600402,SO,General,"San Mateo County","Daly City",80.27,42.42,78.00,59.13,0.23,4.86
1400000US06081600402,6081600402,JJA,General,"San Mateo County","Daly City",90.11,54.63,76.10,58.78,0.27,3.38
1400000US06081600402,6081600402,AM,General,"San Mateo County","Daly City",61.02,14.14,84.81,58.36,0.37,2.64
1400000US06081600402,6081600402,Total,Vulnerable,"San Mateo County","Daly City",70.77,29.04,88.05,63.75,0.17,2.00
1400000US06081600402,6081600402,Total,"2006 HW","San Mateo County","Daly City",84.91,48.71,84.02,62.61,0.00,0.00
1400000US06081600500,6081600500,Total,"2006 HW","San Mateo County","Daly City",84.91,48.71,84.02,62.61,0.00,0.00
1400000US06081600500,6081600500,Total,Vulnerable,"San Mateo County","Daly City",70.77,29.04,88.05,63.75,0.17,2.00
1400000US06081600500,6081600500,AM,General,"San Mateo County","Daly City",61.02,14.14,84.81,58.36,0.37,2.64
1400000US06081600500,6081600500,JJA,General,"San Mateo County","Daly City",90.11,54.63,76.10,58.78,0.27,3.38
1400000US06081600500,6081600500,SO,General,"San Mateo County","Daly City",80.27,42.42,78.00,59.13,0.23,4.86
1400000US06081600600,6081600600,SO,General,"San Mateo County","Daly City",80.27,42.42,78.00,59.13,0.23,4.86
1400000US06081600600,6081600600,JJA,General,"San Mateo County","Daly City",90.11,54.63,76.10,58.78,0.27,3.38
1400000US06081600600,6081600600,AM,General,"San Mateo County","Daly City",61.02,14.14,84.81,58.36,0.37,2.64
1400000US06081600600,6081600600,Total,Vulnerable,"San Mateo County","Daly City",70.77,29.04,88.05,63.75,0.17,2.00
1400000US06081600600,6081600600,Total,"2006 HW","San Mateo County","Daly City",84.91,48.71,84.02,62.61,0.00,0.00
1400000US06081600700,6081600700,SO,General,"San Mateo County","Daly City",80.27,42.42,78.00,59.13,0.23,4.86
1400000US06081600700,6081600700,JJA,General,"San Mateo County","Daly City",90.11,54.63,76.10,58.78,0.27,3.38
1400000US06081600700,6081600700,AM,General,"San Mateo County","Daly City",61.02,14.14,84.81,58.36,0.37,2.64
1400000US06081600700,6081600700,Total,Vulnerable,"San Mateo County","Daly City",70.77,29.04,88.05,63.75,0.17,2.00
1400000US06081600700,6081600700,Total,"2006 HW","San Mateo County","Daly City",84.91,48.71,84.02,62.61,0.00,0.00
1400000US06081600800,6081600800,Total,"2006 HW","San Mateo County","Daly City",84.91,48.71,84.02,62.61,0.00,0.00
1400000US06081600800,6081600800,Total,Vulnerable,"San Mateo County","Daly City",70.77,29.04,88.05,63.75,0.17,2.00
1400000US06081600800,6081600800,AM,General,"San Mateo County","Daly City",61.02,14.14,84.81,58.36,0.37,2.64
1400000US06081600800,6081600800,JJA,General,"San Mateo County","Daly City",90.11,54.63,76.10,58.78,0.27,3.38
1400000US06081600800,6081600800,SO,General,"San Mateo County","Daly City",80.27,42.42,78.00,59.13,0.23,4.86
1400000US06081600900,6081600900,SO,General,"San Mateo County","Daly City",80.27,42.42,78.00,59.13,0.23,4.86
1400000US06081600900,6081600900,JJA,General,"San Mateo County","Daly City",90.11,54.63,76.10,58.78,0.27,3.38
1400000US06081600900,6081600900,AM,General,"San Mateo County","Daly City",61.02,14.14,84.81,58.36,0.37,2.64
1400000US06081600900,6081600900,Total,Vulnerable,"San Mateo County","Daly City",70.77,29.04,88.05,63.75,0.17,2.00
1400000US06081600900,6081600900,Total,"2006 HW","San Mateo County","Daly City",84.91,48.71,84.02,62.61,0.00,0.00
1400000US06081601000,6081601000,Total,"2006 HW","San Mateo County","Daly City",84.91,48.71,84.02,62.61,0.00,0.00
1400000US06081601000,6081601000,Total,Vulnerable,"San Mateo County","Daly City",70.77,29.04,88.05,63.75,0.17,2.00
1400000US06081601000,6081601000,AM,General,"San Mateo County","Daly City",61.02,14.14,84.81,58.36,0.37,2.64
1400000US06081601000,6081601000,JJA,General,"San Mateo County","Daly City",90.11,54.63,76.10,58.78,0.27,3.38
1400000US06081601000,6081601000,SO,General,"San Mateo County","Daly City",80.27,42.42,78.00,59.13,0.23,4.86
1400000US06081601100,6081601100,SO,General,"San Mateo County","Daly City",80.27,42.42,78.00,59.13,0.23,4.86
1400000US06081601100,6081601100,JJA,General,"San Mateo County","Daly City",90.11,54.63,76.10,58.78,0.27,3.38
1400000US06081601100,6081601100,AM,General,"San Mateo County","Daly City",61.02,14.14,84.81,58.36,0.37,2.64
1400000US06081601100,6081601100,Total,Vulnerable,"San Mateo County","Daly City",70.77,29.04,88.05,63.75,0.17,2.00
1400000US06081601100,6081601100,Total,"2006 HW","San Mateo County","Daly City",84.91,48.71,84.02,62.61,0.00,0.00
1400000US06081601200,6081601200,SO,General,"San Mateo County","Daly City",80.27,42.42,78.00,59.13,0.23,4.86
1400000US06081601200,6081601200,JJA,General,"San Mateo County","Daly City",90.11,54.63,76.10,58.78,0.27,3.38
1400000US06081601200,6081601200,AM,General,"San Mateo County","Daly City",61.02,14.14,84.81,58.36,0.37,2.64
1400000US06081601200,6081601200,Total,Vulnerable,"San Mateo County","Daly City",70.77,29.04,88.05,63.75,0.17,2.00
1400000US06081601200,6081601200,Total,"2006 HW","San Mateo County","Daly City",84.91,48.71,84.02,62.61,0.00,0.00
1400000US06081601300,6081601300,Total,"2006 HW","San Mateo County","Daly City",84.91,48.71,84.02,62.61,0.00,0.00
