geoid_long,census_tract,time_of_year,socioeconomic_group,census_county,census_city,avg_event_rh_max_perc,avg_event_rh_min_perc,tmax,tmin,hist_avg_annual_events,hist_avg_duration
1400000US06083000101,6083000101,Total,"2006 HW","Santa Barbara County","Santa Barbara",62.09,26.82,101.12,69.51,0.00,0.00
1400000US06083000101,6083000101,Total,Vulnerable,"Santa Barbara County","Santa Barbara",52.53,20.25,97.52,63.34,0.13,3.50
1400000US06083000101,6083000101,AM,General,"Santa Barbara County","Santa Barbara",68.51,26.80,87.54,55.28,0.60,4.44
1400000US06083000101,6083000101,JJA,General,"Santa Barbara County","Santa Barbara",68.06,26.95,93.64,65.31,0.37,4.09
1400000US06083000101,6083000101,SO,General,"Santa Barbara County","Santa Barbara",56.14,23.46,95.74,65.21,0.07,3.00
1400000US06083000102,6083000102,SO,General,"Santa Barbara County","Santa Barbara",56.14,23.46,95.74,65.21,0.07,3.00
1400000US06083000102,6083000102,JJA,General,"Santa Barbara County","Santa Barbara",68.06,26.95,93.64,65.31,0.37,4.09
1400000US06083000102,6083000102,AM,General,"Santa Barbara County","Santa Barbara",68.51,26.80,87.54,55.28,0.60,4.44
1400000US06083000102,6083000102,Total,Vulnerable,"Santa Barbara County","Santa Barbara",52.53,20.25,97.52,63.34,0.13,3.50
1400000US06083000102,6083000102,Total,"2006 HW","Santa Barbara County","Santa Barbara",62.09,26.82,101.12,69.51,0.00,0.00
1400000US06083000103,6083000103,SO,General,"Santa Barbara County","Santa Barbara",56.14,23.46,95.74,65.21,0.07,3.00
1400000US06083000103,6083000103,JJA,General,"Santa Barbara County","Santa Barbara",68.06,26.95,93.64,65.31,0.37,4.09
1400000US06083000103,6083000103,AM,General,"Santa Barbara County","Santa Barbara",68.51,26.80,87.54,55.28,0.60,4.44
1400000US06083000103,6083000103,Total,Vulnerable,"Santa Barbara County","Santa Barbara",52.53,20.25,97.52,63.34,0.13,3.50
1400000US06083000103,6083000103,Total,"2006 HW","Santa Barbara County","Santa Barbara",62.09,26.82,101.12,69.51,0.00,0.00
1400000US06083000200,6083000200,Total,"2006 HW","Santa Barbara County","Santa Barbara",62.09,26.82,101.12,69.51,0.00,0.00
1400000US06083000200,6083000200,Total,Vulnerable,"Santa Barbara County","Santa Barbara",52.53,20.25,97.52,63.34,0.13,3.50
1400000US06083000200,6083000200,AM,General,"Santa Barbara County","Santa Barbara",68.51,26.80,87.54,55.28,0.60,4.44
1400000US06083000200,6083000200,JJA,General,"Santa Barbara County","Santa Barbara",68.06,26.95,93.64,65.31,0.37,4.09
1400000US06083000200,6083000200,SO,General,"Santa Barbara County","Santa Barbara",56.14,23.46,95.74,65.21,0.07,3.00
1400000US06083000301,6083000301,SO,General,"Santa Barbara County","Santa Barbara",92.94,50.94,82.36,62.75,0.13,5.50
1400000US06083000301,6083000301,JJA,General,"Santa Barbara County","Santa Barbara",92.51,52.95,82.36,65.06,0.10,4.33
1400000US06083000301,6083000301,AM,General,"Santa Barbara County","Santa Barbara",76.59,25.22,84.62,57.76,0.53,2.69
1400000US06083000301,6083000301,Total,Vulnerable,"Santa Barbara County","Santa Barbara",87.90,54.56,77.02,59.03,4.00,4.78
1400000US06083000301,6083000301,Total,"2006 HW","Santa Barbara County","Santa Barbara",87.19,61.89,89.00,66.43,0.00,0.00
1400000US06083000302,6083000302,SO,General,"Santa Barbara County","Santa Barbara",56.14,23.46,95.74,65.21,0.07,3.00
1400000US06083000302,6083000302,JJA,General,"Santa Barbara County","Santa Barbara",68.06,26.95,93.64,65.31,0.37,4.09
1400000US06083000302,6083000302,AM,General,"Santa Barbara County","Santa Barbara",68.51,26.80,87.54,55.28,0.60,4.44
1400000US06083000302,6083000302,Total,Vulnerable,"Santa Barbara County","Santa Barbara",52.53,20.25,97.52,63.34,0.13,3.50
1400000US06083000302,6083000302,Total,"2006 HW","Santa Barbara County","Santa Barbara",62.09,26.82,101.12,69.51,0.00,0.00
1400000US06083000400,6083000400,Total,"2006 HW","Santa Barbara County","Santa Barbara",87.19,61.89,89.00,66.43,0.00,0.00
1400000US06083000400,6083000400,Total,Vulnerable,"Santa Barbara County","Santa Barbara",87.90,54.56,77.02,59.03,4.00,4.78
1400000US06083000400,6083000400,AM,General,"Santa Barbara County","Santa Barbara",76.59,25.22,84.62,57.76,0.53,2.69
