geoid_long,census_tract,time_of_year,socioeconomic_group,census_county,census_city,avg_event_rh_max_perc,avg_event_rh_min_perc,tmax,tmin,hist_avg_annual_events,hist_avg_duration
1400000US06085500100,6085500100,Total,"2006 HW","Santa Clara County","San Jose",58.53,24.94,101.92,72.93,0.00,0.00
1400000US06085500100,6085500100,Total,Vulnerable,"Santa Clara County","San Jose",58.68,21.90,95.80,64.83,0.80,2.42
1400000US06085500100,6085500100,AM,General,"Santa Clara County","San Jose",56.23,18.43,90.45,59.59,0.10,4.00
1400000US06085500100,6085500100,JJA,General,"Santa Clara County","San Jose",65.62,27.00,94.88,68.35,0.13,3.00
1400000US06085500100,6085500100,SO,General,"Santa Clara County","San Jose",57.59,22.04,92.61,61.91,0.17,4.80
1400000US06085500200,6085500200,Total,"2006 HW","Santa Clara County","San Jose",58.53,24.94,101.92,72.93,0.00,0.00
1400000US06085500200,6085500200,Total,Vulnerable,"Santa Clara County","San Jose",58.68,21.90,95.80,64.83,0.80,2.42
1400000US06085500200,6085500200,AM,General,"Santa Clara County","San Jose",56.23,18.43,90.45,59.59,0.10,4.00
1400000US06085500200,6085500200,JJA,General,"Santa Clara County","San Jose",65.62,27.00,94.88,68.35,0.13,3.00
1400000US06085500200,6085500200,SO,General,"Santa Clara County","San Jose",57.59,22.04,92.61,61.91,0.17,4.80
1400000US06085500300,6085500300,Total,"2006 HW","Santa Clara County","San Jose",40.56,18.84,104.94,74.03,0.00,0.00
1400000US06085500300,6085500300,Total,Vulnerable,"Santa Clara County","San Jose",47.00,20.76,94.49,64.15,2.90,3.17
1400000US06085500300,6085500300,AM,General,"Santa Clara County","San Jose",46.88,16.67,88.49,58.39,0.13,3.75
1400000US06085500300,6085500300,JJA,General,"Santa Clara County","San Jose",47.70,21.25,97.35,68.43,0.50,2.47
1400000US06085500300,6085500300,SO,General,"Santa Clara County","San Jose",42.64,21.03,92.50,62.34,0.17,4.40
1400000US06085500400,6085500400,Total,"2006 HW","Santa Clara County","San Jose",40.56,18.84,104.94,74.03,0.00,0.00
1400000US06085500400,6085500400,Total,Vulnerable,"Santa Clara County","San Jose",47.00,20.76,94.49,64.15,2.90,3.17
1400000US06085500400,6085500400,AM,General,"Santa Clara County","San Jose",46.88,16.67,88.49,58.39,0.13,3.75
1400000US06085500400,6085500400,JJA,General,"Santa Clara County","San Jose",47.70,21.25,97.35,68.43,0.50,2.47
1400000US06085500400,6085500400,SO,General,"Santa Clara County","San Jose",42.64,21.03,92.50,62.34,0.17,4.40
1400000US06085500500,6085500500,Total,"2006 HW","Santa Clara County","San Jose",40.56,18.84,104.94,74.03,0.00,0.00
1400000US06085500500,6085500500,Total,Vulnerable,"Santa Clara County","San Jose",47.00,20.76,94.49,64.15,2.90,3.17
1400000US06085500500,6085500500,AM,General,"Santa Clara County","San Jose",46.88,16.67,88.49,58.39,0.13,3.75
1400000US06085500500,6085500500,JJA,General,"Santa Clara County","San Jose",47.70,21.25,97.35,68.43,0.50,2.47
1400000US06085500500,6085500500,SO,General,"Santa Clara County","San Jose",42.64,21.03,92.50,62.34,0.17,4.40
1400000US06085500600,6085500600,Total,"2006 HW","Santa Clara County","San Jose",40.56,18.84,104.94,74.03,0.00,0.00
1400000US06085500600,6085500600,Total,Vulnerable,"Santa Clara County","San Jose",47.00,20.76,94.49,64.15,2.90,3.17
1400000US06085500600,6085500600,AM,General,"Santa Clara County","San Jose",46.88,16.67,88.49,58.39,0.13,3.75
1400000US06085500600,6085500600,JJA,General,"Santa Clara County","San Jose",47.70,21.25,97.35,68.43,0.50,2.47
1400000US06085500600,6085500600,SO,General,"Santa Clara County","San Jose",42.64,21.03,92.50,62.34,0.17,4.40
1400000US06085500800,6085500800,Total,"2006 HW","Santa Clara County","San Jose",58.53,24.94,101.92,72.93,0.00,0.00
1400000US06085500800,6085500800,Total,Vulnerable,"Santa Clara County","San Jose",58.68,21.90,95.80,64.83,0.80,2.42
1400000US06085500800,6085500800,AM,General,"Santa Clara County","San Jose",56.23,18.43,90.45,59.59,0.10,4.00
