geoid_long,census_tract,time_of_year,socioeconomic_group,census_county,census_city,avg_event_rh_max_perc,avg_event_rh_min_perc,tmax,tmin,hist_avg_annual_events,hist_avg_duration
1400000US06087100100,6087100100,Total,"2006 HW","Santa Cruz County","Santa Cruz",86.19,44.90,91.36,62.90,0.00,0.00
1400000US06087100100,6087100100,Total,Vulnerable,"Santa Cruz County","Santa Cruz",0.00,0.00,0.00,0.00,0.00,0.00
1400000US06087100100,6087100100,AM,General,"Santa Cruz County","Santa Cruz",79.69,39.06,91.53,59.84,0.03,3.00
1400000US06087100100,6087100100,JJA,General,"Santa Cruz County","Santa Cruz",95.53,61.96,76.33,56.90,0.53,3.69
1400000US06087100100,6087100100,SO,General,"Santa Cruz County","Santa Cruz",68.03,13.20,96.35,59.67,0.23,2.29
1400000US06087100200,6087100200,SO,General,"Santa Cruz County","Santa Cruz",67.56,27.55,91.04,60.29,0.27,2.50
1400000US06087100200,6087100200,JJA,General,"Santa Cruz County","Santa Cruz",77.02,40.11,86.89,64.45,0.13,3.25
1400000US06087100200,6087100200,AM,General,"Santa Cruz County","Santa Cruz",65.87,27.14,86.84,57.73,0.40,2.58
1400000US06087100200,6087100200,Total,Vulnerable,"Santa Cruz County","Santa Cruz",0.00,0.00,0.00,0.00,0.00,0.00
1400000US06087100200,6087100200,Total,"2006 HW","Santa Cruz County","Santa Cruz",67.03,29.97,95.16,67.04,0.00,0.00
1400000US06087100300,6087100300,Total,"2006 HW","Santa Cruz County","Santa Cruz",67.03,29.97,95.16,67.04,0.00,0.00
1400000US06087100300,6087100300,Total,Vulnerable,"Santa Cruz County","Santa Cruz",0.00,0.00,0.00,0.00,0.00,0.00
1400000US06087100300,6087100300,AM,General,"Santa Cruz County","Santa Cruz",65.87,27.14,86.84,57.73,0.40,2.58
1400000US06087100300,6087100300,JJA,General,"Santa Cruz County","Santa Cruz",77.02,40.11,86.89,64.45,0.13,3.25
1400000US06087100300,6087100300,SO,General,"Santa Cruz County","Santa Cruz",67.56,27.55,91.04,60.29,0.27,2.50
1400000US06087100400,6087100400,SO,General,"Santa Cruz County","Santa Cruz",68.03,13.20,96.35,59.67,0.23,2.29
1400000US06087100400,6087100400,JJA,General,"Santa Cruz County","Santa Cruz",95.53,61.96,76.33,56.90,0.53,3.69
1400000US06087100400,6087100400,AM,General,"Santa Cruz County","Santa Cruz",79.69,39.06,91.53,59.84,0.03,3.00
1400000US06087100400,6087100400,Total,Vulnerable,"Santa Cruz County","Santa Cruz",0.00,0.00,0.00,0.00,0.00,0.00
1400000US06087100400,6087100400,Total,"2006 HW","Santa Cruz County","Santa Cruz",86.19,44.90,91.36,62.90,0.00,0.00
1400000US06087100500,6087100500,Total,"2006 HW","Santa Cruz County","Santa Cruz",67.03,29.97,95.16,67.04,0.00,0.00
1400000US06087100500,6087100500,Total,Vulnerable,"Santa Cruz County","Santa Cruz",0.00,0.00,0.00,0.00,0.00,0.00
1400000US06087100500,6087100500,AM,General,"Santa Cruz County","Santa Cruz",65.87,27.14,86.84,57.73,0.40,2.58
1400000US06087100500,6087100500,JJA,General,"Santa Cruz County","Santa Cruz",77.02,40.11,86.89,64.45,0.13,3.25
1400000US06087100500,6087100500,SO,General,"Santa Cruz County","Santa Cruz",67.56,27.55,91.04,60.29,0.27,2.50
1400000US06087100600,6087100600,SO,General,"Santa Cruz County","Santa Cruz",67.56,27.55,91.04,60.29,0.27,2.50
1400000US06087100600,6087100600,JJA,General,"Santa Cruz County","Santa Cruz",77.02,40.11,86.89,64.45,0.13,3.25
1400000US06087100600,6087100600,AM,General,"Santa Cruz County","Santa Cruz",65.87,27.14,86.84,57.73,0.40,2.58
1400000US06087100600,6087100600,Total,Vulnerable,"Santa Cruz County","Santa Cruz",0.00,0.00,0.00,0.00,0.00,0.00
1400000US06087100600,6087100600,Total,"2006 HW","Santa Cruz County","Santa Cruz",67.03,29.97,95.16,67.04,0.00,0.00
1400000US06087100700,6087100700,SO,General,"Santa Cruz County","Santa Cruz",67.56,27.55,91.04,60.29,0.27,2.50
1400000US06087100700,6087100700,JJA,General,"Santa Cruz County","Santa Cruz",77.02,40.11,86.89,64.45,0.13,3.25
