geoid_long,census_tract,time_of_year,socioeconomic_group,census_county,census_city,avg_event_rh_max_perc,avg_event_rh_min_perc,tmax,tmin,hist_avg_annual_events,hist_avg_duration
1400000US06089010100,6089010100,Total,"2006 HW","Shasta County",Redding,49.47,17.81,106.98,74.26,0.00,0.00
1400000US06089010100,6089010100,Total,Vulnerable,"Shasta County",Redding,0.00,0.00,0.00,0.00,0.00,0.00
1400000US06089010100,6089010100,AM,General,"Shasta County",Redding,45.05,14.58,100.44,68.01,0.03,3.00
1400000US06089010100,6089010100,JJA,General,"Shasta County",Redding,43.83,16.44,101.32,71.29,0.20,4.50
1400000US06089010100,6089010100,SO,General,"Shasta County",Redding,32.48,9.37,100.48,64.55,0.17,3.20
1400000US06089010200,6089010200,SO,General,"Shasta County",Redding,32.48,9.37,100.48,64.55,0.17,3.20
1400000US06089010200,6089010200,JJA,General,"Shasta County",Redding,43.83,16.44,101.32,71.29,0.20,4.50
1400000US06089010200,6089010200,AM,General,"Shasta County",Redding,45.05,14.58,100.44,68.01,0.03,3.00
1400000US06089010200,6089010200,Total,Vulnerable,"Shasta County",Redding,0.00,0.00,0.00,0.00,0.00,0.00
1400000US06089010200,6089010200,Total,"2006 HW","Shasta County",Redding,49.47,17.81,106.98,74.26,0.00,0.00
1400000US06089010300,6089010300,Total,"2006 HW","Shasta County",Redding,49.59,16.57,110.07,77.29,0.00,0.00
1400000US06089010300,6089010300,Total,Vulnerable,"Shasta County",Redding,47.09,16.50,104.53,72.82,0.37,2.91
1400000US06089010300,6089010300,AM,General,"Shasta County",Redding,53.09,13.80,101.17,65.72,0.07,4.50
1400000US06089010300,6089010300,JJA,General,"Shasta County",Redding,53.65,15.46,105.59,73.49,0.37,2.82
1400000US06089010300,6089010300,SO,General,"Shasta County",Redding,46.88,11.37,99.82,65.54,0.17,4.80
1400000US06089010400,6089010400,SO,General,"Shasta County",Redding,32.48,9.37,100.48,64.55,0.17,3.20
1400000US06089010400,6089010400,JJA,General,"Shasta County",Redding,43.83,16.44,101.32,71.29,0.20,4.50
1400000US06089010400,6089010400,AM,General,"Shasta County",Redding,45.05,14.58,100.44,68.01,0.03,3.00
1400000US06089010400,6089010400,Total,Vulnerable,"Shasta County",Redding,0.00,0.00,0.00,0.00,0.00,0.00
1400000US06089010400,6089010400,Total,"2006 HW","Shasta County",Redding,49.47,17.81,106.98,74.26,0.00,0.00
1400000US06089010500,6089010500,Total,"2006 HW","Shasta County",Redding,49.47,17.81,106.98,74.26,0.00,0.00
1400000US06089010500,6089010500,Total,Vulnerable,"Shasta County",Redding,0.00,0.00,0.00,0.00,0.00,0.00
1400000US06089010500,6089010500,AM,General,"Shasta County",Redding,45.05,14.58,100.44,68.01,0.03,3.00
1400000US06089010500,6089010500,JJA,General,"Shasta County",Redding,43.83,16.44,101.32,71.29,0.20,4.50
1400000US06089010500,6089010500,SO,General,"Shasta County",Redding,32.48,9.37,100.48,64.55,0.17,3.20
1400000US06089010601,6089010601,SO,General,"Shasta County",Redding,32.48,9.37,100.48,64.55,0.17,3.20
1400000US06089010601,6089010601,JJA,General,"Shasta County",Redding,43.83,16.44,101.32,71.29,0.20,4.50
