geoid_long,census_tract,time_of_year,socioeconomic_group,census_county,census_city,avg_event_rh_max_perc,avg_event_rh_min_perc,tmax,tmin,hist_avg_annual_events,hist_avg_duration
1400000US06093000100,6093000100,Total,"2006 HW","Siskiyou County",Macdoel,60.23,19.25,95.33,61.31,0.00,0.00
1400000US06093000100,6093000100,Total,Vulnerable,"Siskiyou County",Macdoel,47.61,11.98,93.85,55.60,0.40,3.50
1400000US06093000100,6093000100,AM,General,"Siskiyou County",Macdoel,67.08,18.91,80.79,45.76,0.20,4.17
1400000US06093000100,6093000100,JJA,General,"Siskiyou County",Macdoel,43.57,8.84,95.63,56.82,0.10,5.00
1400000US06093000100,6093000100,SO,General,"Siskiyou County",Macdoel,53.96,14.16,88.26,50.11,0.40,2.75
1400000US06093000200,6093000200,SO,General,"Siskiyou County",Macdoel,53.96,14.16,88.26,50.11,0.40,2.75
1400000US06093000200,6093000200,JJA,General,"Siskiyou County",Macdoel,43.57,8.84,95.63,56.82,0.10,5.00
1400000US06093000200,6093000200,AM,General,"Siskiyou County",Macdoel,67.08,18.91,80.79,45.76,0.20,4.17
1400000US06093000200,6093000200,Total,Vulnerable,"Siskiyou County",Macdoel,47.61,11.98,93.85,55.60,0.40,3.50
1400000US06093000200,6093000200,Total,"2006 HW","Siskiyou County",Macdoel,60.23,19.25,95.33,61.31,0.00,0.00
1400000US06093000300,6093000300,Total,"2006 HW","Siskiyou County",Montague,58.00,25.18,96.94,66.21,0.00,0.00
1400000US06093000300,6093000300,Total,Vulnerable,"Siskiyou County",Montague,27.76,10.43,91.28,57.62,5.00,4.47
1400000US06093000300,6093000300,AM,General,"Siskiyou County",Montague,57.57,22.30,84.59,53.05,0.17,4.00
1400000US06093000300,6093000300,JJA,General,"Siskiyou County",Montague,58.36,31.47,90.46,67.10,0.03,2.00
1400000US06093000300,6093000300,SO,General,"Siskiyou County",Montague,41.77,13.20,89.59,59.14,0.13,4.00
1400000US06093000400,6093000400,SO,General,"Siskiyou County",Hornbrook,41.77,13.20,89.59,59.14,0.13,4.00
1400000US06093000400,6093000400,JJA,General,"Siskiyou County",Hornbrook,58.36,31.47,90.46,67.10,0.03,2.00
1400000US06093000400,6093000400,AM,General,"Siskiyou County",Hornbrook,57.57,22.30,84.59,53.05,0.17,4.00
1400000US06093000400,6093000400,Total,Vulnerable,"Siskiyou County",Hornbrook,27.76,10.43,91.28,57.62,5.00,4.47
1400000US06093000400,6093000400,Total,"2006 HW","Siskiyou County",Hornbrook,58.00,25.18,96.94,66.21,0.00,0.00
1400000US06093000500,6093000500,Total,"2006 HW","Siskiyou County","Somes Bar",58.00,25.18,96.94,66.21,0.00,0.00
1400000US06093000500,6093000500,Total,Vulnerable,"Siskiyou County","Somes Bar",27.76,10.43,91.28,57.62,5.00,4.47
1400000US06093000500,6093000500,AM,General,"Siskiyou County","Somes Bar",57.57,22.30,84.59,53.05,0.17,4.00
1400000US06093000500,6093000500,JJA,General,"Siskiyou County","Somes Bar",58.36,31.47,90.46,67.10,0.03,2.00
1400000US06093000500,6093000500,SO,General,"Siskiyou County","Somes Bar",41.77,13.20,89.59,59.14,0.13,4.00
1400000US06093000600,6093000600,SO,General,"Siskiyou County","Fort Jones",41.77,13.20,89.59,59.14,0.13,4.00
1400000US06093000600,6093000600,JJA,General,"Siskiyou County","Fort Jones",58.36,31.47,90.46,67.10,0.03,2.00
1400000US06093000600,6093000600,AM,General,"Siskiyou County","Fort Jones",57.57,22.30,84.59,53.05,0.17,4.00
1400000US06093000600,6093000600,Total,Vulnerable,"Siskiyou County","Fort Jones",27.76,10.43,91.28,57.62,5.00,4.47
1400000US06093000600,6093000600,Total,"2006 HW","Siskiyou County","Fort Jones",58.00,25.18,96.94,66.21,0.00,0.00
1400000US06093000701,6093000701,Total,"2006 HW","Siskiyou County",Yreka,58.00,25.18,96.94,66.21,0.00,0.00
1400000US06093000701,6093000701,Total,Vulnerable,"Siskiyou County",Yreka,27.76,10.43,91.28,57.62,5.00,4.47
1400000US06093000701,6093000701,AM,General,"Siskiyou County",Yreka,57.57,22.30,84.59,53.05,0.17,4.00
1400000US06093000701,6093000701,JJA,General,"Siskiyou County",Yreka,58.36,31.47,90.46,67.10,0.03,2.00
1400000US06093000701,6093000701,SO,General,"Siskiyou County",Yreka,41.77,13.20,89.59,59.14,0.13,4.00
1400000US06093000702,6093000702,SO,General,"Siskiyou County",Yreka,41.77,13.20,89.59,59.14,0.13,4.00
1400000US06093000702,6093000702,JJA,General,"Siskiyou County",Yreka,58.36,31.47,90.46,67.10,0.03,2.00
1400000US06093000702,6093000702,AM,General,"Siskiyou County",Yreka,57.57,22.30,84.59,53.05,0.17,4.00
1400000US06093000702,6093000702,Total,Vulnerable,"Siskiyou County",Yreka,27.76,10.43,91.28,57.62,5.00,4.47
1400000US06093000702,6093000702,Total,"2006 HW","Siskiyou County",Yreka,58.00,25.18,96.94,66.21,0.00,0.00
1400000US06093000703,6093000703,Total,"2006 HW","Siskiyou County",Yreka,58.00,25.18,96.94,66.21,0.00,0.00
1400000US06093000703,6093000703,Total,Vulnerable,"Siskiyou County",Yreka,27.76,10.43,91.28,57.62,5.00,4.47
1400000US06093000703,6093000703,AM,General,"Siskiyou County",Yreka,57.57,22.30,84.59,53.05,0.17,4.00
1400000US06093000703,6093000703,JJA,General,"Siskiyou County",Yreka,58.36,31.47,90.46,67.10,0.03,2.00
1400000US06093000703,6093000703,SO,General,"Siskiyou County",Yreka,41.77,13.20,89.59,59.14,0.13,4.00
1400000US06093000800,6093000800,SO,General,"Siskiyou County","Forks of Salmon",41.77,13.20,89.59,59.14,0.13,4.00
1400000US06093000800,6093000800,JJA,General,"Siskiyou County","Forks of Salmon",58.36,31.47,90.46,67.10,0.03,2.00
1400000US06093000800,6093000800,AM,General,"Siskiyou County","Forks of Salmon",57.57,22.30,84.59,53.05,0.17,4.00
1400000US06093000800,6093000800,Total,Vulnerable,"Siskiyou County","Forks of Salmon",27.76,10.43,91.28,57.62,5.00,4.47
1400000US06093000800,6093000800,Total,"2006 HW","Siskiyou County","Forks of Salmon",58.00,25.18,96.94,66.21,0.00,0.00
1400000US06093000900,6093000900,SO,General,"Siskiyou County",Weed,41.36,13.95,89.03,53.65,0.07,4.50
1400000US06093000900,6093000900,JJA,General,"Siskiyou County",Weed,61.08,28.40,91.79,63.49,0.07,4.50
1400000US06093000900,6093000900,AM,General,"Siskiyou County",Weed,60.47,17.26,88.26,53.85,0.03,5.00
1400000US06093000900,6093000900,Total,Vulnerable,"Siskiyou County",Weed,0.00,0.00,0.00,0.00,0.00,0.00
1400000US06093000900,6093000900,Total,"2006 HW","Siskiyou County",Weed,63.24,26.18,94.78,63.58,0.00,0.00
1400000US06093001000,6093001000,Total,"2006 HW","Siskiyou County","Mount Shasta",63.24,26.18,94.78,63.58,0.00,0.00
1400000US06093001000,6093001000,Total,Vulnerable,"Siskiyou County","Mount Shasta",0.00,0.00,0.00,0.00,0.00,0.00
1400000US06093001000,6093001000,AM,General,"Siskiyou County","Mount Shasta",60.47,17.26,88.26,53.85,0.03,5.00
1400000US06093001000,6093001000,JJA,General,"Siskiyou County","Mount Shasta",61.08,28.40,91.79,63.49,0.07,4.50
1400000US06093001000,6093001000,SO,General,"Siskiyou County","Mount Shasta",41.36,13.95,89.03,53.65,0.07,4.50
1400000US06093001100,6093001100,SO,General,"Siskiyou County",Dunsmuir,41.36,13.95,89.03,53.65,0.07,4.50
1400000US06093001100,6093001100,JJA,General,"Siskiyou County",Dunsmuir,61.08,28.40,91.79,63.49,0.07,4.50
1400000US06093001100,6093001100,AM,General,"Siskiyou County",Dunsmuir,60.47,17.26,88.26,53.85,0.03,5.00
1400000US06093001100,6093001100,Total,Vulnerable,"Siskiyou County",Dunsmuir,0.00,0.00,0.00,0.00,0.00,0.00
1400000US06093001100,6093001100,Total,"2006 HW","Siskiyou County",Dunsmuir,63.24,26.18,94.78,63.58,0.00,0.00
1400000US06093001200,6093001200,Total,"2006 HW","Siskiyou County","Modoc Shasta Klamath for",63.24,26.18,94.78,63.58,0.00,0.00
1400000US06093001200,6093001200,Total,Vulnerable,"Siskiyou County","Modoc Shasta Klamath for",0.00,0.00,0.00,0.00,0.00,0.00
1400000US06093001200,6093001200,AM,General,"Siskiyou County","Modoc Shasta Klamath for",60.47,17.26,88.26,53.85,0.03,5.00
1400000US06093001200,6093001200,JJA,General,"Siskiyou County","Modoc Shasta Klamath for",61.08,28.40,91.79,63.49,0.07,4.50
1400000US06093001200,6093001200,SO,General,"Siskiyou County","Modoc Shasta Klamath for",41.36,13.95,89.03,53.65,0.07,4.50
