geoid_long,census_tract,time_of_year,socioeconomic_group,census_county,census_city,avg_event_rh_max_perc,avg_event_rh_min_perc,tmax,tmin,hist_avg_annual_events,hist_avg_duration
1400000US06095250103,6095250103,Total,"2006 HW","Solano County",Vallejo,77.90,28.10,104.71,66.72,0.00,0.00
1400000US06095250103,6095250103,Total,Vulnerable,"Solano County",Vallejo,97.05,59.35,78.56,58.54,2.20,5.53
1400000US06095250103,6095250103,AM,General,"Solano County",Vallejo,65.84,21.79,91.80,56.85,0.37,5.91
1400000US06095250103,6095250103,JJA,General,"Solano County",Vallejo,85.27,28.79,96.99,61.32,0.03,5.00
1400000US06095250103,6095250103,SO,General,"Solano County",Vallejo,85.23,38.63,85.97,58.08,1.00,3.07
1400000US06095250104,6095250104,SO,General,"Solano County",Vallejo,85.23,38.63,85.97,58.08,1.00,3.07
1400000US06095250104,6095250104,JJA,General,"Solano County",Vallejo,85.27,28.79,96.99,61.32,0.03,5.00
1400000US06095250104,6095250104,AM,General,"Solano County",Vallejo,65.84,21.79,91.80,56.85,0.37,5.91
1400000US06095250104,6095250104,Total,Vulnerable,"Solano County",Vallejo,97.05,59.35,78.56,58.54,2.20,5.53
1400000US06095250104,6095250104,Total,"2006 HW","Solano County",Vallejo,77.90,28.10,104.71,66.72,0.00,0.00
1400000US06095250105,6095250105,Total,"2006 HW","Solano County",Vallejo,77.90,28.10,104.71,66.72,0.00,0.00
1400000US06095250105,6095250105,Total,Vulnerable,"Solano County",Vallejo,97.05,59.35,78.56,58.54,2.20,5.53
1400000US06095250105,6095250105,AM,General,"Solano County",Vallejo,65.84,21.79,91.80,56.85,0.37,5.91
1400000US06095250105,6095250105,JJA,General,"Solano County",Vallejo,85.27,28.79,96.99,61.32,0.03,5.00
1400000US06095250105,6095250105,SO,General,"Solano County",Vallejo,85.23,38.63,85.97,58.08,1.00,3.07
1400000US06095250106,6095250106,SO,General,"Solano County",Vallejo,85.23,38.63,85.97,58.08,1.00,3.07
1400000US06095250106,6095250106,JJA,General,"Solano County",Vallejo,85.27,28.79,96.99,61.32,0.03,5.00
1400000US06095250106,6095250106,AM,General,"Solano County",Vallejo,65.84,21.79,91.80,56.85,0.37,5.91
1400000US06095250106,6095250106,Total,Vulnerable,"Solano County",Vallejo,97.05,59.35,78.56,58.54,2.20,5.53
1400000US06095250106,6095250106,Total,"2006 HW","Solano County",Vallejo,77.90,28.10,104.71,66.72,0.00,0.00
