geoid_long,census_tract,time_of_year,socioeconomic_group,census_county,census_city,avg_event_rh_max_perc,avg_event_rh_min_perc,tmax,tmin,hist_avg_annual_events,hist_avg_duration
1400000US06101050101,6101050101,Total,"2006 HW","Sutter County","Yuba City",69.08,22.81,109.67,74.73,0.00,0.00
1400000US06101050101,6101050101,Total,Vulnerable,"Sutter County","Yuba City",65.77,16.07,102.32,61.57,1.13,5.79
1400000US06101050101,6101050101,AM,General,"Sutter County","Yuba City",74.98,23.31,100.44,63.08,0.07,3.00
1400000US06101050101,6101050101,JJA,General,"Sutter County","Yuba City",67.76,26.30,102.94,68.48,0.63,5.05
1400000US06101050101,6101050101,SO,General,"Sutter County","Yuba City",69.02,22.44,100.27,62.69,0.33,3.20
1400000US06101050102,6101050102,SO,General,"Sutter County","Yuba City",69.02,22.44,100.27,62.69,0.33,3.20
1400000US06101050102,6101050102,JJA,General,"Sutter County","Yuba City",67.76,26.30,102.94,68.48,0.63,5.05
1400000US06101050102,6101050102,AM,General,"Sutter County","Yuba City",74.98,23.31,100.44,63.08,0.07,3.00
1400000US06101050102,6101050102,Total,Vulnerable,"Sutter County","Yuba City",65.77,16.07,102.32,61.57,1.13,5.79
1400000US06101050102,6101050102,Total,"2006 HW","Sutter County","Yuba City",69.08,22.81,109.67,74.73,0.00,0.00
1400000US06101050201,6101050201,SO,General,"Sutter County","Yuba City",69.02,22.44,100.27,62.69,0.33,3.20
1400000US06101050201,6101050201,JJA,General,"Sutter County","Yuba City",67.76,26.30,102.94,68.48,0.63,5.05
1400000US06101050201,6101050201,AM,General,"Sutter County","Yuba City",74.98,23.31,100.44,63.08,0.07,3.00
1400000US06101050201,6101050201,Total,Vulnerable,"Sutter County","Yuba City",65.77,16.07,102.32,61.57,1.13,5.79
1400000US06101050201,6101050201,Total,"2006 HW","Sutter County","Yuba City",69.08,22.81,109.67,74.73,0.00,0.00
1400000US06101050202,6101050202,Total,"2006 HW","Sutter County","Yuba City",69.08,22.81,109.67,74.73,0.00,0.00
1400000US06101050202,6101050202,Total,Vulnerable,"Sutter County","Yuba City",65.77,16.07,102.32,61.57,1.13,5.79
1400000US06101050202,6101050202,AM,General,"Sutter County","Yuba City",74.98,23.31,100.44,63.08,0.07,3.00
1400000US06101050202,6101050202,JJA,General,"Sutter County","Yuba City",67.76,26.30,102.94,68.48,0.63,5.05
1400000US06101050202,6101050202,SO,General,"Sutter County","Yuba City",69.02,22.44,100.27,62.69,0.33,3.20
1400000US06101050301,6101050301,SO,General,"Sutter County","Yuba City",69.02,22.44,100.27,62.69,0.33,3.20
1400000US06101050301,6101050301,JJA,General,"Sutter County","Yuba City",67.76,26.30,102.94,68.48,0.63,5.05
1400000US06101050301,6101050301,AM,General,"Sutter County","Yuba City",74.98,23.31,100.44,63.08,0.07,3.00
1400000US06101050301,6101050301,Total,Vulnerable,"Sutter County","Yuba City",65.77,16.07,102.32,61.57,1.13,5.79
1400000US06101050301,6101050301,Total,"2006 HW","Sutter County","Yuba City",69.08,22.81,109.67,74.73,0.00,0.00
1400000US06101050302,6101050302,SO,General,"Sutter County","Yuba City",69.02,22.44,100.27,62.69,0.33,3.20
1400000US06101050302,6101050302,JJA,General,"Sutter County","Yuba City",67.76,26.30,102.94,68.48,0.63,5.05
1400000US06101050302,6101050302,AM,General,"Sutter County","Yuba City",74.98,23.31,100.44,63.08,0.07,3.00
1400000US06101050302,6101050302,Total,Vulnerable,"Sutter County","Yuba City",65.77,16.07,102.32,61.57,1.13,5.79
1400000US06101050302,6101050302,Total,"2006 HW","Sutter County","Yuba City",69.08,22.81,109.67,74.73,0.00,0.00
1400000US06101050401,6101050401,Total,"2006 HW","Sutter County","Yuba City",69.08,22.81,109.67,74.73,0.00,0.00
1400000US06101050401,6101050401,Total,Vulnerable,"Sutter County","Yuba City",65.77,16.07,102.32,61.57,1.13,5.79
1400000US06101050401,6101050401,AM,General,"Sutter County","Yuba City",74.98,23.31,100.44,63.08,0.07,3.00
1400000US06101050401,6101050401,JJA,General,"Sutter County","Yuba City",67.76,26.30,102.94,68.48,0.63,5.05
1400000US06101050401,6101050401,SO,General,"Sutter County","Yuba City",69.02,22.44,100.27,62.69,0.33,3.20
1400000US06101050402,6101050402,SO,General,"Sutter County","Yuba City",69.02,22.44,100.27,62.69,0.33,3.20
1400000US06101050402,6101050402,JJA,General,"Sutter County","Yuba City",67.76,26.30,102.94,68.48,0.63,5.05
1400000US06101050402,6101050402,AM,General,"Sutter County","Yuba City",74.98,23.31,100.44,63.08,0.07,3.00
1400000US06101050402,6101050402,Total,Vulnerable,"Sutter County","Yuba City",65.77,16.07,102.32,61.57,1.13,5.79
1400000US06101050402,6101050402,Total,"2006 HW","Sutter County","Yuba City",69.08,22.81,109.67,74.73,0.00,0.00
1400000US06101050403,6101050403,SO,General,"Sutter County","Yuba City",69.02,22.44,100.27,62.69,0.33,3.20
1400000US06101050403,6101050403,JJA,General,"Sutter County","Yuba City",67.76,26.30,102.94,68.48,0.63,5.05
1400000US06101050403,6101050403,AM,General,"Sutter County","Yuba City",74.98,23.31,100.44,63.08,0.07,3.00
1400000US06101050403,6101050403,Total,Vulnerable,"Sutter County","Yuba City",65.77,16.07,102.32,61.57,1.13,5.79
1400000US06101050403,6101050403,Total,"2006 HW","Sutter County","Yuba City",69.08,22.81,109.67,74.73,0.00,0.00
1400000US06101050501,6101050501,Total,"2006 HW","Sutter County","Yuba City",69.08,22.81,109.67,74.73,0.00,0.00
1400000US06101050501,6101050501,Total,Vulnerable,"Sutter County","Yuba City",65.77,16.07,102.32,61.57,1.13,5.79
1400000US06101050501,6101050501,AM,General,"Sutter County","Yuba City",74.98,23.31,100.44,63.08,0.07,3.00
1400000US06101050501,6101050501,JJA,General,"Sutter County","Yuba City",67.76,26.30,102.94,68.48,0.63,5.05
1400000US06101050501,6101050501,SO,General,"Sutter County","Yuba City",69.02,22.44,100.27,62.69,0.33,3.20
1400000US06101050503,6101050503,SO,General,"Sutter County","Yuba City",69.02,22.44,100.27,62.69,0.33,3.20
1400000US06101050503,6101050503,JJA,General,"Sutter County","Yuba City",67.76,26.30,102.94,68.48,0.63,5.05
1400000US06101050503,6101050503,AM,General,"Sutter County","Yuba City",74.98,23.31,100.44,63.08,0.07,3.00
1400000US06101050503,6101050503,Total,Vulnerable,"Sutter County","Yuba City",65.77,16.07,102.32,61.57,1.13,5.79
1400000US06101050503,6101050503,Total,"2006 HW","Sutter County","Yuba City",69.08,22.81,109.67,74.73,0.00,0.00
1400000US06101050504,6101050504,Total,"2006 HW","Sutter County","Yuba City",69.08,22.81,109.67,74.73,0.00,0.00
1400000US06101050504,6101050504,Total,Vulnerable,"Sutter County","Yuba City",65.77,16.07,102.32,61.57,1.13,5.79
1400000US06101050504,6101050504,AM,General,"Sutter County","Yuba City",74.98,23.31,100.44,63.08,0.07,3.00
1400000US06101050504,6101050504,JJA,General,"Sutter County","Yuba City",67.76,26.30,102.94,68.48,0.63,5.05
1400000US06101050504,6101050504,SO,General,"Sutter County","Yuba City",69.02,22.44,100.27,62.69,0.33,3.20
1400000US06101050601,6101050601,SO,General,"Sutter County","Yuba City",69.02,22.44,100.27,62.69,0.33,3.20
1400000US06101050601,6101050601,JJA,General,"Sutter County","Yuba City",67.76,26.30,102.94,68.48,0.63,5.05
1400000US06101050601,6101050601,AM,General,"Sutter County","Yuba City",74.98,23.31,100.44,63.08,0.07,3.00
1400000US06101050601,6101050601,Total,Vulnerable,"Sutter County","Yuba City",65.77,16.07,102.32,61.57,1.13,5.79
1400000US06101050601,6101050601,Total,"2006 HW","Sutter County","Yuba City",69.08,22.81,109.67,74.73,0.00,0.00
1400000US06101050603,6101050603,SO,General,"Sutter County","Yuba City",69.02,22.44,100.27,62.69,0.33,3.20
1400000US06101050603,6101050603,JJA,General,"Sutter County","Yuba City",67.76,26.30,102.94,68.48,0.63,5.05
1400000US06101050603,6101050603,AM,General,"Sutter County","Yuba City",74.98,23.31,100.44,63.08,0.07,3.00
1400000US06101050603,6101050603,Total,Vulnerable,"Sutter County","Yuba City",65.77,16.07,102.32,61.57,1.13,5.79
1400000US06101050603,6101050603,Total,"2006 HW","Sutter County","Yuba City",69.08,22.81,109.67,74.73,0.00,0.00
1400000US06101050604,6101050604,Total,"2006 HW","Sutter County","Yuba City",69.08,22.81,109.67,74.73,0.00,0.00
1400000US06101050604,6101050604,Total,Vulnerable,"Sutter County","Yuba City",65.77,16.07,102.32,61.57,1.13,5.79
1400000US06101050604,6101050604,AM,General,"Sutter County","Yuba City",74.98,23.31,100.44,63.08,0.07,3.00
1400000US06101050604,6101050604,JJA,General,"Sutter County","Yuba City",67.76,26.30,102.94,68.48,0.63,5.05
1400000US06101050604,6101050604,SO,General,"Sutter County","Yuba City",69.02,22.44,100.27,62.69,0.33,3.20
1400000US06101050701,6101050701,SO,General,"Sutter County","Live Oak",71.08,20.42,98.71,58.96,0.43,4.62
1400000US06101050701,6101050701,JJA,General,"Sutter County","Live Oak",79.38,23.70,105.82,68.78,1.47,6.07
1400000US06101050701,6101050701,AM,General,"Sutter County","Live Oak",77.68,26.06,98.03,62.21,0.43,3.77
1400000US06101050701,6101050701,Total,Vulnerable,"Sutter County","Live Oak",0.00,0.00,0.00,0.00,0.00,0.00
1400000US06101050701,6101050701,Total,"2006 HW","Sutter County","Live Oak",70.00,24.90,108.91,74.43,0.00,0.00
