geoid_long,census_tract,time_of_year,socioeconomic_group,census_county,census_city,avg_event_rh_max_perc,avg_event_rh_min_perc,tmax,tmin,hist_avg_annual_events,hist_avg_duration
1400000US06103000100,6103000100,Total,"2006 HW","Tehama County","Red Bluff",51.47,19.68,110.34,78.01,0.00,0.00
1400000US06103000100,6103000100,Total,Vulnerable,"Tehama County","Red Bluff",0.00,0.00,0.00,0.00,0.00,0.00
1400000US06103000100,6103000100,AM,General,"Tehama County","Red Bluff",49.75,16.86,100.24,66.00,0.03,3.00
1400000US06103000100,6103000100,JJA,General,"Tehama County","Red Bluff",44.97,14.70,102.46,69.78,2.83,7.07
1400000US06103000100,6103000100,SO,General,"Tehama County","Red Bluff",34.80,11.80,104.19,68.95,0.07,2.50
1400000US06103000200,6103000200,SO,General,"Tehama County",Cottonwood,36.51,9.87,105.11,66.64,0.03,3.00
1400000US06103000200,6103000200,JJA,General,"Tehama County",Cottonwood,53.78,23.21,100.55,73.34,0.60,3.78
1400000US06103000200,6103000200,AM,General,"Tehama County",Cottonwood,57.17,16.98,93.82,61.47,0.53,3.88
1400000US06103000200,6103000200,Total,Vulnerable,"Tehama County",Cottonwood,0.00,0.00,0.00,0.00,0.00,0.00
1400000US06103000200,6103000200,Total,"2006 HW","Tehama County",Cottonwood,54.62,17.73,111.83,77.98,0.00,0.00
1400000US06103000300,6103000300,SO,General,"Tehama County","Red Bluff",46.84,13.17,101.38,65.74,0.60,4.17
1400000US06103000300,6103000300,JJA,General,"Tehama County","Red Bluff",62.65,29.65,101.48,70.47,0.47,5.29
1400000US06103000300,6103000300,AM,General,"Tehama County","Red Bluff",57.49,20.12,99.51,65.91,0.03,3.00
1400000US06103000300,6103000300,Total,Vulnerable,"Tehama County","Red Bluff",0.00,0.00,0.00,0.00,0.00,0.00
1400000US06103000300,6103000300,Total,"2006 HW","Tehama County","Red Bluff",54.19,20.98,110.22,78.43,0.00,0.00
1400000US06103000400,6103000400,Total,"2006 HW","Tehama County","Red Bluff",51.47,19.68,110.34,78.01,0.00,0.00
1400000US06103000400,6103000400,Total,Vulnerable,"Tehama County","Red Bluff",0.00,0.00,0.00,0.00,0.00,0.00
1400000US06103000400,6103000400,AM,General,"Tehama County","Red Bluff",49.75,16.86,100.24,66.00,0.03,3.00
1400000US06103000400,6103000400,JJA,General,"Tehama County","Red Bluff",44.97,14.70,102.46,69.78,2.83,7.07
1400000US06103000400,6103000400,SO,General,"Tehama County","Red Bluff",34.80,11.80,104.19,68.95,0.07,2.50
1400000US06103000500,6103000500,SO,General,"Tehama County","Red Bluff",34.80,11.80,104.19,68.95,0.07,2.50
1400000US06103000500,6103000500,JJA,General,"Tehama County","Red Bluff",44.97,14.70,102.46,69.78,2.83,7.07
1400000US06103000500,6103000500,AM,General,"Tehama County","Red Bluff",49.75,16.86,100.24,66.00,0.03,3.00
1400000US06103000500,6103000500,Total,Vulnerable,"Tehama County","Red Bluff",0.00,0.00,0.00,0.00,0.00,0.00
1400000US06103000500,6103000500,Total,"2006 HW","Tehama County","Red Bluff",51.47,19.68,110.34,78.01,0.00,0.00
1400000US06103000600,6103000600,SO,General,"Tehama County","Red Bluff",34.80,11.80,104.19,68.95,0.07,2.50
1400000US06103000600,6103000600,JJA,General,"Tehama County","Red Bluff",44.97,14.70,102.46,69.78,2.83,7.07
1400000US06103000600,6103000600,AM,General,"Tehama County","Red Bluff",49.75,16.86,100.24,66.00,0.03,3.00
1400000US06103000600,6103000600,Total,Vulnerable,"Tehama County","Red Bluff",0.00,0.00,0.00,0.00,0.00,0.00
1400000US06103000600,6103000600,Total,"2006 HW","Tehama County","Red Bluff",51.47,19.68,110.34,78.01,0.00,0.00
1400000US06103000700,6103000700,Total,"2006 HW","Tehama County","Red Bluff",51.47,19.68,110.34,78.01,0.00,0.00
1400000US06103000700,6103000700,Total,Vulnerable,"Tehama County","Red Bluff",0.00,0.00,0.00,0.00,0.00,0.00
1400000US06103000700,6103000700,AM,General,"Tehama County","Red Bluff",49.75,16.86,100.24,66.00,0.03,3.00
1400000US06103000700,6103000700,JJA,General,"Tehama County","Red Bluff",44.97,14.70,102.46,69.78,2.83,7.07
1400000US06103000700,6103000700,SO,General,"Tehama County","Red Bluff",34.80,11.80,104.19,68.95,0.07,2.50
1400000US06103000800,6103000800,SO,General,"Tehama County",Gerber,46.84,13.17,101.38,65.74,0.60,4.17
1400000US06103000800,6103000800,JJA,General,"Tehama County",Gerber,62.65,29.65,101.48,70.47,0.47,5.29
1400000US06103000800,6103000800,AM,General,"Tehama County",Gerber,57.49,20.12,99.51,65.91,0.03,3.00
1400000US06103000800,6103000800,Total,Vulnerable,"Tehama County",Gerber,0.00,0.00,0.00,0.00,0.00,0.00
1400000US06103000800,6103000800,Total,"2006 HW","Tehama County",Gerber,54.19,20.98,110.22,78.43,0.00,0.00
1400000US06103000900,6103000900,SO,General,"Tehama County",Corning,46.84,13.17,101.38,65.74,0.60,4.17
1400000US06103000900,6103000900,JJA,General,"Tehama County",Corning,62.65,29.65,101.48,70.47,0.47,5.29
1400000US06103000900,6103000900,AM,General,"Tehama County",Corning,57.49,20.12,99.51,65.91,0.03,3.00
1400000US06103000900,6103000900,Total,Vulnerable,"Tehama County",Corning,0.00,0.00,0.00,0.00,0.00,0.00
1400000US06103000900,6103000900,Total,"2006 HW","Tehama County",Corning,54.19,20.98,110.22,78.43,0.00,0.00
1400000US06103001000,6103001000,SO,General,"Tehama County",Corning,46.84,13.17,101.38,65.74,0.60,4.17
1400000US06103001000,6103001000,JJA,General,"Tehama County",Corning,62.65,29.65,101.48,70.47,0.47,5.29
1400000US06103001000,6103001000,AM,General,"Tehama County",Corning,57.49,20.12,99.51,65.91,0.03,3.00
1400000US06103001000,6103001000,Total,Vulnerable,"Tehama County",Corning,0.00,0.00,0.00,0.00,0.00,0.00
1400000US06103001000,6103001000,Total,"2006 HW","Tehama County",Corning,54.19,20.98,110.22,78.43,0.00,0.00
1400000US06103001100,6103001100,Total,"2006 HW","Tehama County",Corning,54.19,20.98,110.22,78.43,0.00,0.00
1400000US06103001100,6103001100,Total,Vulnerable,"Tehama County",Corning,0.00,0.00,0.00,0.00,0.00,0.00
1400000US06103001100,6103001100,AM,General,"Tehama County",Corning,57.49,20.12,99.51,65.91,0.03,3.00
1400000US06103001100,6103001100,JJA,General,"Tehama County",Corning,62.65,29.65,101.48,70.47,0.47,5.29
