geoid_long,census_tract,time_of_year,socioeconomic_group,census_county,census_city,avg_event_rh_max_perc,avg_event_rh_min_perc,tmax,tmin,hist_avg_annual_events,hist_avg_duration
1400000US06107000100,6107000100,Total,"2006 HW","Tulare County","Three Rivers",56.87,21.62,91.73,63.53,0.00,0.00
1400000US06107000100,6107000100,Total,Vulnerable,"Tulare County","Three Rivers",52.26,20.40,86.90,58.63,0.73,3.32
1400000US06107000100,6107000100,AM,General,"Tulare County","Three Rivers",57.56,22.14,78.16,49.62,0.37,4.18
1400000US06107000100,6107000100,JJA,General,"Tulare County","Three Rivers",47.81,18.89,90.68,61.63,0.17,4.80
1400000US06107000100,6107000100,SO,General,"Tulare County","Three Rivers",66.58,28.40,83.20,58.60,0.17,4.00
1400000US06107000201,6107000201,SO,General,"Tulare County",Orosi,65.74,32.01,95.13,69.94,0.20,4.83
1400000US06107000201,6107000201,JJA,General,"Tulare County",Orosi,65.48,29.27,106.14,77.09,0.07,3.50
1400000US06107000201,6107000201,AM,General,"Tulare County",Orosi,64.33,22.73,100.35,65.59,0.03,3.00
1400000US06107000201,6107000201,Total,Vulnerable,"Tulare County",Orosi,68.01,27.07,101.73,71.28,0.87,4.62
1400000US06107000201,6107000201,Total,"2006 HW","Tulare County",Orosi,65.62,26.45,109.42,78.11,0.00,0.00
1400000US06107000202,6107000202,SO,General,"Tulare County","Orange Cove",65.74,32.01,95.13,69.94,0.20,4.83
1400000US06107000202,6107000202,JJA,General,"Tulare County","Orange Cove",65.48,29.27,106.14,77.09,0.07,3.50
1400000US06107000202,6107000202,AM,General,"Tulare County","Orange Cove",64.33,22.73,100.35,65.59,0.03,3.00
1400000US06107000202,6107000202,Total,Vulnerable,"Tulare County","Orange Cove",68.01,27.07,101.73,71.28,0.87,4.62
1400000US06107000202,6107000202,Total,"2006 HW","Tulare County","Orange Cove",65.62,26.45,109.42,78.11,0.00,0.00
1400000US06107000301,6107000301,Total,"2006 HW","Tulare County",Dinuba,74.10,27.66,108.92,78.33,0.00,0.00
1400000US06107000301,6107000301,Total,Vulnerable,"Tulare County",Dinuba,71.93,25.64,99.51,67.67,2.07,4.98
1400000US06107000301,6107000301,AM,General,"Tulare County",Dinuba,73.81,27.59,98.98,65.05,0.30,4.22
1400000US06107000301,6107000301,JJA,General,"Tulare County",Dinuba,74.59,25.17,104.80,71.61,1.17,6.00
1400000US06107000301,6107000301,SO,General,"Tulare County",Dinuba,68.63,33.33,94.64,69.20,0.13,4.50
1400000US06107000302,6107000302,SO,General,"Tulare County",Kingsburg,68.63,33.33,94.64,69.20,0.13,4.50
1400000US06107000302,6107000302,JJA,General,"Tulare County",Kingsburg,74.59,25.17,104.80,71.61,1.17,6.00
1400000US06107000302,6107000302,AM,General,"Tulare County",Kingsburg,73.81,27.59,98.98,65.05,0.30,4.22
1400000US06107000302,6107000302,Total,Vulnerable,"Tulare County",Kingsburg,71.93,25.64,99.51,67.67,2.07,4.98
1400000US06107000302,6107000302,Total,"2006 HW","Tulare County",Kingsburg,74.10,27.66,108.92,78.33,0.00,0.00
1400000US06107000401,6107000401,Total,"2006 HW","Tulare County",Dinuba,74.10,27.66,108.92,78.33,0.00,0.00
1400000US06107000401,6107000401,Total,Vulnerable,"Tulare County",Dinuba,71.93,25.64,99.51,67.67,2.07,4.98
1400000US06107000401,6107000401,AM,General,"Tulare County",Dinuba,73.81,27.59,98.98,65.05,0.30,4.22
1400000US06107000401,6107000401,JJA,General,"Tulare County",Dinuba,74.59,25.17,104.80,71.61,1.17,6.00
1400000US06107000401,6107000401,SO,General,"Tulare County",Dinuba,68.63,33.33,94.64,69.20,0.13,4.50
1400000US06107000402,6107000402,SO,General,"Tulare County",Dinuba,68.63,33.33,94.64,69.20,0.13,4.50
1400000US06107000402,6107000402,JJA,General,"Tulare County",Dinuba,74.59,25.17,104.80,71.61,1.17,6.00
1400000US06107000402,6107000402,AM,General,"Tulare County",Dinuba,73.81,27.59,98.98,65.05,0.30,4.22
1400000US06107000402,6107000402,Total,Vulnerable,"Tulare County",Dinuba,71.93,25.64,99.51,67.67,2.07,4.98
1400000US06107000402,6107000402,Total,"2006 HW","Tulare County",Dinuba,74.10,27.66,108.92,78.33,0.00,0.00
1400000US06107000501,6107000501,SO,General,"Tulare County",Dinuba,68.63,33.33,94.64,69.20,0.13,4.50
1400000US06107000501,6107000501,JJA,General,"Tulare County",Dinuba,74.59,25.17,104.80,71.61,1.17,6.00
1400000US06107000501,6107000501,AM,General,"Tulare County",Dinuba,73.81,27.59,98.98,65.05,0.30,4.22
1400000US06107000501,6107000501,Total,Vulnerable,"Tulare County",Dinuba,71.93,25.64,99.51,67.67,2.07,4.98
1400000US06107000501,6107000501,Total,"2006 HW","Tulare County",Dinuba,74.10,27.66,108.92,78.33,0.00,0.00
1400000US06107000502,6107000502,Total,"2006 HW","Tulare County",Dinuba,74.10,27.66,108.92,78.33,0.00,0.00
1400000US06107000502,6107000502,Total,Vulnerable,"Tulare County",Dinuba,71.93,25.64,99.51,67.67,2.07,4.98
1400000US06107000502,6107000502,AM,General,"Tulare County",Dinuba,73.81,27.59,98.98,65.05,0.30,4.22
1400000US06107000502,6107000502,JJA,General,"Tulare County",Dinuba,74.59,25.17,104.80,71.61,1.17,6.00
1400000US06107000502,6107000502,SO,General,"Tulare County",Dinuba,68.63,33.33,94.64,69.20,0.13,4.50
1400000US06107000600,6107000600,SO,General,"Tulare County",Cutler,65.74,32.01,95.13,69.94,0.20,4.83
1400000US06107000600,6107000600,JJA,General,"Tulare County",Cutler,65.48,29.27,106.14,77.09,0.07,3.50
1400000US06107000600,6107000600,AM,General,"Tulare County",Cutler,64.33,22.73,100.35,65.59,0.03,3.00
1400000US06107000600,6107000600,Total,Vulnerable,"Tulare County",Cutler,68.01,27.07,101.73,71.28,0.87,4.62
1400000US06107000600,6107000600,Total,"2006 HW","Tulare County",Cutler,65.62,26.45,109.42,78.11,0.00,0.00
1400000US06107000701,6107000701,Total,"2006 HW","Tulare County",Woodlake,65.62,26.45,109.42,78.11,0.00,0.00
1400000US06107000701,6107000701,Total,Vulnerable,"Tulare County",Woodlake,68.01,27.07,101.73,71.28,0.87,4.62
1400000US06107000701,6107000701,AM,General,"Tulare County",Woodlake,64.33,22.73,100.35,65.59,0.03,3.00
1400000US06107000701,6107000701,JJA,General,"Tulare County",Woodlake,65.48,29.27,106.14,77.09,0.07,3.50
1400000US06107000701,6107000701,SO,General,"Tulare County",Woodlake,65.74,32.01,95.13,69.94,0.20,4.83
1400000US06107000702,6107000702,SO,General,"Tulare County",Woodlake,65.74,32.01,95.13,69.94,0.20,4.83
1400000US06107000702,6107000702,JJA,General,"Tulare County",Woodlake,65.48,29.27,106.14,77.09,0.07,3.50
1400000US06107000702,6107000702,AM,General,"Tulare County",Woodlake,64.33,22.73,100.35,65.59,0.03,3.00
1400000US06107000702,6107000702,Total,Vulnerable,"Tulare County",Woodlake,68.01,27.07,101.73,71.28,0.87,4.62
1400000US06107000702,6107000702,Total,"2006 HW","Tulare County",Woodlake,65.62,26.45,109.42,78.11,0.00,0.00
1400000US06107000800,6107000800,SO,General,"Tulare County",Visalia,69.97,31.83,93.82,68.81,0.27,4.50
1400000US06107000800,6107000800,JJA,General,"Tulare County",Visalia,73.67,19.63,103.35,71.59,1.00,5.80
1400000US06107000800,6107000800,AM,General,"Tulare County",Visalia,68.82,23.40,100.40,66.68,0.03,2.00
1400000US06107000800,6107000800,Total,Vulnerable,"Tulare County",Visalia,72.53,23.91,103.07,71.81,1.00,3.57
1400000US06107000800,6107000800,Total,"2006 HW","Tulare County",Visalia,78.14,27.31,107.92,77.81,0.00,0.00
1400000US06107000900,6107000900,Total,"2006 HW","Tulare County",Visalia,78.14,27.31,107.92,77.81,0.00,0.00
1400000US06107000900,6107000900,Total,Vulnerable,"Tulare County",Visalia,72.53,23.91,103.07,71.81,1.00,3.57
1400000US06107000900,6107000900,AM,General,"Tulare County",Visalia,68.82,23.40,100.40,66.68,0.03,2.00
1400000US06107000900,6107000900,JJA,General,"Tulare County",Visalia,73.67,19.63,103.35,71.59,1.00,5.80
1400000US06107000900,6107000900,SO,General,"Tulare County",Visalia,69.97,31.83,93.82,68.81,0.27,4.50
1400000US06107001003,6107001003,SO,General,"Tulare County",Visalia,69.97,31.83,93.82,68.81,0.27,4.50
1400000US06107001003,6107001003,JJA,General,"Tulare County",Visalia,73.67,19.63,103.35,71.59,1.00,5.80
1400000US06107001003,6107001003,AM,General,"Tulare County",Visalia,68.82,23.40,100.40,66.68,0.03,2.00
1400000US06107001003,6107001003,Total,Vulnerable,"Tulare County",Visalia,72.53,23.91,103.07,71.81,1.00,3.57
1400000US06107001003,6107001003,Total,"2006 HW","Tulare County",Visalia,78.14,27.31,107.92,77.81,0.00,0.00
1400000US06107001004,6107001004,Total,"2006 HW","Tulare County",Visalia,78.14,27.31,107.92,77.81,0.00,0.00
1400000US06107001004,6107001004,Total,Vulnerable,"Tulare County",Visalia,72.53,23.91,103.07,71.81,1.00,3.57
1400000US06107001004,6107001004,AM,General,"Tulare County",Visalia,68.82,23.40,100.40,66.68,0.03,2.00
1400000US06107001004,6107001004,JJA,General,"Tulare County",Visalia,73.67,19.63,103.35,71.59,1.00,5.80
1400000US06107001004,6107001004,SO,General,"Tulare County",Visalia,69.97,31.83,93.82,68.81,0.27,4.50
1400000US06107001005,6107001005,SO,General,"Tulare County",Visalia,69.97,31.83,93.82,68.81,0.27,4.50
1400000US06107001005,6107001005,JJA,General,"Tulare County",Visalia,73.67,19.63,103.35,71.59,1.00,5.80
1400000US06107001005,6107001005,AM,General,"Tulare County",Visalia,68.82,23.40,100.40,66.68,0.03,2.00
1400000US06107001005,6107001005,Total,Vulnerable,"Tulare County",Visalia,72.53,23.91,103.07,71.81,1.00,3.57
1400000US06107001005,6107001005,Total,"2006 HW","Tulare County",Visalia,78.14,27.31,107.92,77.81,0.00,0.00
1400000US06107001006,6107001006,SO,General,"Tulare County",Visalia,69.97,31.83,93.82,68.81,0.27,4.50
