geoid_long,census_tract,time_of_year,socioeconomic_group,census_county,census_city,avg_event_rh_max_perc,avg_event_rh_min_perc,tmax,tmin,hist_avg_annual_events,hist_avg_duration
1400000US06109001100,6109001100,Total,"2006 HW","Tuolumne County",Sonora,35.56,20.36,106.30,72.87,0.00,0.00
1400000US06109001100,6109001100,Total,Vulnerable,"Tuolumne County",Sonora,61.40,21.87,92.39,59.89,5.23,4.82
1400000US06109001100,6109001100,AM,General,"Tuolumne County",Sonora,70.55,30.33,84.23,54.70,1.13,4.03
1400000US06109001100,6109001100,JJA,General,"Tuolumne County",Sonora,52.09,23.71,101.35,67.69,0.10,5.33
1400000US06109001100,6109001100,SO,General,"Tuolumne County",Sonora,45.16,17.27,93.19,60.15,0.30,5.00
1400000US06109001200,6109001200,SO,General,"Tuolumne County",Sonora,45.16,17.27,93.19,60.15,0.30,5.00
1400000US06109001200,6109001200,JJA,General,"Tuolumne County",Sonora,52.09,23.71,101.35,67.69,0.10,5.33
1400000US06109001200,6109001200,AM,General,"Tuolumne County",Sonora,70.55,30.33,84.23,54.70,1.13,4.03
1400000US06109001200,6109001200,Total,Vulnerable,"Tuolumne County",Sonora,61.40,21.87,92.39,59.89,5.23,4.82
1400000US06109001200,6109001200,Total,"2006 HW","Tuolumne County",Sonora,35.56,20.36,106.30,72.87,0.00,0.00
1400000US06109002100,6109002100,SO,General,"Tuolumne County","Long Barn",45.16,17.27,93.19,60.15,0.30,5.00
1400000US06109002100,6109002100,JJA,General,"Tuolumne County","Long Barn",52.09,23.71,101.35,67.69,0.10,5.33
1400000US06109002100,6109002100,AM,General,"Tuolumne County","Long Barn",70.55,30.33,84.23,54.70,1.13,4.03
1400000US06109002100,6109002100,Total,Vulnerable,"Tuolumne County","Long Barn",61.40,21.87,92.39,59.89,5.23,4.82
1400000US06109002100,6109002100,Total,"2006 HW","Tuolumne County","Long Barn",35.56,20.36,106.30,72.87,0.00,0.00
1400000US06109002200,6109002200,Total,"2006 HW","Tuolumne County",Sonora,35.56,20.36,106.30,72.87,0.00,0.00
1400000US06109002200,6109002200,Total,Vulnerable,"Tuolumne County",Sonora,61.40,21.87,92.39,59.89,5.23,4.82
1400000US06109002200,6109002200,AM,General,"Tuolumne County",Sonora,70.55,30.33,84.23,54.70,1.13,4.03
1400000US06109002200,6109002200,JJA,General,"Tuolumne County",Sonora,52.09,23.71,101.35,67.69,0.10,5.33
1400000US06109002200,6109002200,SO,General,"Tuolumne County",Sonora,45.16,17.27,93.19,60.15,0.30,5.00
1400000US06109003100,6109003100,SO,General,"Tuolumne County","Long Barn",66.58,28.40,83.20,58.60,0.17,4.00
1400000US06109003100,6109003100,JJA,General,"Tuolumne County","Long Barn",47.81,18.89,90.68,61.63,0.17,4.80
1400000US06109003100,6109003100,AM,General,"Tuolumne County","Long Barn",57.56,22.14,78.16,49.62,0.37,4.18
1400000US06109003100,6109003100,Total,Vulnerable,"Tuolumne County","Long Barn",52.26,20.40,86.90,58.63,0.73,3.32
1400000US06109003100,6109003100,Total,"2006 HW","Tuolumne County","Long Barn",56.87,21.62,91.73,63.53,0.00,0.00
1400000US06109003200,6109003200,SO,General,"Tuolumne County","MI Wuk Village",66.58,28.40,83.20,58.60,0.17,4.00
1400000US06109003200,6109003200,JJA,General,"Tuolumne County","MI Wuk Village",47.81,18.89,90.68,61.63,0.17,4.80
1400000US06109003200,6109003200,AM,General,"Tuolumne County","MI Wuk Village",57.56,22.14,78.16,49.62,0.37,4.18
1400000US06109003200,6109003200,Total,Vulnerable,"Tuolumne County","MI Wuk Village",52.26,20.40,86.90,58.63,0.73,3.32
1400000US06109003200,6109003200,Total,"2006 HW","Tuolumne County","MI Wuk Village",56.87,21.62,91.73,63.53,0.00,0.00
1400000US06109004100,6109004100,Total,"2006 HW","Tuolumne County",Sonora,35.56,20.36,106.30,72.87,0.00,0.00
1400000US06109004100,6109004100,Total,Vulnerable,"Tuolumne County",Sonora,61.40,21.87,92.39,59.89,5.23,4.82
1400000US06109004100,6109004100,AM,General,"Tuolumne County",Sonora,70.55,30.33,84.23,54.70,1.13,4.03
1400000US06109004100,6109004100,JJA,General,"Tuolumne County",Sonora,52.09,23.71,101.35,67.69,0.10,5.33
1400000US06109004100,6109004100,SO,General,"Tuolumne County",Sonora,45.16,17.27,93.19,60.15,0.30,5.00
1400000US06109004200,6109004200,SO,General,"Tuolumne County","Yosemite NTL Park",66.58,28.40,83.20,58.60,0.17,4.00
