geoid_long,census_tract,time_of_year,socioeconomic_group,census_county,census_city,avg_event_rh_max_perc,avg_event_rh_min_perc,tmax,tmin,hist_avg_annual_events,hist_avg_duration
1400000US06111000100,6111000100,Total,"2006 HW","Ventura County",Lebec,55.05,19.75,99.56,67.61,0.00,0.00
1400000US06111000100,6111000100,Total,Vulnerable,"Ventura County",Lebec,0.00,0.00,0.00,0.00,0.00,0.00
1400000US06111000100,6111000100,AM,General,"Ventura County",Lebec,55.28,16.26,87.98,53.51,0.27,3.13
1400000US06111000100,6111000100,JJA,General,"Ventura County",Lebec,42.45,15.69,96.87,64.27,0.17,5.20
1400000US06111000100,6111000100,SO,General,"Ventura County",Lebec,66.00,23.50,87.97,60.82,0.47,3.71
1400000US06111000200,6111000200,SO,General,"Ventura County",Fillmore,59.40,18.40,97.26,63.94,0.73,2.91
1400000US06111000200,6111000200,JJA,General,"Ventura County",Fillmore,53.67,23.52,98.20,64.98,2.70,3.56
1400000US06111000200,6111000200,AM,General,"Ventura County",Fillmore,72.00,24.68,86.34,55.45,1.53,3.41
1400000US06111000200,6111000200,Total,Vulnerable,"Ventura County",Fillmore,53.67,23.52,98.20,64.98,1.77,3.15
1400000US06111000200,6111000200,Total,"2006 HW","Ventura County",Fillmore,62.96,21.86,104.60,71.62,0.00,0.00
1400000US06111000302,6111000302,SO,General,"Ventura County",Fillmore,59.40,18.40,97.26,63.94,0.73,2.91
1400000US06111000302,6111000302,JJA,General,"Ventura County",Fillmore,53.67,23.52,98.20,64.98,2.70,3.56
1400000US06111000302,6111000302,AM,General,"Ventura County",Fillmore,72.00,24.68,86.34,55.45,1.53,3.41
1400000US06111000302,6111000302,Total,Vulnerable,"Ventura County",Fillmore,53.67,23.52,98.20,64.98,1.77,3.15
1400000US06111000302,6111000302,Total,"2006 HW","Ventura County",Fillmore,62.96,21.86,104.60,71.62,0.00,0.00
1400000US06111000303,6111000303,Total,"2006 HW","Ventura County",Fillmore,62.96,21.86,104.60,71.62,0.00,0.00
