geoid_long,census_tract,time_of_year,socioeconomic_group,census_county,census_city,avg_event_rh_max_perc,avg_event_rh_min_perc,tmax,tmin,hist_avg_annual_events,hist_avg_duration
1400000US06113010101,6113010101,Total,"2006 HW","Yolo County","West Sacramento",64.53,25.34,108.76,73.25,0.00,0.00
1400000US06113010101,6113010101,Total,Vulnerable,"Yolo County","West Sacramento",67.91,21.49,96.83,59.20,5.93,3.81
1400000US06113010101,6113010101,AM,General,"Yolo County","West Sacramento",59.81,23.89,99.90,65.94,0.17,3.60
1400000US06113010101,6113010101,JJA,General,"Yolo County","West Sacramento",70.61,22.42,106.97,64.08,0.60,2.67
1400000US06113010101,6113010101,SO,General,"Yolo County","West Sacramento",72.70,27.40,91.51,60.47,0.37,4.73
1400000US06113010102,6113010102,SO,General,"Yolo County",Sacramento,72.70,27.40,91.51,60.47,0.37,4.73
1400000US06113010102,6113010102,JJA,General,"Yolo County",Sacramento,70.61,22.42,106.97,64.08,0.60,2.67
1400000US06113010102,6113010102,AM,General,"Yolo County",Sacramento,59.81,23.89,99.90,65.94,0.17,3.60
1400000US06113010102,6113010102,Total,Vulnerable,"Yolo County",Sacramento,67.91,21.49,96.83,59.20,5.93,3.81
1400000US06113010102,6113010102,Total,"2006 HW","Yolo County",Sacramento,64.53,25.34,108.76,73.25,0.00,0.00
1400000US06113010201,6113010201,SO,General,"Yolo County","West Sacramento",79.86,34.05,91.03,61.93,0.40,5.08
1400000US06113010201,6113010201,JJA,General,"Yolo County","West Sacramento",75.60,26.01,104.82,67.51,0.10,4.67
1400000US06113010201,6113010201,AM,General,"Yolo County","West Sacramento",76.95,24.38,93.66,57.38,0.40,5.17
1400000US06113010201,6113010201,Total,Vulnerable,"Yolo County","West Sacramento",75.12,22.82,98.84,60.84,4.53,3.61
1400000US06113010201,6113010201,Total,"2006 HW","Yolo County","West Sacramento",68.22,27.17,108.85,74.23,0.00,0.00
1400000US06113010203,6113010203,Total,"2006 HW","Yolo County","West Sacramento",68.22,27.17,108.85,74.23,0.00,0.00
