geoid_long,census_tract,time_of_year,socioeconomic_group,census_county,census_city,avg_event_rh_max_perc,avg_event_rh_min_perc,tmax,tmin,hist_avg_annual_events,hist_avg_duration
1400000US06115040100,6115040100,Total,"2006 HW","Yuba County",Marysville,59.43,21.70,108.99,75.77,0.00,0.00
1400000US06115040100,6115040100,Total,Vulnerable,"Yuba County",Marysville,0.00,0.00,0.00,0.00,0.00,0.00
1400000US06115040100,6115040100,AM,General,"Yuba County",Marysville,71.59,27.12,96.58,63.87,0.27,5.38
1400000US06115040100,6115040100,JJA,General,"Yuba County",Marysville,60.77,24.47,107.46,76.00,0.03,4.00
1400000US06115040100,6115040100,SO,General,"Yuba County",Marysville,64.89,25.06,100.15,64.99,0.07,3.00
1400000US06115040200,6115040200,SO,General,"Yuba County",Marysville,64.89,25.06,100.15,64.99,0.07,3.00
1400000US06115040200,6115040200,JJA,General,"Yuba County",Marysville,60.77,24.47,107.46,76.00,0.03,4.00
1400000US06115040200,6115040200,AM,General,"Yuba County",Marysville,71.59,27.12,96.58,63.87,0.27,5.38
1400000US06115040200,6115040200,Total,Vulnerable,"Yuba County",Marysville,0.00,0.00,0.00,0.00,0.00,0.00
1400000US06115040200,6115040200,Total,"2006 HW","Yuba County",Marysville,59.43,21.70,108.99,75.77,0.00,0.00
1400000US06115040301,6115040301,Total,"2006 HW","Yuba County",Marysville,59.43,21.70,108.99,75.77,0.00,0.00
1400000US06115040301,6115040301,Total,Vulnerable,"Yuba County",Marysville,0.00,0.00,0.00,0.00,0.00,0.00
1400000US06115040301,6115040301,AM,General,"Yuba County",Marysville,71.59,27.12,96.58,63.87,0.27,5.38
1400000US06115040301,6115040301,JJA,General,"Yuba County",Marysville,60.77,24.47,107.46,76.00,0.03,4.00
1400000US06115040301,6115040301,SO,General,"Yuba County",Marysville,64.89,25.06,100.15,64.99,0.07,3.00
1400000US06115040302,6115040302,SO,General,"Yuba County",Marysville,64.89,25.06,100.15,64.99,0.07,3.00
1400000US06115040302,6115040302,JJA,General,"Yuba County",Marysville,60.77,24.47,107.46,76.00,0.03,4.00
1400000US06115040302,6115040302,AM,General,"Yuba County",Marysville,71.59,27.12,96.58,63.87,0.27,5.38
1400000US06115040302,6115040302,Total,Vulnerable,"Yuba County",Marysville,0.00,0.00,0.00,0.00,0.00,0.00
1400000US06115040302,6115040302,Total,"2006 HW","Yuba County",Marysville,59.43,21.70,108.99,75.77,0.00,0.00
1400000US06115040303,6115040303,Total,"2006 HW","Yuba County",Marysville,59.43,21.70,108.99,75.77,0.00,0.00
1400000US06115040303,6115040303,Total,Vulnerable,"Yuba County",Marysville,0.00,0.00,0.00,0.00,0.00,0.00
1400000US06115040303,6115040303,AM,General,"Yuba County",Marysville,71.59,27.12,96.58,63.87,0.27,5.38
1400000US06115040303,6115040303,JJA,General,"Yuba County",Marysville,60.77,24.47,107.46,76.00,0.03,4.00
1400000US06115040303,6115040303,SO,General,"Yuba County",Marysville,64.89,25.06,100.15,64.99,0.07,3.00
1400000US06115040400,6115040400,SO,General,"Yuba County",Olivehurst,67.14,22.74,100.17,63.15,0.37,3.09
1400000US06115040400,6115040400,JJA,General,"Yuba County",Olivehurst,77.78,19.55,106.73,68.88,1.47,6.00
1400000US06115040400,6115040400,AM,General,"Yuba County",Olivehurst,74.13,22.86,95.31,59.20,0.20,6.83
1400000US06115040400,6115040400,Total,Vulnerable,"Yuba County",Olivehurst,0.00,0.00,0.00,0.00,0.00,0.00
1400000US06115040400,6115040400,Total,"2006 HW","Yuba County",Olivehurst,66.47,22.83,109.83,75.22,0.00,0.00
1400000US06115040500,6115040500,Total,"2006 HW","Yuba County",Olivehurst,66.47,22.83,109.83,75.22,0.00,0.00
1400000US06115040500,6115040500,Total,Vulnerable,"Yuba County",Olivehurst,0.00,0.00,0.00,0.00,0.00,0.00
1400000US06115040500,6115040500,AM,General,"Yuba County",Olivehurst,74.13,22.86,95.31,59.20,0.20,6.83
1400000US06115040500,6115040500,JJA,General,"Yuba County",Olivehurst,77.78,19.55,106.73,68.88,1.47,6.00
1400000US06115040500,6115040500,SO,General,"Yuba County",Olivehurst,67.14,22.74,100.17,63.15,0.37,3.09
1400000US06115040600,6115040600,SO,General,"Yuba County",Olivehurst,67.14,22.74,100.17,63.15,0.37,3.09
1400000US06115040600,6115040600,JJA,General,"Yuba County",Olivehurst,77.78,19.55,106.73,68.88,1.47,6.00
1400000US06115040600,6115040600,AM,General,"Yuba County",Olivehurst,74.13,22.86,95.31,59.20,0.20,6.83
1400000US06115040600,6115040600,Total,Vulnerable,"Yuba County",Olivehurst,0.00,0.00,0.00,0.00,0.00,0.00
1400000US06115040600,6115040600,Total,"2006 HW","Yuba County",Olivehurst,66.47,22.83,109.83,75.22,0.00,0.00
1400000US06115040700,6115040700,Total,"2006 HW","Yuba County",Olivehurst,66.47,22.83,109.83,75.22,0.00,0.00
1400000US06115040700,6115040700,Total,Vulnerable,"Yuba County",Olivehurst,0.00,0.00,0.00,0.00,0.00,0.00
1400000US06115040700,6115040700,AM,General,"Yuba County",Olivehurst,74.13,22.86,95.31,59.20,0.20,6.83
1400000US06115040700,6115040700,JJA,General,"Yuba County",Olivehurst,77.78,19.55,106.73,68.88,1.47,6.00
1400000US06115040700,6115040700,SO,General,"Yuba County",Olivehurst,67.14,22.74,100.17,63.15,0.37,3.09
1400000US06115040800,6115040800,SO,General,"Yuba County",Wheatland,45.89,18.88,97.03,64.78,0.27,3.00
1400000US06115040800,6115040800,JJA,General,"Yuba County",Wheatland,50.28,22.06,108.01,76.87,0.07,3.00
1400000US06115040800,6115040800,AM,General,"Yuba County",Wheatland,58.01,23.72,96.76,63.86,0.03,3.00
1400000US06115040800,6115040800,Total,Vulnerable,"Yuba County",Wheatland,36.79,13.06,86.80,54.85,6.83,4.28
1400000US06115040800,6115040800,Total,"2006 HW","Yuba County",Wheatland,49.21,21.58,107.10,75.21,0.00,0.00
1400000US06115040901,6115040901,SO,General,"Yuba County",Marysville,64.89,25.06,100.15,64.99,0.07,3.00
1400000US06115040901,6115040901,JJA,General,"Yuba County",Marysville,60.77,24.47,107.46,76.00,0.03,4.00
1400000US06115040901,6115040901,AM,General,"Yuba County",Marysville,71.59,27.12,96.58,63.87,0.27,5.38
1400000US06115040901,6115040901,Total,Vulnerable,"Yuba County",Marysville,0.00,0.00,0.00,0.00,0.00,0.00
1400000US06115040901,6115040901,Total,"2006 HW","Yuba County",Marysville,59.43,21.70,108.99,75.77,0.00,0.00
1400000US06115040902,6115040902,Total,"2006 HW","Yuba County",Marysville,49.21,21.58,107.10,75.21,0.00,0.00
1400000US06115040902,6115040902,Total,Vulnerable,"Yuba County",Marysville,36.79,13.06,86.80,54.85,6.83,4.28
1400000US06115040902,6115040902,AM,General,"Yuba County",Marysville,58.01,23.72,96.76,63.86,0.03,3.00
1400000US06115040902,6115040902,JJA,General,"Yuba County",Marysville,50.28,22.06,108.01,76.87,0.07,3.00
